Date,Open,High,Low,Close,Volume
2026-06-03,140.86,141.0,138.01,139.72,1393106
2026-06-02,141.92,145.25,139.63,142.34,499173
2026-06-01,141.0,146.95,140.0,145.08,2314987
2026-05-29,138.58,139.7,133.4,138.73,3071627
2026-05-28,141.77,142.7,137.91,138.79,1931866
2026-05-27,144.22,146.67,142.13,142.26,1269297
2026-05-26,146.65,147.65,144.42,144.88,1411026
2026-05-22,145.84,148.7,145.44,148.23,929264
2026-05-21,146.57,146.96,143.6,145.84,915175
2026-05-20,143.29,148.13,140.61,147.96,1341684
2026-05-19,147.42,149.47,144.93,145.19,2224888
2026-05-18,140.94,145.0,140.75,144.06,1072189
2026-05-15,140.83,142.91,140.3,141.91,1255355
2026-05-14,141.04,142.0,137.95,139.85,1034084
2026-05-13,142.92,144.13,138.85,140.81,1397902
2026-05-12,147.01,147.73,143.5,144.22,1087425
2026-05-11,144.81,146.5,143.5,145.92,1429438
2026-05-08,146.33,146.91,142.47,146.65,1225928
2026-05-07,153.98,153.98,144.04,147.65,3624178
2026-05-06,135.59,137.3,132.77,136.77,4102293
2026-05-05,138.0,138.45,136.23,137.55,1167064
2026-05-04,136.25,139.2,136.25,138.19,1213369
2026-05-01,139.96,142.7,135.76,136.53,1212499
2026-04-30,136.21,137.3,133.89,136.3,1291213
2026-04-29,136.23,137.68,134.56,137.5,1068695
2026-04-28,138.42,139.34,136.43,137.11,1420873
2026-04-27,136.96,139.42,136.21,136.41,1027075
2026-04-24,135.73,137.62,134.47,137.17,1358695
2026-04-23,137.86,137.86,133.88,135.83,1286440
2026-04-22,141.18,142.09,139.38,140.6,893325
2026-04-21,140.52,143.78,139.78,140.93,550983
2026-04-20,138.91,141.5,137.79,140.75,815709
2026-04-17,140.59,141.89,139.47,139.74,858177
2026-04-16,138.46,139.57,136.59,138.27,1147050
2026-04-15,135.05,137.12,134.21,136.58,1727947
2026-04-14,134.56,136.54,132.42,133.65,1342445
2026-04-13,134.09,135.47,130.89,134.21,1817367
2026-04-10,138.01,141.15,131.62,133.44,1328159
2026-04-09,143.41,143.66,138.93,139.19,1459134
2026-04-08,146.58,148.0,143.38,144.32,1094608
2026-04-07,143.61,144.55,142.68,143.92,635355
2026-04-06,142.22,144.63,141.44,144.36,655722
2026-04-02,141.89,144.73,139.89,142.65,631654
2026-04-01,142.49,143.95,140.11,142.52,770929
2026-03-31,140.75,143.76,138.73,142.49,995662
2026-03-30,139.38,141.47,137.56,139.66,969554
2026-03-27,142.84,144.12,137.5,137.61,1471739
2026-03-26,143.25,147.17,142.71,144.01,1298248
2026-03-25,144.69,146.0,140.67,143.56,1008255
2026-03-24,148.31,148.31,142.0,142.96,1271023
2026-03-23,150.36,152.6,149.08,149.23,1175907
2026-03-20,149.73,151.09,148.0,149.81,2205501
2026-03-19,149.04,152.51,148.8,150.67,999457
2026-03-18,152.7,154.5,149.94,150.11,942402
2026-03-17,156.24,158.2,150.4,154.12,1204308
2026-03-16,157.24,157.95,153.68,155.94,1091046
2026-03-13,158.49,158.81,155.37,155.89,692417
2026-03-12,159.24,161.83,157.27,157.46,664003
2026-03-11,159.45,161.19,157.35,159.13,562762
2026-03-10,163.42,164.34,157.61,159.52,850935
2026-03-09,161.35,164.16,160.11,163.42,1157370
2026-03-06,164.25,166.02,161.11,162.71,1034120
2026-03-05,162.03,168.55,162.03,164.25,1486211
2026-03-04,162.85,164.57,160.82,162.97,1030993
2026-03-03,155.22,163.38,155.22,163.1,1597649
