Date,Open,Last,High,Low,Volume
2024-01-29,139.508,140.903,141.136,139.218,581689
2024-01-30,140.322,141.882,142.628,139.644,760716
2024-01-31,142.405,139.179,142.405,137.823,693640
2024-02-01,139.857,141.785,142.085,139.198,597061
2024-02-02,140.545,143.151,143.364,138.792,925748
2024-02-05,142.434,142.822,142.918,140.322,602257
2024-02-06,142.792,142.734,144.187,141.756,933624
2024-02-07,143.035,142.541,143.374,141.436,1170894
2024-02-08,158.467,166.478,168.503,156.277,4428108
2024-02-09,165.219,169.539,169.917,164.299,1760002
2024-02-12,169.355,172.242,172.746,168.435,1408308
2024-02-13,167.999,169.869,170.13,166.478,1357138
2024-02-14,171.748,172.145,172.194,166.023,1093790
2024-02-15,173.414,175.497,175.526,171.225,1165153
2024-02-16,174.373,175.197,177.318,174.141,817135
2024-02-20,174.373,177.619,177.648,173.86,1141571
2024-02-21,176.611,178.326,179.498,176.592,756748
2024-02-22,179.847,181.281,181.997,179.256,750249
2024-02-23,182.085,182.55,184.458,181.561,829681
2024-02-26,182.898,181.145,183.974,179.934,837285
2024-02-27,181.426,176.892,182.046,175.768,1404734
2024-02-28,175.439,177.958,178.481,174.78,943796
2024-02-29,177.716,180.108,181.145,177.716,1074296
2024-03-01,180.389,179.207,182.085,179.082,695732
2024-03-04,174.364,172.61,175.41,171.7,2092406
2024-03-05,172.078,174.683,175.885,170.789,1260444
2024-03-06,175.41,173.618,177.435,172.339,1458801
2024-03-07,174.48,174.092,175.391,172.639,1052035
2024-03-08,174.247,170.528,175.362,169.646,1203991
2024-03-11,169.82,172.814,173.347,169.355,1106088
2024-03-12,172.804,174.809,175.497,171.845,1358982
2024-03-13,174.49,177.096,178.026,174.063,1129611
2024-03-14,178.064,176.563,178.646,175.245,1004761
2024-03-15,176.669,175.923,177.783,174.887,1593016
2024-03-18,177.706,177.27,178.462,175.836,939254
2024-03-19,176.805,178.549,179.295,176.757,784070
2024-03-20,178.713,184.371,184.458,178.713,1126064
2024-03-21,185.146,184.468,186.027,183.015,863462
2024-03-22,182.753,181.736,183.809,181.445,618759
2024-03-25,181.445,177.163,181.871,176.456,722118
2024-03-26,179.043,177.173,180.583,176.97,921406
2024-03-27,179.362,181.414,181.472,179.177,529299
2024-03-28,180.937,182.64,183.019,180.587,519210
2024-04-01,181.142,179.585,181.142,178.739,818225
2024-04-02,171.2,171.385,173.0,168.555,1395991
2024-04-03,170.84,168.418,171.463,167.562,1146902
2024-04-04,170.5,166.473,170.685,165.967,882141
2024-04-05,167.008,167.261,169.187,166.969,755210
2024-04-08,168.302,166.006,169.741,165.773,1301309
2024-04-09,165.957,165.053,166.317,162.397,1423530
2024-04-10,162.991,161.93,163.555,161.473,859819
2024-04-11,162.494,160.52,162.718,160.218,1002625
2024-04-12,159.187,155.919,159.547,155.744,1319966
2024-04-15,158.176,155.792,159.878,155.432,853031
2024-04-16,155.17,156.502,157.261,153.682,1037009
2024-04-17,157.796,154.907,158.438,154.518,720119
2024-04-18,155.384,153.04,155.471,152.719,1079488
2024-04-19,152.903,154.139,155.442,152.631,876400
2024-04-22,155.063,157.553,158.253,154.557,1061184
2024-04-23,158.351,163.496,164.148,158.321,1260828
2024-04-24,163.642,163.623,166.259,162.679,1069546
2024-04-25,161.463,162.378,162.533,157.942,823050
2024-04-26,161.833,161.94,163.681,160.782,704151
2024-04-29,162.708,162.475,164.041,161.405,674214
2024-04-30,162.057,159.177,162.31,159.119,831794
2024-05-01,158.779,159.158,161.123,157.397,1212138
2024-05-02,160.782,160.423,161.191,158.039,748868
2024-05-03,161.823,162.096,164.897,161.823,549477
2024-05-06,163.331,162.115,163.856,161.162,729705
2024-05-07,162.961,162.173,165.549,162.144,807816
2024-05-08,161.123,160.656,162.64,159.732,684972
2024-05-09,160.646,163.457,164.265,160.228,583359
2024-05-10,163.156,162.592,163.564,161.658,751970
2024-05-13,163.681,161.094,164.703,161.016,803688
2024-05-14,162.066,161.775,163.243,161.035,611483
2024-05-15,162.689,162.426,163.973,161.454,756897
2024-05-16,163.049,161.561,164.216,160.578,995053
2024-05-17,162.086,163.302,163.662,161.522,823224
2024-05-20,162.961,162.387,164.722,160.86,1059749
2024-05-21,162.261,163.419,163.837,161.677,929805
2024-05-22,162.757,159.722,164.255,158.886,1557052
2024-05-23,155.656,164.946,166.726,154.761,2282771
2024-05-24,163.973,168.72,168.905,162.747,1330527
2024-05-28,169.809,176.307,176.755,168.895,1343667
2024-05-29,175.49,178.418,178.72,173.759,949288
2024-05-30,178.982,180.383,181.998,178.34,1131165
2024-05-31,181.093,181.784,182.387,179.935,1191555
2024-06-03,182.095,180.227,182.445,178.7,920468
2024-06-04,179.167,176.2,180.509,175.587,851792
2024-06-05,177.037,179.381,179.498,175.811,627213
2024-06-06,180.733,177.017,181.725,176.794,728696
2024-06-07,177.212,176.813,178.136,175.743,644692
2024-06-10,175.694,183.184,184.245,175.578,1094551
