Date,Open,Last,High,Low,Volume
2024-01-29,289.527,292.329,292.54,288.481,534610
2024-01-30,290.793,294.824,295.294,289.248,759560
2024-01-31,253.252,243.06,261.716,241.938,6466234
2024-02-01,247.638,252.398,254.605,247.187,2080097
2024-02-02,251.189,257.196,260.008,249.116,1710212
2024-02-05,255.171,255.574,258.386,252.858,1234796
2024-02-06,256.563,249.49,256.563,249.365,1765833
2024-02-07,250.939,258.165,259.288,250.843,1867755
2024-02-08,259.576,267.464,268.482,259.317,2029039
2024-02-09,267.743,272.061,273.098,267.436,1503844
2024-02-12,272.061,269.364,275.046,268.501,1330240
2024-02-13,266.13,267.148,268.702,262.532,1451223
2024-02-14,267.944,268.635,269.086,265.42,1039111
2024-02-15,269.201,270.027,272.33,267.915,1466537
2024-02-16,269.813,269.62,273.659,269.504,1152836
2024-02-20,266.333,262.776,275.577,262.053,1833394
2024-02-21,261.128,264.714,265.041,258.901,970030
2024-02-22,268.029,268.56,270.246,266.333,1055042
2024-02-23,268.781,270.381,272.82,268.781,792024
2024-02-26,269.504,267.779,271.336,266.545,765648
2024-02-27,269.601,270.825,271.49,268.704,785933
2024-02-28,269.89,276.068,276.29,269.89,1227364
2024-02-29,277.206,274.786,277.37,272.541,1155358
2024-03-01,274.709,278.613,279.172,274.709,880841
2024-03-04,279.355,277.765,279.683,274.218,1497598
2024-03-05,276.965,277.293,278.199,274.131,667016
2024-03-06,277.293,280.666,281.611,276.406,779109
2024-03-07,283.567,283.519,285.746,280.146,556952
2024-03-08,285.784,283.953,287.847,281.611,640308
2024-03-11,280.647,274.507,282.71,272.878,1259489
2024-03-12,274.594,273.63,275.442,269.697,974831
2024-03-13,271.712,274.112,277.379,271.095,825719
2024-03-14,275.519,269.89,278.073,267.181,970279
2024-03-15,268.058,270.738,270.806,267.711,1372989
2024-03-18,270.121,268.126,273.63,267.972,567140
2024-03-19,262.661,268.145,268.714,259.354,1328096
2024-03-20,268.762,271.606,275.345,254.169,2011675
2024-03-21,273.379,279.615,281.572,271.548,1204615
2024-03-22,279.587,276.039,281.042,273.871,1149856
2024-03-25,273.562,272.261,275.114,271.924,668770
2024-03-26,274.285,274.179,276.917,273.369,620884
2024-03-27,275.625,280.695,281.235,274.295,664179
2024-03-28,280.493,280.811,282.112,278.632,605702
2024-04-01,280.618,273.138,280.676,273.003,680626
2024-04-02,272.781,270.112,273.524,268.164,942416
2024-04-03,268.656,269.774,273.504,268.656,1062509
2024-04-04,270.854,266.352,273.871,265.176,934776
2024-04-05,268.425,269.157,270.198,265.967,597470
2024-04-08,270.401,271.866,272.984,268.386,683156
2024-04-09,272.637,276.473,277.765,272.001,867262
2024-04-10,271.914,271.875,272.28,266.94,815982
2024-04-11,271.856,278.102,278.488,271.393,915787
2024-04-12,274.266,274.536,277.553,272.541,1122889
2024-04-15,278.391,275.577,280.175,273.871,1391588
2024-04-16,274.16,271.23,274.555,265.996,1094667
2024-04-17,272.107,268.589,272.926,265.947,817860
2024-04-18,270.786,263.625,271.287,263.278,1125002
2024-04-19,264.492,260.212,265.35,259.74,1196641
2024-04-22,261.128,263.596,265.533,260.521,888220
2024-04-23,263.721,266.352,268.762,262.632,663716
2024-04-24,267.817,265.61,269.292,264.781,600494
2024-04-25,262.988,266.95,268.695,261.668,919950
2024-04-26,266.015,270.005,272.348,263.625,626143
2024-04-29,270.112,269.861,272.3,268.068,536259
2024-04-30,268.136,261.176,269.234,260.935,649743
2024-05-01,260.482,260.01,263.837,257.359,854987
2024-05-02,262.651,260.289,263.451,258.034,820991
2024-05-03,264.0,264.155,267.682,262.892,996030
2024-05-06,268.319,267.374,268.646,265.6,996121
2024-05-07,260.251,262.217,272.319,253.995,2383398
2024-05-08,260.675,263.711,264.087,256.54,1355364
2024-05-09,262.314,260.733,263.22,259.046,1515102
2024-05-10,263.865,264.93,265.385,260.805,1146323
2024-05-13,265.976,260.408,266.295,259.507,1150273
2024-05-14,260.979,262.267,265.569,260.979,728579
2024-05-15,265.133,266.518,267.661,263.923,810903
2024-05-16,264.62,262.528,264.736,260.776,682547
2024-05-17,265.211,261.221,265.879,259.885,516567
2024-05-20,261.434,262.635,263.952,259.914,661801
2024-05-21,261.221,261.802,264.097,260.553,698263
2024-05-22,262.209,262.238,269.394,260.727,912327
2024-05-23,262.78,253.745,264.155,253.542,877494
2024-05-24,255.266,255.818,257.677,254.578,592731
2024-05-28,255.643,250.414,255.643,249.533,990782
2024-05-29,247.335,247.199,249.33,246.396,896944
2024-05-30,247.044,249.039,249.204,246.735,982187
2024-05-31,249.291,249.378,251.354,247.199,1698086
2024-06-03,259.614,249.795,259.614,246.522,1149613
2024-06-04,247.48,246.919,249.853,243.326,709801
2024-06-05,248.72,251.325,251.363,247.035,569705
2024-06-06,251.092,247.18,251.092,245.185,480470
2024-06-07,246.183,247.809,249.214,244.449,432761
2024-06-10,247.025,247.151,248.265,246.125,535511
2024-06-11,245.747,247.015,247.383,243.355,479987
2024-06-12,251.693,253.862,256.234,250.685,669119
2024-06-13,252.341,252.467,253.068,249.117,515999
2024-06-14,248.884,246.338,250.802,241.118,741059
2024-06-17,246.551,250.327,252.148,245.96,954126
2024-06-18,249.979,252.07,253.707,249.833,701048
2024-06-20,251.634,252.274,254.239,248.894,1136007
2024-06-21,252.099,250.337,252.38,247.703,2069316
2024-06-24,251.77,257.454,258.945,250.443,1026734
2024-06-25,258.548,257.454,264.291,256.893,1494664
2024-06-26,254.656,258.539,259.12,252.535,1048058
2024-06-27,259.033,259.188,259.672,256.457,842905
2024-06-28,259.507,266.566,268.474,258.878,4325877
2024-07-01,266.121,257.115,266.324,256.283,954612
2024-07-02,257.106,256.515,259.246,255.285,677146
2024-07-03,257.89,257.909,260.543,256.505,405268
2024-07-05,257.27,255.711,257.377,253.407,490924
2024-07-08,254.937,256.718,258.355,254.675,346950
2024-07-09,256.476,252.971,257.764,251.847,504455
2024-07-10,251.722,256.689,257.125,249.853,518386
2024-07-11,259.168,265.55,266.227,257.144,711165
2024-07-12,268.222,274.381,276.279,266.034,1100988
2024-07-15,275.979,276.172,281.789,275.185,908317
2024-07-16,277.557,285.052,285.323,277.557,981764
2024-07-17,282.447,278.748,284.5,277.218,755176
2024-07-18,271.166,263.836,276.066,263.071,1061930
2024-07-19,265.414,261.221,266.808,259.091,764429
2024-07-22,263.671,267.002,267.273,260.204,558266
2024-07-23,266.624,263.535,268.571,262.906,488067
2024-07-24,261.55,254.743,264.233,254.346,698471
2024-07-25,255.024,262.422,266.295,251.77,1222420
2024-07-26,266.295,268.271,269.81,264.823,689228
2024-07-29,267.748,263.594,269.2,261.473,578866
2024-07-30,265.482,266.712,267.893,262.799,527246
2024-07-31,270.072,269.83,273.267,267.593,522222
2024-08-01,266.063,256.244,268.135,251.702,1046856
2024-08-02,251.044,245.447,251.76,242.522,831550
2024-08-05,235.337,240.411,244.265,235.124,887225
2024-08-06,241.748,242.832,246.647,239.23,796945
2024-08-07,246.919,241.273,256.854,238.271,1554452
2024-08-08,240.963,250.937,252.816,240.547,879198
2024-08-09,250.027,249.979,252.845,247.277,625371
2024-08-12,249.19,246.183,251.467,244.831,544311
2024-08-13,248.616,253.228,253.957,246.3,940168
2024-08-14,253.957,254.123,255.719,251.885,860084
2024-08-15,258.336,256.701,260.798,256.001,597857
2024-08-16,256.38,255.602,260.097,253.568,547393
2024-08-19,256.341,258.044,259.358,255.203,380657
2024-08-20,257.509,258.248,260.126,256.847,449926
2024-08-21,259.796,258.385,260.73,255.534,849791
2024-08-22,259.387,255.933,259.903,255.086,489411
2024-08-23,257.606,263.668,264.116,256.789,512920
2024-08-26,264.826,260.866,266.256,259.932,377682
2024-08-27,260.039,256.215,260.039,255.67,518143
2024-08-28,256.701,254.862,256.799,253.121,586246
2024-08-29,256.906,259.329,261.995,255.203,548199
2024-08-30,261.187,264.69,264.972,258.531,962045
2024-09-03,262.218,254.425,263.075,252.897,632600
2024-09-04,253.539,249.735,255.067,248.976,657457
2024-09-05,248.956,249.988,251.7,246.368,560835
2024-09-06,253.237,248.781,254.814,247.059,609244
2024-09-09,252.235,252.255,255.125,250.902,579278
2024-09-10,253.471,254.921,255.193,250.114,552808
2024-09-11,251.301,249.919,251.622,242.593,1189401
2024-09-12,250.727,251.038,251.486,245.385,646402
2024-09-13,252.479,255.826,257.353,251.107,535038
2024-09-16,257.801,255.008,259.007,254.804,547662
2024-09-17,255.699,256.098,258.054,253.938,724390
2024-09-18,258.609,255.651,261.333,254.853,691312
2024-09-19,262.715,260.992,263.026,257.46,801018
2024-09-20,258.19,254.541,258.754,252.994,1304857
2024-09-23,254.999,254.016,255.466,251.671,641521
2024-09-24,254.765,254.911,256.468,252.206,808015
2024-09-25,254.629,251.077,254.716,250.202,738043
2024-09-26,255.31,263.843,264.544,255.31,980727
2024-09-27,266.947,263.308,270.44,263.172,900180
2024-09-30,263.201,261.216,263.201,258.346,595456
2024-10-01,261.002,258.103,261.965,256.049,523805
2024-10-02,256.76,259.095,259.338,253.286,682084
2024-10-03,257.597,257.82,257.85,253.957,569819
2024-10-04,261.868,259.805,262.608,257.12,415821
2024-10-07,257.538,260.01,260.389,257.538,368414
2024-10-08,260.535,258.978,260.535,254.687,434508
2024-10-09,259.669,262.53,263.785,258.132,417639
2024-10-10,259.815,260.915,262.325,258.57,440395
2024-10-11,261.236,263.843,266.451,261.09,597917
2024-10-14,264.583,267.842,268.397,262.666,389518
2024-10-15,267.755,264.875,269.574,264.096,494938
2024-10-16,266.295,266.84,268.932,265.624,535184
2024-10-17,265.303,265.274,266.616,263.182,554701
2024-10-18,268.358,265.459,268.358,265.361,528946
2024-10-21,264.602,262.656,265.955,261.654,465942
2024-10-22,261.956,261.537,262.617,259.504,305888
2024-10-23,260.934,259.251,262.51,256.507,473157
2024-10-24,260.204,260.457,261.43,257.246,480889
2024-10-25,262.997,262.578,263.902,260.671,380817
2024-10-28,264.661,264.009,266.227,263.863,588939
2024-10-29,263.581,261.187,264.437,260.623,481001
2024-10-30,260.759,259.436,263.376,259.085,631784
2024-10-31,258.346,259.513,260.885,258.346,706164
2024-11-01,260.769,261.469,262.997,258.647,718395
2024-11-04,258.852,257.509,260.7,255.592,733805
2024-11-05,256.711,261.936,262.403,256.098,792840
2024-11-06,275.364,286.067,286.982,272.61,2203417
2024-11-07,284.462,269.613,284.773,268.475,2023665
2024-11-08,268.076,264.797,268.864,264.437,1067395
2024-11-11,265.001,270.324,274.089,265.001,891088
2024-11-12,269.516,270.382,273.155,268.037,1044647
2024-11-13,273.272,278.838,280.754,272.27,1033359
2024-11-14,278.186,278.701,282.253,275.617,1348296
2024-11-15,278.594,278.429,283.119,277.057,1110722
2024-11-18,277.702,276.763,279.627,274.711,953115
2024-11-19,273.264,271.886,274.31,271.094,945745
2024-11-20,275.121,273.782,275.219,271.524,995878
2024-11-21,275.453,272.042,275.453,270.713,992381
2024-11-22,273.704,284.319,289.344,272.12,1842415
2024-11-25,287.144,291.983,296.724,286.607,2235164
2024-11-26,289.197,289.344,291.69,286.411,1164781
2024-11-27,290.057,288.318,293.205,286.275,637061
2024-11-29,288.855,288.503,292.003,287.985,395626
2024-12-02,288.855,290.439,292.032,287.672,723957
2024-12-03,288.836,285.004,290.321,284.29,676937
2024-12-04,285.786,287.223,287.623,284.095,575873
2024-12-05,291.553,290.419,296.147,289.197,993319
2024-12-06,292.13,288.777,293.694,286.509,652502
2024-12-09,291.788,292.003,295.913,290.321,905359
2024-12-10,290.761,287.096,292.276,286.558,900475
2024-12-11,291.211,290.693,293.176,288.963,804826
2024-12-12,292.081,296.108,297.066,290.634,1332399
2024-12-13,294.857,290.517,297.447,289.539,1307839
2024-12-16,287.985,289.432,290.282,285.688,794491
2024-12-17,288.366,286.89,289.129,283.938,1238404
2024-12-18,287.232,281.221,289.813,280.791,1477844
2024-12-19,283.987,279.569,287.193,273.567,1337258
2024-12-20,277.995,283.274,285.805,276.275,2982528
2024-12-23,281.973,282.707,283.43,278.748,565839
2024-12-24,282.482,285.629,285.903,281.006,280440
2024-12-26,284.065,287.272,287.741,282.951,371244
2024-12-27,285.356,283.968,288.083,282.56,382276
2024-12-30,280.537,279.217,281.348,276.597,538991
2024-12-31,280.204,279.363,281.338,278.552,375090
2025-01-02,280.507,274.574,281.954,273.694,531070
2025-01-03,274.574,276.431,277.487,272.746,595570
2025-01-06,278.972,275.131,281.015,274.711,564153
2025-01-07,275.727,274.984,278.278,273.391,557889
2025-01-08,271.495,273.274,274.759,270.312,485281
2025-01-10,268.21,267.252,271.895,265.962,837124
2025-01-13,263.929,269.334,270.058,263.479,655972
2025-01-14,270.488,270.752,272.042,268.22,520388
2025-01-15,275.727,269.901,276.597,268.376,712358
2025-01-16,273.195,274.642,275.913,270.429,824744
2025-01-17,277.36,280.155,281.015,275.277,942116
2025-01-21,282.648,284.232,286.392,282.628,751157
2025-01-22,286.353,282.452,286.353,282.052,680009
2025-01-23,282.013,284.163,284.466,279.784,659307
2025-01-24,284.153,281.944,285.199,280.84,720309
2025-01-27,281.592,277.829,283.195,275.385,718298
2025-01-28,276.304,275.893,277.672,271.749,780172
2025-01-29,274.359,272.628,276.167,272.404,401193
2025-01-30,271.084,272.726,274.632,268.278,845383
2025-01-31,273.655,272.169,274.603,270.341,873285
2025-02-03,265.952,264.955,267.399,260.185,861267
2025-02-04,266.773,264.261,268.533,263.889,631979
2025-02-05,265.757,264.476,265.844,261.817,772918
2025-02-06,266.206,262.677,267.34,260.4,1165808
2025-02-07,265.336,262.365,265.717,260.752,1619083
2025-02-10,284.134,295.541,301.758,278.102,2936412
2025-02-11,298.132,296.92,300.097,292.98,1272162
2025-02-12,294.701,295.16,296.48,292.081,944907
2025-02-13,294.466,291.944,294.632,290.927,1031323
2025-02-14,293.371,287.78,293.371,286.9,881937
2025-02-18,290.004,295.679,295.758,287.363,737952
2025-02-19,296.494,293.902,296.494,293.087,662055
2025-02-20,293.735,297.672,298.075,290.014,904655
2025-02-21,298.526,289.857,298.526,289.317,1114036
2025-02-24,290.711,287.314,290.996,285.517,808268
2025-02-25,285.497,283.504,289.022,282.395,618470
