Date,Open,Last,High,Low,Volume
2024-01-29,541.233,547.756,547.982,540.662,413001
2024-01-30,550.051,553.313,554.416,546.977,621462
2024-01-31,519.724,529.104,541.243,517.458,993248
2024-02-01,530.651,537.784,538.228,526.946,561934
2024-02-02,536.1,541.538,543.164,530.621,489590
2024-02-05,540.721,537.863,541.489,534.09,335573
2024-02-06,540.307,537.282,540.307,533.902,348647
2024-02-07,541.913,540.622,542.543,538.77,413586
2024-02-08,542.74,537.321,544.948,532.434,508848
2024-02-09,540.425,542.169,542.672,537.095,388033
2024-02-12,540.78,534.336,540.78,532.08,343850
2024-02-13,528.907,527.547,530.178,524.207,433421
2024-02-14,528.02,533.745,533.942,526.69,460920
2024-02-15,535.173,539.923,540.859,530.375,420606
2024-02-16,541.864,537.548,542.337,535.991,552654
2024-02-20,537.548,536.109,539.381,531.873,440488
2024-02-21,534.907,540.947,541.43,532.513,381166
2024-02-22,544.396,547.145,550.446,544.396,610286
2024-02-23,550.938,548.682,551.736,546.78,985097
2024-02-26,545.933,539.854,548.386,537.804,847202
2024-02-27,539.952,539.055,540.494,534.543,852242
2024-02-28,536.385,535.459,537.814,533.705,457458
2024-02-29,538.119,536.72,538.119,531.331,817882
2024-03-01,533.114,539.903,541.735,532.651,781694
2024-03-04,541.272,539.174,543.943,537.43,521196
2024-03-05,536.238,529.114,536.238,526.867,431405
2024-03-06,529.597,532.267,538.169,527.715,441889
2024-03-07,537.124,538.287,541.065,535.302,301852
2024-03-08,538.139,537.922,540.494,536.346,310392
2024-03-11,537.193,545.736,546.11,534.917,521430
2024-03-12,546.445,547.036,550.051,545.48,465149
2024-03-13,549.569,541.44,549.569,539.607,439549
2024-03-14,541.548,539.036,543.726,535.873,375899
2024-03-15,536.415,539.302,543.677,534.316,877141
2024-03-18,540.533,538.129,543.066,537.41,373150
2024-03-19,538.957,543.755,544.149,537.755,317773
2024-03-20,544.957,545.913,548.593,542.011,442382
2024-03-21,548.367,548.101,550.416,546.307,425013
2024-03-22,550.751,548.199,550.751,544.918,240532
2024-03-25,545.893,542.839,545.893,539.755,576186
2024-03-26,542.839,546.278,547.421,541.125,419028
2024-03-27,549.588,550.958,551.608,548.357,362838
2024-03-28,551.766,552.593,554.869,549.598,478082
2024-04-01,554.081,545.48,556.692,543.913,268424
2024-04-02,543.883,537.913,544.741,535.43,775336
2024-04-03,534.937,536.671,541.184,534.937,927330
2024-04-04,542.732,530.122,546.985,529.955,451506
2024-04-05,530.359,535.776,538.539,529.718,338801
2024-04-08,534.118,535.993,538.243,533.004,371871
2024-04-09,537.138,536.24,539.575,533.951,315698
2024-04-10,531.632,528.85,532.648,527.37,481825
2024-04-11,530.606,532.451,537.414,528.603,397961
2024-04-12,527.261,528.692,537.651,527.212,590642
2024-04-15,535.145,521.223,535.145,519.95,800142
2024-04-16,523.926,519.96,525.071,519.93,405315
2024-04-17,521.282,519.456,522.643,518.667,447849
2024-04-18,523.443,520.246,524.469,519.16,477376
2024-04-19,523.008,527.261,528.563,522.495,776882
2024-04-22,531.741,531.928,533.467,527.281,583963
2024-04-23,532.757,532.431,536.408,531.306,381465
2024-04-24,529.116,530.843,531.533,526.738,631599
2024-04-25,529.895,533.211,535.875,526.649,552944
2024-04-26,523.314,519.762,533.092,519.506,856081
2024-04-29,515.431,506.738,519.644,504.804,698080
2024-04-30,506.047,504.646,506.353,501.598,901777
2024-05-01,505.179,507.902,516.378,504.311,767835
2024-05-02,508.573,504.015,508.573,501.45,694186
2024-05-03,506.136,510.32,512.599,504.686,1067608
2024-05-06,510.695,508.672,511.898,505.929,651690
2024-05-07,511.01,513.329,513.99,509.629,309946
2024-05-08,514.71,514.109,521.213,513.98,463200
2024-05-09,513.704,516.358,516.832,513.063,311585
2024-05-10,515.066,516.526,519.466,514.336,346738
2024-05-13,519.861,514.809,520.344,514.197,344408
2024-05-14,515.046,513.892,516.565,510.379,419847
2024-05-15,517.108,524.36,525.653,515.766,626564
2024-05-16,525.298,531.622,532.362,524.104,792059
2024-05-17,531.622,534.671,536.852,530.014,787896
2024-05-20,533.576,539.091,539.397,532.964,777860
2024-05-21,537.789,534.188,538.45,531.06,380449
2024-05-22,534.247,540.157,542.574,531.662,511962
2024-05-23,540.295,537.365,542.525,535.934,529457
2024-05-24,536.96,537.404,540.571,536.408,369948
2024-05-28,534.819,525.919,534.819,523.808,518331
2024-05-29,521.509,523.867,525.712,521.45,551811
2024-05-30,520.611,519.565,521.785,517.335,476522
2024-05-31,521.371,525.663,525.899,517.542,765834
2024-06-03,525.663,529.017,529.215,522.88,549888
2024-06-04,527.863,536.161,537.631,527.863,506358
2024-06-05,537.74,539.634,540.552,534.868,373990
2024-06-06,540.69,543.028,546.274,537.937,395524
2024-06-07,544.686,546.649,549.442,543.709,394013
2024-06-10,545.968,549.086,549.205,543.808,313231
2024-06-11,548.968,548.317,548.968,543.433,316341
2024-06-12,550.024,550.754,551.632,544.775,526316
2024-06-13,545.298,539.881,549.047,539.042,482816
2024-06-14,540.739,542.13,547.35,540.127,431123
2024-06-17,541.686,546.215,546.778,540.335,632786
2024-06-18,544.39,552.638,554.405,544.39,496136
2024-06-20,552.54,551.77,556.408,548.652,548346
2024-06-21,557.355,554.01,557.355,550.152,1028932
2024-06-24,553.161,555.056,561.104,550.813,529195
2024-06-25,557.562,555.49,558.924,554.335,391338
2024-06-26,552.52,550.113,555.006,549.224,372106
2024-06-27,552.619,554.572,557.897,549.511,435646
2024-06-28,554.483,556.151,561.913,552.481,742921
2024-07-01,559.555,555.135,560.976,553.161,360351
2024-07-02,556.625,555.608,559.979,553.773,503655
2024-07-03,555.648,552.984,556.822,551.583,284848
2024-07-05,550.882,555.066,555.559,548.692,324764
2024-07-08,551.905,550.097,553.071,546.906,315266
2024-07-09,550.957,543.843,550.957,542.628,348687
2024-07-10,544.624,546.402,546.402,542.846,443671
2024-07-11,546.521,549.238,551.441,546.521,436431
2024-07-12,552.231,551.658,554.988,550.305,400690
2024-07-15,551.164,552.419,553.931,547.618,566546
2024-07-16,552.429,560.244,560.589,551.639,405658
2024-07-17,563.178,564.393,567.387,559.76,661678
2024-07-18,564.393,564.314,566.27,561.014,352235
2024-07-19,565.855,560.481,568.078,557.556,459205
2024-07-22,563.949,569.61,570.281,563.385,505296
2024-07-23,570.548,567.357,572.129,566.576,430783
2024-07-24,539.427,525.566,539.427,514.175,2064398
2024-07-25,534.616,534.379,541.591,528.174,1094747
