Date,Open,Last,High,Low,Volume
2024-01-29,61.56,61.811,61.947,61.27,5546779
2024-01-30,61.463,62.237,62.333,61.26,5641215
2024-01-31,61.55,60.825,62.034,60.796,8916099
2024-02-01,60.825,60.197,61.27,59.134,8942588
2024-02-02,59.936,60.845,61.212,59.491,9803067
2024-02-05,60.419,60.294,60.671,59.433,6953761
2024-02-06,60.284,59.83,60.787,59.617,6174606
2024-02-07,60.004,60.352,60.69,59.627,6990500
2024-02-08,60.41,60.633,61.06,60.089,5689098
2024-02-09,60.681,61.506,61.545,60.516,7562830
2024-02-12,61.448,62.603,63.205,61.448,6692541
2024-02-13,61.778,60.866,62.04,59.866,8998846
2024-02-14,61.303,61.176,61.536,60.332,6324862
2024-02-15,61.4,62.729,63.331,61.341,8268291
2024-02-16,62.545,62.506,62.991,61.992,6057159
2024-02-20,62.05,61.71,62.487,61.516,5357472
2024-02-21,61.506,62.244,62.293,61.05,5188122
2024-02-22,62.807,62.729,63.273,62.448,6084275
2024-02-23,62.652,62.545,63.234,62.409,4196879
2024-02-26,62.545,62.506,63.244,62.39,5377286
2024-02-27,62.642,63.428,63.486,62.593,5484227
2024-02-28,63.263,63.719,64.127,62.982,5123809
2024-02-29,64.078,64.816,64.874,63.933,8522945
2024-03-01,64.661,64.515,64.952,63.768,7875353
2024-03-04,64.68,65.651,66.165,64.661,5805146
2024-03-05,65.292,66.097,66.456,65.233,6170180
2024-03-06,66.476,66.097,66.553,65.156,6624810
2024-03-07,66.534,66.185,66.796,66.146,5326207
2024-03-08,66.398,65.195,67.0,65.175,9029563
2024-03-11,65.224,64.981,65.68,64.865,8456529
2024-03-12,65.195,64.544,65.389,63.913,9498024
2024-03-13,64.748,65.156,65.622,64.709,8202506
2024-03-14,64.758,64.641,65.35,64.088,11673760
2024-03-15,64.185,65.068,65.816,64.185,11825852
2024-03-18,64.758,65.418,65.583,64.709,6567372
2024-03-19,65.612,66.34,66.447,65.379,7979213
2024-03-20,66.359,67.621,67.728,66.058,6836101
2024-03-21,67.932,69.737,69.883,67.883,10466854
2024-03-22,70.504,69.494,70.805,69.456,7231327
2024-03-25,69.358,69.232,70.193,68.902,6578712
2024-03-26,69.291,68.912,69.426,68.825,5659141
2024-03-27,69.3,70.251,70.319,69.203,7358004
2024-03-28,70.271,70.213,70.465,69.591,6865003
2024-04-01,70.164,70.242,70.494,69.737,4070802
2024-04-02,69.883,69.358,70.038,68.883,5373777
2024-04-03,69.329,69.32,70.116,69.184,5296040
2024-04-04,70.106,69.252,70.824,68.99,7855327
2024-04-05,69.378,69.776,70.009,69.116,4255194
2024-04-08,70.145,70.242,70.64,69.708,5846226
2024-04-09,70.407,70.154,70.659,69.388,5024227
2024-04-10,69.446,69.009,69.951,68.058,7750362
2024-04-11,68.776,68.543,69.184,67.767,5891810
2024-04-12,67.66,67.971,68.786,67.427,8614981
2024-04-15,68.427,69.135,71.484,68.398,14417612
2024-04-16,69.397,70.921,71.106,68.301,12021566
2024-04-17,71.338,70.368,71.707,70.193,9852765
2024-04-18,70.397,70.785,71.668,69.844,8208306
2024-04-19,71.241,71.261,71.707,70.717,8489366
2024-04-22,71.785,72.076,72.775,71.067,8847494
2024-04-23,72.163,73.018,73.153,71.998,9244359
2024-04-24,72.28,72.979,73.328,72.173,6038846
2024-04-25,72.726,72.688,73.241,71.824,6375353
2024-04-26,72.756,72.785,73.086,72.328,5560677
2024-04-29,72.707,72.367,73.27,72.241,5778877
2024-04-30,72.183,71.775,72.251,71.455,6725674
2024-05-01,71.785,72.377,73.153,71.29,7016117
2024-05-02,73.153,73.115,73.251,72.163,5591287
2024-05-03,73.843,73.804,74.221,72.959,5414735
2024-05-06,74.25,74.6,74.668,73.639,4857630
2024-05-07,74.726,73.318,74.784,73.192,7337005
2024-05-08,73.221,74.153,74.367,73.105,5190121
2024-05-09,73.999,73.464,74.35,73.464,6091501
2024-05-10,73.814,74.116,74.253,73.552,5103040
2024-05-13,74.175,72.743,74.408,72.714,5488050
2024-05-14,73.035,75.051,75.246,72.889,9566077
