Date,Open,Last,High,Low,Volume
2024-01-29,201.91,209.54,210.26,201.4,5288749
2024-01-30,208.64,206.25,209.98,204.81,4415381
2024-01-31,201.5,195.64,203.29,194.87,6296755
2024-02-01,197.0,199.94,200.33,195.34,3260591
2024-02-02,208.64,218.76,219.74,204.05,11911518
2024-02-05,217.11,215.6,220.67,210.54,5552565
2024-02-06,217.5,213.68,218.5,208.51,5159941
2024-02-07,214.01,218.23,219.4,212.75,3920972
2024-02-08,219.3,222.9,226.29,218.3,6119851
2024-02-09,228.3,233.28,235.0,228.13,8263401
2024-02-12,231.0,232.16,237.72,229.07,5383662
2024-02-13,223.06,227.57,231.02,220.5,4851114
2024-02-14,230.0,236.0,236.24,227.18,3741915
2024-02-15,235.0,232.4,236.33,229.1,3617604
2024-02-16,230.65,230.31,234.82,228.6,3604068
2024-02-20,226.03,220.08,226.69,215.59,6028646
2024-02-21,215.0,216.21,217.2,211.68,3596578
2024-02-22,224.14,225.62,227.68,219.52,5847729
2024-02-23,234.28,229.34,234.83,227.04,4527953
2024-02-26,229.33,230.93,233.36,226.65,4820595
2024-02-27,233.0,234.03,235.66,231.09,4810315
2024-02-28,230.75,230.0,233.88,226.56,19406239
2024-02-29,181.17,188.28,190.45,180.68,42311351
2024-03-01,191.26,186.72,194.2,186.14,17265859
2024-03-04,185.89,177.93,186.55,175.3,16342261
2024-03-05,175.03,167.75,175.33,166.32,14716891
2024-03-06,170.0,167.0,171.36,163.37,12733359
2024-03-07,167.0,168.44,169.16,163.71,9049602
2024-03-08,169.29,162.4,169.84,161.63,9368999
2024-03-11,161.42,162.29,162.98,160.4,6026073
2024-03-12,162.94,161.95,163.77,159.7,7386921
2024-03-13,161.27,162.31,166.84,160.7,5866709
2024-03-14,162.02,158.92,162.5,157.8,5999111
2024-03-15,158.78,156.97,160.24,156.62,8280637
2024-03-18,157.52,156.31,158.26,155.55,7127229
2024-03-19,152.11,157.7,157.84,151.49,6644858
2024-03-20,158.05,163.04,164.31,158.05,7596629
2024-03-21,166.0,158.39,168.68,157.21,11393371
2024-03-22,158.39,159.03,160.3,157.0,4085102
2024-03-25,157.79,158.14,159.1,157.25,3108718
2024-03-26,159.38,158.02,160.97,157.64,4069083
2024-03-27,159.6,160.04,160.63,157.7,4698138
2024-03-28,164.02,161.6,165.89,161.0,10106906
2024-04-01,161.86,160.52,163.75,159.74,3928834
2024-04-02,157.5,156.19,157.77,155.07,5615491
2024-04-03,155.15,153.02,155.3,152.53,6147013
2024-04-04,153.11,151.34,156.0,150.62,6249543
2024-04-05,152.48,153.86,155.55,152.17,5120008
2024-04-08,153.86,154.86,155.69,151.69,2682723
2024-04-09,155.12,155.58,156.9,153.83,3412176
2024-04-10,151.6,152.97,153.51,151.55,3602446
2024-04-11,154.66,159.35,159.92,154.33,5737466
2024-04-12,157.1,158.56,160.52,156.78,4663615
2024-04-15,156.38,151.98,157.03,151.09,5929197
2024-04-16,151.51,150.3,152.07,149.11,4705665
2024-04-17,151.04,148.8,152.44,148.77,3767066
2024-04-18,148.67,148.41,150.9,147.64,3795534
2024-04-19,147.66,145.45,150.09,144.55,4974560
2024-04-22,145.45,147.21,148.4,144.32,3736481
2024-04-23,148.93,151.17,152.08,148.8,4826509
2024-04-24,153.0,154.99,155.08,152.03,3972698
2024-04-25,152.59,152.5,153.82,149.55,3965032
2024-04-26,159.76,158.13,160.29,155.8,6533260
2024-04-29,158.7,157.44,159.61,156.24,5168711
2024-04-30,156.13,155.2,158.58,155.0,4016193
2024-05-01,158.14,156.14,160.3,154.18,3423066
