Date,Open,Last,High,Low,Volume
2024-01-29,125.562,125.447,125.562,124.101,1305454
2024-01-30,125.057,123.243,125.261,123.225,2234683
2024-01-31,123.65,122.685,124.438,121.782,2292579
2024-02-01,122.428,123.384,123.402,121.03,2139498
2024-02-02,121.596,122.092,123.021,119.915,2028662
2024-02-05,120.694,121.074,122.163,119.623,2332998
2024-02-06,121.694,126.916,128.128,121.481,3205324
2024-02-07,127.456,126.96,128.066,126.084,1803066
2024-02-08,126.624,127.544,128.049,125.5,1226943
2024-02-09,128.58,130.049,130.439,127.509,2222430
2024-02-12,130.102,128.96,130.545,128.438,1554654
2024-02-13,126.119,127.031,127.057,124.181,1567238
2024-02-14,127.5,126.447,127.827,125.544,1453999
2024-02-15,127.597,130.996,131.492,127.597,1474977
2024-02-16,129.43,132.731,133.351,129.111,1792818
2024-02-20,131.97,131.793,132.988,130.943,1221987
2024-02-21,132.014,133.014,133.581,131.156,1038544
2024-02-22,133.625,134.103,135.519,132.775,1658305
2024-02-23,134.032,133.076,134.315,133.067,854970
2024-02-26,133.112,132.35,134.2,132.324,1108908
2024-02-27,133.014,132.501,134.422,132.049,1250859
2024-02-28,131.872,132.642,133.758,131.279,1613362
2024-02-29,133.802,131.12,133.979,130.262,3365304
2024-03-01,130.943,133.156,133.386,129.518,1240689
2024-03-04,133.156,134.9,135.183,132.678,1440763
2024-03-05,134.342,132.642,135.864,132.315,1696247
2024-03-06,133.289,134.82,135.192,132.784,1863271
2024-03-07,135.376,134.219,135.68,132.614,1878816
2024-03-08,134.945,135.349,136.191,134.578,1044584
2024-03-11,135.035,134.309,135.985,132.758,1237595
2024-03-12,134.309,135.026,135.761,134.076,2038058
2024-03-13,134.99,135.824,137.366,134.407,1161853
2024-03-14,135.044,133.914,135.295,132.56,1549942
2024-03-15,132.955,135.178,135.627,132.955,2985233
2024-03-18,135.385,136.236,136.505,135.053,1152882
2024-03-19,136.729,138.164,138.263,136.505,1536481
2024-03-20,137.357,139.33,139.697,137.178,1995260
2024-03-21,140.047,139.697,141.499,138.818,1451890
2024-03-22,139.697,136.156,139.93,136.039,1366978
2024-03-25,136.855,135.438,137.581,135.349,1084411
2024-03-26,135.689,135.089,136.711,135.08,1475768
2024-03-27,136.46,138.37,138.397,136.03,1330025
2024-03-28,138.783,140.307,140.639,138.702,1904826
2024-04-01,139.939,137.608,140.092,137.196,928826
2024-04-02,136.514,134.524,136.631,133.95,1595857
2024-04-03,134.56,134.264,135.286,133.95,1253066
2024-04-04,135.385,132.65,136.057,132.175,1172834
2024-04-05,132.713,134.622,134.999,132.399,917963
2024-04-08,134.757,134.811,135.08,133.824,999984
2024-04-09,134.945,134.658,135.456,132.569,1007986
2024-04-10,131.153,130.498,131.798,129.611,1474619
2024-04-11,131.332,131.673,132.874,129.691,1333621
2024-04-12,131.027,129.835,131.574,128.947,1128051
2024-04-15,131.117,127.665,131.117,126.741,1237702
2024-04-16,127.261,125.836,127.378,125.11,1301665
2024-04-17,126.383,126.365,127.486,125.639,1019770
2024-04-18,127.01,125.854,127.369,125.522,1046114
2024-04-19,126.724,125.917,126.867,125.37,1116221
2024-04-22,126.419,127.683,128.642,125.648,984477
2024-04-23,127.773,128.911,129.53,127.773,877456
2024-04-24,128.302,128.041,128.866,126.975,1110180
2024-04-25,126.634,127.97,128.857,126.051,1741248
2024-04-26,128.257,127.638,129.521,127.593,1026159
2024-04-29,128.965,129.853,129.862,127.943,1110951
2024-04-30,128.508,125.997,129.566,125.728,1835508
2024-05-01,125.827,125.683,128.05,124.85,1356014
2024-05-02,126.912,126.741,127.306,124.903,1829441
2024-05-03,128.212,128.149,129.53,127.217,1257436
2024-05-06,129.359,129.503,130.408,128.66,1598753
2024-05-07,131.583,132.65,135.815,129.772,2682557
2024-05-08,131.717,132.587,133.627,131.556,1490789
2024-05-09,133.179,133.708,134.739,132.614,1364782
2024-05-10,134.228,132.444,134.488,132.336,1305360
2024-05-13,132.829,131.771,133.34,130.902,1381761
2024-05-14,132.291,134.076,134.237,132.094,1087813
2024-05-15,136.272,134.712,136.496,134.443,1005570
2024-05-16,134.712,133.287,135.815,133.027,1802273
2024-05-17,134.174,133.403,134.174,132.784,1258426
2024-05-20,133.376,131.233,133.564,131.0,851716
2024-05-21,131.081,132.668,132.82,130.875,1101884
2024-05-22,132.238,131.072,132.883,130.57,734421
2024-05-23,131.153,129.7,131.332,129.611,1091150
2024-05-24,131.511,132.587,132.928,130.911,1410906
2024-05-28,133.502,131.96,133.968,131.655,1187475
2024-05-29,130.955,131.888,132.13,130.525,1131032
2024-05-30,132.784,133.089,133.475,132.255,1088248
2024-05-31,133.977,135.662,135.824,133.403,2376244
2024-06-03,135.698,135.922,136.496,134.452,1770861
2024-06-04,135.492,136.703,137.187,135.492,1208131
2024-06-05,137.07,137.581,137.635,136.147,1480636
2024-06-06,137.007,137.877,138.612,136.998,1686221
2024-06-07,136.314,137.885,138.612,135.751,1776392
2024-06-10,137.349,138.112,138.757,136.732,1962427
2024-06-11,137.386,136.968,137.522,136.841,2294100
