Date,Open,Last,High,Low,Volume
2024-01-29,66.073,66.632,66.902,65.551,3031707
2024-01-30,66.473,67.042,67.219,66.119,3010741
2024-01-31,67.666,66.697,68.002,66.613,3525133
2024-02-01,66.548,67.433,67.452,65.979,2394100
2024-02-02,66.697,66.492,67.182,65.532,2372342
2024-02-05,65.923,65.29,66.026,65.15,2268171
2024-02-06,65.113,65.019,65.457,64.852,2622656
2024-02-07,65.318,65.29,65.457,64.87,2036859
2024-02-08,65.057,65.094,65.271,64.469,1798593
2024-02-09,64.824,64.935,65.271,64.572,1632848
2024-02-12,64.982,65.886,66.128,64.852,2586797
2024-02-13,65.597,64.637,65.83,63.761,3123305
2024-02-14,64.777,64.74,65.047,64.432,2584542
2024-02-15,64.963,65.709,66.045,64.861,2737206
2024-02-16,65.523,65.7,66.11,65.001,2274449
2024-02-20,65.634,65.858,66.688,65.439,3123581
2024-02-21,66.1,67.07,67.182,65.765,2563067
2024-02-22,66.501,66.473,66.865,65.905,2128702
2024-02-23,66.548,67.079,67.405,66.296,3357793
2024-02-26,66.66,66.091,66.855,65.802,3183807
2024-02-27,66.669,66.231,66.716,65.532,2635443
2024-02-28,66.035,65.867,66.678,65.765,3359339
2024-02-29,66.25,65.802,66.287,65.634,4632331
2024-03-01,65.756,65.122,65.914,64.73,2801112
2024-03-04,64.74,65.933,65.961,64.721,2667655
2024-03-05,66.063,65.439,66.874,65.047,3710314
2024-03-06,65.886,65.839,66.315,65.551,3106545
2024-03-07,66.511,65.802,66.893,65.523,3425184
2024-03-08,65.588,66.24,66.333,65.42,2744001
2024-03-11,66.1,67.62,67.638,66.1,3172954
2024-03-12,67.293,66.138,67.508,66.026,2564662
2024-03-13,66.548,66.007,67.023,65.933,3236617
2024-03-14,66.278,65.448,66.548,64.963,3027808
2024-03-15,65.299,65.252,65.756,64.786,7673113
2024-03-18,65.373,65.802,66.063,64.907,2277814
2024-03-19,65.989,66.259,66.333,65.569,2965151
2024-03-20,66.173,65.599,66.803,65.374,3166294
2024-03-21,65.59,65.74,66.267,65.505,2704978
2024-03-22,65.863,65.599,66.079,65.421,2788355
2024-03-25,65.712,65.468,65.844,65.016,2910256
2024-03-26,65.534,65.101,65.609,64.763,2196992
2024-03-27,65.599,66.991,67.0,65.392,3600246
2024-03-28,67.179,67.536,67.696,66.822,2468803
2024-04-01,67.536,67.094,67.536,66.634,1874285
2024-04-02,67.122,67.508,67.94,67.122,2599292
2024-04-03,67.555,66.728,67.649,66.69,2947589
2024-04-04,67.226,66.605,67.367,65.891,4810086
2024-04-05,66.201,66.305,66.511,65.675,2796395
2024-04-08,66.446,66.54,67.17,66.126,2767042
