Date,Open,Last,High,Low,Volume
2024-01-29,85.256,87.025,87.025,84.76,1287231
2024-01-30,86.474,85.969,87.286,85.762,1185765
2024-01-31,85.879,84.174,86.519,83.813,2878238
2024-02-01,82.171,82.875,82.983,79.771,4214938
2024-02-02,81.359,81.765,82.09,79.582,1956979
2024-02-05,81.034,79.654,81.088,79.509,1869690
2024-02-06,79.464,80.601,81.124,79.004,1964599
2024-02-07,81.287,80.917,81.287,79.663,1896582
2024-02-08,80.791,80.538,80.89,79.924,1061701
2024-02-09,80.502,80.24,80.7,79.897,806315
2024-02-12,80.24,82.099,82.27,80.141,1187469
2024-02-13,79.23,78.589,79.455,77.732,1711834
2024-02-14,79.69,79.979,80.664,78.851,1558933
2024-02-15,80.637,80.863,81.233,80.105,923938
2024-02-16,79.879,79.708,80.466,79.446,864075
2024-02-20,78.977,79.807,79.852,78.806,817222
2024-02-21,79.897,79.997,80.024,79.185,794819
2024-02-22,80.475,79.997,80.691,79.735,753864
2024-02-23,80.294,80.421,81.034,79.266,1113100
2024-02-26,80.06,78.481,80.222,77.967,1740794
2024-02-27,79.04,79.843,79.915,78.436,1014378
2024-02-28,79.194,79.365,80.042,79.103,741249
2024-02-29,80.024,80.556,80.727,79.338,1259376
2024-03-01,80.556,80.809,81.269,79.933,906259
2024-03-04,80.646,80.845,82.216,79.537,1156770
2024-03-05,81.088,80.258,82.099,80.033,936167
2024-03-06,81.169,81.278,81.792,79.979,666586
2024-03-07,82.061,82.954,83.063,81.77,1016272
2024-03-08,83.573,83.281,84.911,83.272,1086830
2024-03-11,83.081,83.718,83.755,82.098,888263
2024-03-12,83.982,83.199,84.456,82.489,1290360
2024-03-13,83.236,83.864,84.374,83.099,1581964
2024-03-14,83.6,81.561,83.782,80.659,1876248
2024-03-15,80.532,80.25,81.816,80.086,2334491
2024-03-18,80.568,80.232,80.86,79.294,1608436
2024-03-19,80.186,82.535,82.744,80.186,1563782
2024-03-20,82.835,84.255,84.647,82.717,1351962
2024-03-21,84.765,87.223,87.706,84.765,1845974
2024-03-22,87.569,86.195,88.134,85.94,1018305
2024-03-25,86.368,85.967,87.132,85.703,1311776
2024-03-26,86.158,85.102,86.604,85.066,1081847
2024-03-27,85.539,88.361,88.379,85.53,1416494
2024-03-28,88.662,89.153,89.472,87.697,1492914
2024-04-01,89.062,86.905,89.117,86.896,1210929
2024-04-02,86.431,86.022,86.459,85.448,1516196
2024-04-03,85.921,87.615,87.66,85.712,1048582
2024-04-04,88.68,86.431,89.217,86.34,1075276
2024-04-05,86.34,86.859,87.232,86.131,589477
2024-04-08,87.351,86.713,87.806,86.641,749261
2024-04-09,87.205,88.48,89.162,86.996,1412665
2024-04-10,85.667,84.583,86.176,83.864,1645723
2024-04-11,84.774,84.956,85.621,83.909,691316
2024-04-12,83.864,83.281,84.447,82.954,906081
2024-04-15,84.137,82.69,84.829,82.107,1819068
2024-04-16,81.934,82.098,82.781,81.024,932888
2024-04-17,82.726,81.324,82.944,81.051,1307362
2024-04-18,81.533,81.315,82.407,80.55,984160
2024-04-19,81.151,81.315,81.779,80.796,1121956
2024-04-22,81.333,81.342,82.089,80.286,1515635
2024-04-23,81.479,82.608,82.954,81.415,1095537
2024-04-24,82.152,82.18,82.944,81.761,1282576
2024-04-25,81.024,80.869,81.779,79.549,2399245
2024-04-26,81.014,81.67,82.262,80.76,1484232
2024-04-29,82.362,82.808,83.518,82.234,1145721
2024-04-30,82.18,83.209,84.21,82.18,2636286
2024-05-01,82.826,83.664,85.129,81.843,2941077
2024-05-02,77.063,77.373,77.746,75.58,7178565
2024-05-03,78.748,78.11,80.468,76.918,3145797
2024-05-06,79.358,79.212,79.776,78.802,2757337
2024-05-07,79.767,79.467,80.259,79.412,1501574
2024-05-08,78.666,78.183,78.739,78.083,1450717
2024-05-09,78.092,80.259,80.486,78.083,1318213
2024-05-10,80.678,81.788,81.907,80.514,1344375
2024-05-13,82.116,82.116,83.281,81.807,1061304
2024-05-14,82.999,83.573,84.037,82.935,1294480
2024-05-15,84.601,83.199,84.975,82.899,1528043
2024-05-16,82.863,81.743,82.863,81.37,1570355
2024-05-17,82.052,82.043,82.125,81.397,932231
2024-05-20,82.116,81.533,82.289,81.406,797076
2024-05-21,81.215,80.268,81.297,80.177,856317
2024-05-22,80.122,79.358,80.659,79.23,1166311
2024-05-23,79.376,78.292,79.54,77.701,1220498
2024-05-24,78.52,78.411,79.039,77.91,569831
2024-05-28,78.584,77.309,78.711,77.063,1389164
2024-05-29,76.472,75.507,76.472,75.461,1053195
2024-05-30,75.916,77.701,77.746,75.834,1098355
2024-05-31,77.837,79.358,79.458,77.655,1512081
2024-06-03,79.776,79.194,80.022,77.646,1720052
2024-06-04,77.548,76.289,78.026,76.243,2187568
2024-06-05,76.427,77.576,77.677,76.289,1004439
2024-06-06,77.208,76.721,77.401,76.216,1076661
2024-06-07,75.802,75.774,76.666,75.471,1123052
2024-06-10,75.067,75.37,75.857,74.718,1549933
2024-06-11,74.892,76.905,77.281,74.084,1941050
2024-06-12,79.174,79.928,81.849,79.156,2173429
2024-06-13,79.395,78.926,79.818,77.19,1548293
2024-06-14,77.842,76.776,78.513,75.921,855873
2024-06-17,76.454,77.52,77.906,76.454,944101
2024-06-18,77.52,77.309,78.366,76.739,1155724
2024-06-20,76.978,77.245,77.86,76.565,841267
2024-06-21,77.236,77.502,77.658,76.124,1902566
2024-06-24,77.833,77.87,78.981,77.19,1051353
2024-06-25,77.612,75.232,77.612,74.993,1313087
2024-06-26,74.901,74.92,75.251,74.139,1164086
2024-06-27,74.8,74.846,75.067,74.203,983549
2024-06-28,75.076,73.413,75.499,72.494,3419550
2024-07-01,73.505,71.446,73.845,71.4,1807144
