Date,Open,Last,High,Low,Volume
2024-01-29,57.46,57.963,58.045,56.984,1190398
2024-01-30,57.953,57.487,58.127,57.341,1211621
2024-01-31,57.734,56.5,57.944,56.207,1185302
2024-02-01,56.527,57.707,57.789,56.454,1341963
2024-02-02,57.615,56.756,57.716,56.509,1359533
2024-02-05,56.161,56.033,56.426,55.869,1349654
2024-02-06,56.015,56.042,56.728,55.933,2315419
2024-02-07,54.954,54.616,55.302,53.857,4186770
2024-02-08,54.616,55.101,55.146,54.131,2414616
2024-02-09,54.872,55.073,55.082,54.287,2134045
2024-02-12,55.091,56.792,56.81,55.055,4091264
2024-02-13,57.149,56.042,57.368,54.662,4557377
2024-02-14,56.664,56.179,56.829,55.494,2109378
2024-02-15,56.399,56.756,57.085,56.317,1538530
2024-02-16,56.564,56.829,56.948,56.189,1458824
2024-02-20,56.957,57.35,57.981,56.829,2008732
2024-02-21,57.578,57.121,57.917,56.847,1360054
2024-02-22,56.692,57.295,57.469,56.317,1614168
2024-02-23,57.158,57.14,57.633,56.874,1389541
2024-02-26,57.002,57.368,57.789,56.993,1029295
2024-02-27,57.322,57.386,57.844,56.993,1076839
2024-02-28,57.478,57.505,57.606,57.094,1289197
2024-02-29,57.607,57.478,57.994,57.257,2331900
2024-03-01,57.441,57.211,57.634,56.649,1192881
2024-03-04,56.87,57.404,57.579,56.87,1253783
2024-03-05,57.625,58.021,58.629,57.579,1495800
2024-03-06,58.445,57.8,58.666,57.331,1659372
2024-03-07,58.012,58.951,59.025,57.8,1710021
2024-03-08,58.997,59.449,59.605,58.666,1642378
2024-03-11,59.605,60.728,61.345,59.513,2085748
2024-03-12,60.618,60.379,61.115,60.001,1286793
2024-03-13,60.775,60.968,61.244,60.627,1763996
2024-03-14,60.682,60.71,61.281,60.167,2533670
2024-03-15,60.333,62.128,62.22,60.333,4432985
2024-03-18,61.861,62.11,62.441,61.686,1647197
2024-03-19,62.229,62.616,62.625,61.972,1697863
2024-03-20,62.607,61.548,62.708,61.355,1543667
2024-03-21,61.382,61.76,62.1,60.977,1163132
2024-03-22,61.916,61.843,62.294,61.64,1007168
2024-03-25,62.064,62.312,62.423,61.824,1393743
2024-03-26,62.542,61.603,62.837,61.603,1576537
2024-03-27,61.879,62.008,62.358,61.705,1255892
2024-03-28,62.22,61.926,62.414,61.64,1189986
2024-04-01,61.668,61.999,62.165,61.566,1185185
2024-04-02,62.018,62.791,62.846,62.018,1940617
2024-04-03,62.754,62.745,62.92,62.487,1429650
2024-04-04,63.012,62.045,63.012,61.668,1370805
2024-04-05,62.082,62.018,62.239,61.705,1222170
2024-04-08,61.907,61.355,62.008,61.309,1502292
2024-04-09,63.703,61.999,63.703,61.603,2344828
2024-04-10,61.474,62.119,62.45,61.327,1792509
2024-04-11,62.368,62.441,62.754,61.76,1439624
2024-04-12,62.193,61.088,62.312,60.857,1338029
2024-04-15,61.576,59.642,61.576,59.568,1926964
2024-04-16,59.513,58.251,59.67,58.169,2190414
2024-04-17,58.601,58.509,59.255,58.344,1817094
