Date,Open,Last,High,Low,Volume
2024-01-29,71.257,71.839,72.145,70.546,1080548
2024-01-30,71.918,71.77,73.044,71.533,1131170
2024-01-31,71.77,69.411,71.78,69.164,1434429
2024-02-01,66.233,67.654,68.552,64.377,2507046
2024-02-02,65.818,65.127,66.904,64.13,1745415
2024-02-05,65.058,65.907,67.131,64.505,1945982
2024-02-06,65.808,66.499,66.726,65.088,1017782
2024-02-07,66.894,65.502,66.924,65.147,942504
2024-02-08,65.828,67.101,67.407,65.502,971437
2024-02-09,67.103,67.152,67.39,66.006,908290
2024-02-12,67.301,69.129,69.445,66.49,1277511
2024-02-13,67.399,66.727,68.032,65.571,1029930
2024-02-14,67.607,69.297,69.396,66.836,1036506
2024-02-15,69.672,70.424,71.115,69.554,1109678
2024-02-16,69.761,70.769,71.965,69.267,1048576
2024-02-20,69.524,69.504,69.939,69.089,632240
2024-02-21,69.178,70.878,71.145,68.803,1373852
2024-02-22,70.809,70.918,71.698,70.147,801031
2024-02-23,71.224,70.779,71.718,70.325,479577
2024-02-26,70.928,71.066,71.343,70.315,581214
2024-02-27,71.313,72.351,72.548,70.73,1156003
2024-02-28,71.866,73.517,73.556,71.698,1191471
2024-02-29,74.12,72.706,74.713,72.677,1241420
2024-03-01,72.617,73.507,73.705,71.254,1117214
2024-03-04,73.517,74.001,74.189,72.805,707228
2024-03-05,73.487,72.538,74.11,72.044,769362
2024-03-06,72.568,73.803,75.167,70.799,1212667
2024-03-07,74.199,76.037,76.432,74.1,1418178
2024-03-08,76.274,76.185,77.826,75.978,1513113
2024-03-11,75.879,74.248,76.501,73.823,1192602
2024-03-12,74.189,73.25,74.782,72.361,1105193
2024-03-13,73.131,71.639,73.803,71.165,995750
2024-03-14,71.343,70.384,71.54,68.882,1380383
2024-03-15,69.287,71.669,71.985,69.287,1749508
2024-03-18,71.629,71.036,72.015,70.206,1004049
2024-03-19,71.036,69.929,71.56,69.218,1041638
2024-03-20,70.008,71.036,71.105,69.9,1190446
2024-03-21,71.896,71.481,71.926,70.967,821923
2024-03-22,71.53,70.661,71.609,69.821,975518
2024-03-25,70.888,68.407,70.908,68.269,1136284
2024-03-26,68.546,67.597,68.674,67.498,1465106
2024-03-27,68.269,68.605,68.971,67.202,971586
2024-03-28,69.07,69.564,69.939,68.467,1179959
2024-04-01,69.92,68.595,69.989,67.805,772939
2024-04-02,68.091,67.953,68.17,66.55,689314
2024-04-03,67.488,67.073,68.071,66.619,810475
2024-04-04,67.686,66.263,68.062,65.986,858803
2024-04-05,66.233,66.204,67.558,66.065,1053192
2024-04-08,66.47,67.419,68.052,65.957,1008251
2024-04-09,67.953,70.394,70.433,67.923,1175061
2024-04-10,68.763,68.694,69.346,68.437,843726
2024-04-11,69.85,68.002,69.999,67.933,1100965
2024-04-12,67.291,65.947,67.716,65.502,703423
2024-04-15,66.47,64.751,66.668,64.336,735418
2024-04-16,64.524,63.259,64.524,62.903,1616348
2024-04-17,63.782,61.994,64.049,61.964,902987
2024-04-18,60.887,61.48,61.697,60.442,1174667
2024-04-19,61.717,61.391,62.221,61.213,909608
2024-04-22,61.806,62.063,62.646,61.094,829547
2024-04-23,63.249,62.942,63.832,62.814,1217190
