Date,Open,Last,High,Low,Volume
2024-01-29,103.245,105.088,105.355,103.126,1721063
2024-01-30,103.919,103.621,105.454,103.354,2111127
2024-01-31,94.606,95.695,97.875,91.435,6316152
2024-02-01,96.23,94.259,96.23,92.505,2896371
2024-02-02,94.071,95.477,95.795,93.001,1808983
2024-02-05,95.418,95.359,96.27,93.763,1957764
2024-02-06,95.775,96.845,96.884,95.339,1543380
2024-02-07,97.726,96.607,97.726,95.418,1380280
2024-02-08,96.498,97.558,98.648,96.498,1888028
2024-02-09,98.4,101.362,101.471,97.895,1653911
2024-02-12,101.303,101.957,103.8,100.966,1362076
2024-02-13,98.44,97.994,99.143,96.567,1886370
2024-02-14,99.272,100.629,100.867,99.094,1454066
2024-02-15,102.754,101.732,103.111,100.879,2115859
2024-02-16,102.337,101.415,103.26,100.81,1608844
2024-02-20,99.798,99.362,100.988,98.042,1446230
2024-02-21,97.477,98.776,98.806,97.021,1110839
2024-02-22,100.691,101.653,102.506,99.54,1858491
2024-02-23,101.663,99.332,101.891,99.223,1451194
2024-02-26,100.086,101.326,101.732,99.381,1272777
2024-02-27,102.079,99.461,102.079,99.233,1675465
2024-02-28,98.191,99.54,99.877,97.963,1226244
2024-02-29,101.088,102.754,103.002,100.592,2391925
2024-03-01,103.22,105.025,105.928,101.931,2008891
2024-03-04,105.779,104.976,106.067,104.579,1252254
2024-03-05,103.865,102.923,104.569,101.603,1264980
2024-03-06,105.135,105.888,106.91,104.906,1497444
2024-03-07,106.365,109.102,109.658,106.176,1576770
2024-03-08,109.668,105.264,110.025,105.224,1632683
2024-03-11,104.956,105.492,105.74,103.716,1565587
2024-03-12,106.176,107.327,107.545,104.401,1505425
2024-03-13,105.829,104.599,107.446,103.964,1808390
2024-03-14,104.976,103.012,105.373,101.911,1646690
2024-03-15,101.782,102.228,103.498,101.703,3409721
2024-03-18,103.409,102.03,104.391,101.861,1767191
2024-03-19,100.998,102.645,102.952,100.681,2253305
2024-03-20,103.309,106.246,106.93,103.309,2435238
2024-03-21,108.477,110.551,112.088,107.972,2562707
2024-03-22,110.025,109.856,111.364,109.777,1812701
2024-03-25,107.912,108.021,109.36,107.743,1561847
2024-03-26,108.299,107.267,109.33,107.118,1732737
2024-03-27,108.11,110.64,110.779,107.644,1256523
2024-03-28,110.739,111.919,112.366,110.67,2046945
2024-04-01,111.939,112.038,113.903,110.977,1346621
2024-04-02,110.372,109.251,110.789,108.398,1187278
2024-04-03,108.081,107.972,109.529,107.605,1595774
2024-04-04,109.767,105.095,110.154,104.758,2475884
2024-04-05,105.016,106.404,106.861,104.847,1143894
2024-04-08,107.089,106.95,108.279,106.801,1154682
2024-04-09,108.061,110.293,110.362,107.833,1439424
2024-04-10,107.476,105.541,108.21,104.916,1516986
2024-04-11,106.811,108.577,108.646,104.966,1905329
2024-04-12,106.742,105.016,107.843,104.391,1841357
2024-04-15,106.573,103.577,107.118,103.101,1605171
2024-04-16,104.113,104.083,105.333,103.052,1269363
2024-04-17,103.776,101.246,104.083,100.721,2237572
2024-04-18,100.601,99.391,101.732,99.213,2113848
2024-04-19,99.322,95.195,99.848,95.027,2920024
2024-04-22,96.316,96.971,97.903,95.424,2302910
2024-04-23,97.259,99.044,99.54,97.259,1927842
2024-04-24,101.266,99.887,101.841,98.667,2437323
2024-04-25,106.553,108.031,108.954,103.161,7876568
2024-04-26,109.549,113.209,113.745,109.38,5205516
2024-04-29,113.219,117.335,117.683,113.08,2185257
2024-04-30,116.423,115.381,117.871,115.312,2337678
2024-05-01,114.121,112.822,116.284,110.888,3360141
2024-05-02,114.935,116.443,116.651,113.09,2468922
2024-05-03,119.091,119.468,120.877,118.139,2694180
2024-05-06,120.222,120.966,121.293,119.2,2078577
2024-05-07,122.047,120.113,122.652,119.805,2750511
2024-05-08,118.04,119.458,119.785,117.514,1795008
2024-05-09,119.587,121.62,122.107,119.289,1927046
2024-05-10,122.722,121.928,123.098,121.253,1386250
2024-05-13,122.007,123.842,124.924,121.918,2206341
2024-05-14,123.803,126.084,126.352,123.803,1738851
2024-05-15,128.286,130.885,131.579,127.483,3351708
2024-05-16,130.667,130.429,131.689,130.111,2407878
2024-05-17,131.52,130.845,132.383,129.844,1968118
2024-05-20,133.91,138.384,139.088,133.603,3406257
2024-05-21,136.761,139.263,139.631,136.404,1913828
2024-05-22,139.72,141.835,141.984,138.687,2062318
2024-05-23,144.178,139.243,144.595,137.933,2292529
2024-05-24,140.177,142.976,143.969,140.177,2134235
2024-05-28,143.185,144.188,145.478,142.013,2087705
2024-05-29,141.408,140.852,143.086,140.703,2079801
2024-05-30,141.06,140.256,141.636,139.124,2274538
2024-05-31,140.316,139.928,141.636,134.984,3212785
2024-06-03,142.808,140.008,144.595,137.953,1730511
2024-06-04,139.343,138.618,140.762,137.575,2583465
2024-06-05,140.981,144.346,144.495,140.048,2182867
2024-06-06,143.225,142.202,143.671,141.785,1319090
2024-06-07,141.795,139.889,143.393,138.429,1253149
2024-06-10,138.3,142.053,143.135,138.3,1467737
2024-06-11,140.991,143.413,143.522,140.196,1238693
2024-06-12,146.421,147.792,151.137,146.044,2573486
2024-06-13,144.396,146.58,147.007,143.82,1282597
2024-06-14,143.84,144.019,145.458,143.651,1060211
2024-06-17,143.532,143.701,143.949,140.484,2452041
2024-06-18,146.253,150.661,150.859,145.925,2893408
2024-06-20,149.44,146.888,149.757,145.131,3293628
2024-06-21,146.541,147.384,148.467,145.22,6175742
2024-06-24,145.677,144.485,147.831,144.227,1785668
2024-06-25,144.763,146.511,146.958,143.244,2016795
2024-06-26,146.213,145.816,146.938,143.731,1343430
2024-06-27,145.945,146.511,147.186,144.783,1365439
2024-06-28,147.792,147.226,150.432,145.319,2826304
2024-07-01,146.938,146.709,147.702,144.406,1159666
2024-07-02,145.945,148.526,149.658,144.386,1203684
2024-07-03,148.923,150.611,151.574,147.772,990174
2024-07-05,151.574,150.115,151.574,148.824,929893
2024-07-08,151.068,153.063,153.788,150.73,1518957
2024-07-09,153.53,152.378,154.989,152.001,1223329
2024-07-10,153.252,157.988,158.464,152.716,1783264
2024-07-11,160.063,153.689,160.063,153.361,2082692
2024-07-12,154.86,155.208,157.72,153.451,1907461
2024-07-15,156.052,158.345,159.993,155.953,2113515
2024-07-16,160.053,161.83,162.039,157.829,1472093
2024-07-17,157.511,151.256,158.534,151.068,3141796
2024-07-18,150.74,148.447,152.428,146.084,2945675
2024-07-19,147.95,145.369,149.201,144.952,2001005
2024-07-22,149.916,153.351,154.066,148.03,2252076
2024-07-23,150.75,151.177,153.034,150.482,1309077
2024-07-24,148.546,142.51,149.618,142.152,3150209
2024-07-25,127.518,123.448,129.037,119.486,6539001
2024-07-26,124.262,125.552,125.681,122.147,2617182
2024-07-29,127.449,127.012,129.335,126.227,1744283
2024-07-30,127.667,120.469,127.776,119.238,2812505
