Date,Open,High,Low,Close,Volume
2026-06-03,153.06,158.07,153.0,157.9,5865088
2026-06-02,152.86,154.2,152.34,153.69,1022909
2026-06-01,153.38,154.33,152.43,152.75,5893169
2026-05-29,155.15,156.52,154.26,154.75,12110108
2026-05-28,156.02,157.63,153.77,154.89,7647891
2026-05-27,160.0,160.89,156.56,157.01,5632856
2026-05-26,158.3,159.81,157.0,158.97,4721978
2026-05-22,157.5,158.46,155.88,158.27,4845113
2026-05-21,159.5,159.98,156.51,157.46,5854975
2026-05-20,152.89,160.59,152.45,159.21,9371837
2026-05-19,149.1,152.56,148.71,150.68,8732568
2026-05-18,148.19,151.66,147.8,150.25,6911725
2026-05-15,147.82,148.37,147.1,147.43,8988078
2026-05-14,146.76,148.12,146.4,147.35,7764806
2026-05-13,148.69,149.31,145.66,146.54,6416530
2026-05-12,148.51,150.55,146.62,149.76,5318170
2026-05-11,152.34,153.37,146.78,148.42,5770538
2026-05-08,154.51,154.79,152.02,152.85,4908387
2026-05-07,155.53,156.91,152.91,153.97,4674186
2026-05-06,155.34,155.63,152.71,154.94,7664972
2026-05-05,154.5,156.61,154.19,154.45,6109088
2026-05-04,155.38,156.29,152.99,154.13,4047320
2026-05-01,156.59,157.76,155.49,156.31,4125937
2026-04-30,155.59,157.06,154.92,156.23,4613243
2026-04-29,155.5,156.12,154.64,155.56,3545822
2026-04-28,157.94,158.23,155.34,156.68,2840960
2026-04-27,155.95,158.25,155.95,156.96,3799883
2026-04-24,157.17,158.04,155.21,156.51,3981438
2026-04-23,158.22,160.0,156.98,157.83,3179496
2026-04-22,158.87,159.7,157.68,157.95,2582138
2026-04-21,159.54,160.16,157.96,158.72,3236810
2026-04-20,160.5,160.97,158.84,159.16,4062245
2026-04-17,158.06,160.87,157.99,160.15,5190396
2026-04-16,159.87,160.63,155.9,156.96,3956539
2026-04-15,159.17,160.74,158.43,159.7,3366720
2026-04-14,157.97,159.84,157.38,159.75,4537985
2026-04-13,160.44,160.72,156.81,158.8,5208351
2026-04-10,163.89,164.41,159.89,161.07,3559814
2026-04-09,160.3,165.27,160.01,164.46,5593411
2026-04-08,157.91,161.36,157.53,161.11,4938036
2026-04-07,160.75,160.93,156.91,157.06,4308616
2026-04-06,160.29,161.62,159.37,161.29,3698265
2026-04-02,160.97,161.8,159.63,160.76,3856703
2026-04-01,159.93,161.83,159.47,161.5,4004122
2026-03-31,156.82,159.8,156.3,159.17,4199539
2026-03-30,156.55,157.14,154.74,155.28,3868277
2026-03-27,156.79,157.48,153.95,154.61,4319108
2026-03-26,159.05,159.4,156.51,157.05,4156796
2026-03-25,157.03,159.38,156.25,159.21,3606823
2026-03-24,156.21,158.93,154.96,157.86,4380270
2026-03-23,156.78,157.3,155.09,155.98,4577134
2026-03-20,153.76,156.16,153.76,154.47,7321785
2026-03-19,152.44,155.08,151.68,154.17,3889260
2026-03-18,154.21,155.24,152.25,152.37,3103525
2026-03-17,156.08,156.25,153.88,154.87,3861650
2026-03-16,156.06,157.26,154.82,155.5,4384767
2026-03-13,155.94,157.35,154.52,154.92,3123589
2026-03-12,156.73,157.66,155.18,155.28,3664601
2026-03-11,158.09,158.47,156.63,157.36,3977997
2026-03-10,156.75,162.05,155.86,159.0,5804666
2026-03-09,157.96,158.41,154.6,157.62,4620642
2026-03-06,159.15,159.58,157.1,158.8,5923379
2026-03-05,159.74,160.67,158.44,160.4,6536315
2026-03-04,159.48,161.37,157.68,161.2,4741352
2026-03-03,158.14,159.19,155.24,159.18,5060111
2026-03-02,159.69,160.97,158.23,159.41,4924721
2026-02-27,157.91,161.13,157.88,161.13,7099912
2026-02-26,157.3,158.8,155.9,158.17,5987731
2026-02-25,157.03,162.14,154.29,155.31,8041999
2026-02-24,157.55,158.43,156.5,157.14,5280865
2026-02-23,158.47,159.93,155.24,157.17,5709973
2026-02-20,155.54,157.98,155.15,157.71,5643404
2026-02-19,156.45,156.8,154.76,155.99,3933255
2026-02-18,155.82,156.8,155.44,156.71,2944263
2026-02-17,154.85,156.47,152.9,156.45,5507039
2026-02-13,153.41,155.31,152.17,153.95,3754731
2026-02-12,152.6,155.08,151.48,153.67,6172480
2026-02-11,152.25,153.32,149.35,149.83,5469366
2026-02-10,155.66,156.2,152.13,152.36,4519524
2026-02-09,154.45,155.38,153.08,155.29,4337870
2026-02-06,154.43,155.39,153.79,154.91,4708111
2026-02-05,153.6,155.44,152.66,154.45,7474697
2026-02-04,151.95,154.25,151.7,153.0,6879446
2026-02-03,148.78,151.68,148.6,151.14,5637588
2026-02-02,149.38,149.57,147.84,149.25,8782199
2026-01-30,146.81,149.03,146.19,148.9,6016035
2026-01-29,146.84,147.92,144.94,146.57,5950639
2026-01-28,146.48,147.33,145.86,146.89,6424549
2026-01-27,149.58,149.99,146.65,147.11,7094004
2026-01-26,151.8,152.85,147.98,149.17,8152486
2026-01-23,152.12,152.79,151.54,152.31,5651590
2026-01-22,154.99,155.74,151.81,152.49,5808313
2026-01-21,155.39,156.04,154.07,154.9,5511881
2026-01-20,156.24,156.64,154.4,155.13,5887936
2026-01-16,155.02,156.83,154.76,156.42,6269950
2026-01-15,154.8,155.84,153.87,155.21,4105767
2026-01-14,156.79,157.15,153.6,154.19,5371224
2026-01-13,155.92,157.2,155.34,157.18,4104421
2026-01-12,156.75,157.79,155.84,156.14,5529903
2026-01-09,156.96,158.51,156.34,156.85,4487958
2026-01-08,153.46,157.58,152.49,157.29,5950278
2026-01-07,153.43,154.59,152.4,153.1,5681817
2026-01-06,152.07,153.88,151.2,152.98,5327958
2026-01-05,153.06,154.08,151.95,152.9,5027281
2026-01-02,152.32,153.41,151.12,153.34,4064927
2025-12-31,154.21,154.96,152.62,152.67,3040729
2025-12-30,154.85,155.55,154.1,154.4,2848109
2025-12-29,155.88,156.61,155.08,155.52,3214874
2025-12-26,156.04,156.8,155.74,156.15,1688210
2025-12-24,154.98,156.51,154.97,156.33,1402655
2025-12-23,155.92,156.2,154.66,154.97,2794071
2025-12-22,153.58,155.68,153.21,155.63,3602956
