Date,Open,Last,High,Low,Volume
2024-01-29,83.281,81.057,83.614,80.792,2950832
2024-01-30,80.733,83.281,84.231,80.733,1938335
2024-01-31,83.516,81.997,83.77,81.742,970674
2024-02-01,82.761,83.829,84.055,82.095,989416
2024-02-02,84.231,83.369,84.231,82.007,855678
2024-02-05,83.143,83.819,84.153,82.585,1003151
2024-02-06,85.172,85.407,86.063,84.26,1183754
2024-02-07,84.711,85.534,86.239,84.094,1291000
2024-02-08,85.848,84.192,85.867,83.712,933739
2024-02-09,84.27,84.388,84.77,83.996,850685
2024-02-12,85.916,85.319,86.053,84.956,694981
2024-02-13,84.897,85.73,86.533,84.28,1460240
2024-02-14,85.338,85.789,86.122,84.456,851520
2024-02-15,86.044,85.24,86.788,84.858,1501755
2024-02-16,84.878,83.898,85.26,83.898,1023510
2024-02-20,83.976,84.025,85.191,83.77,921893
2024-02-21,83.917,83.839,84.104,82.673,1413409
2024-02-22,83.878,84.407,84.544,83.565,876415
2024-02-23,84.819,84.074,85.044,83.575,858932
2024-02-26,84.535,82.752,84.652,82.712,1173281
2024-02-27,82.752,84.554,84.887,82.232,1002811
2024-02-28,81.566,81.252,84.985,81.223,2118693
2024-02-29,80.743,82.036,83.447,80.694,1135936
2024-03-01,82.017,80.645,82.213,80.126,1108636
2024-03-04,80.674,80.018,81.537,79.43,733756
2024-03-05,77.255,78.95,79.891,77.098,3632044
2024-03-06,79.362,77.686,79.655,77.333,1441052
2024-03-07,79.606,78.979,80.175,78.842,1282791
2024-03-08,78.617,79.744,80.165,78.382,843615
2024-03-11,80.204,79.655,80.204,78.783,1180817
2024-03-12,78.872,79.636,79.793,78.597,903059
2024-03-13,79.655,79.136,79.93,78.49,1834258
2024-03-14,79.44,78.088,79.783,77.715,1196916
2024-03-15,78.685,78.176,79.224,77.833,1413304
2024-03-18,78.186,79.175,80.018,78.039,1339259
2024-03-19,79.41,79.381,80.057,78.411,1035279
2024-03-20,79.508,85.603,85.73,79.254,4944530
2024-03-21,85.24,84.672,85.652,83.721,1596287
2024-03-22,84.554,84.878,85.73,84.3,1119365
