Date,Open,Last,High,Low,Volume
2024-01-29,85.107,85.603,85.883,84.935,38243550
2024-01-30,86.162,86.379,86.487,85.495,40151415
2024-01-31,86.83,87.227,87.453,86.632,80646722
2024-02-01,88.195,88.938,89.327,87.987,84291219
2024-02-02,87.154,86.973,87.471,86.629,63823250
2024-02-05,85.67,85.217,85.869,85.117,53827357
2024-02-06,85.316,86.05,86.14,85.289,33411473
2024-02-07,85.615,85.633,86.213,85.57,40120215
2024-02-08,85.117,85.135,85.371,84.791,50087687
2024-02-09,84.882,84.963,85.108,84.791,27951308
2024-02-12,85.009,85.063,85.226,84.647,27890272
2024-02-13,84.067,83.605,84.248,83.587,49768460
2024-02-14,83.56,84.031,84.239,83.497,44191551
2024-02-15,84.701,84.465,84.846,84.194,49598494
2024-02-16,83.723,83.977,84.058,83.596,33116772
2024-02-20,84.004,84.049,84.366,83.94,24469329
2024-02-21,84.04,83.452,84.103,83.298,36404244
2024-02-22,83.587,83.859,83.977,83.533,45190659
2024-02-23,83.968,84.981,85.099,83.968,38406710
2024-02-26,85.099,84.728,85.126,84.366,27855044
2024-02-27,84.411,84.131,84.619,84.058,30241953
2024-02-28,84.266,84.665,84.737,84.103,34574178
2024-02-29,84.936,85.262,85.371,84.9,51038614
2024-03-01,84.855,85.791,85.827,84.465,45832788
2024-03-04,85.091,85.446,85.509,85.073,23864210
2024-03-05,86.481,86.663,86.89,86.245,37721853
2024-03-06,86.717,87.171,87.335,86.644,40571580
2024-03-07,87.507,87.089,87.543,86.708,39075047
2024-03-08,86.999,86.935,87.226,86.708,25023234
2024-03-11,87.144,86.89,87.189,86.608,17787915
2024-03-12,86.308,86.163,86.463,85.991,29566000
2024-03-13,85.818,85.745,86.036,85.555,38270057
2024-03-14,85.119,84.429,85.137,84.329,58365563
2024-03-15,84.51,84.401,84.628,84.265,34997707
2024-03-18,84.211,84.147,84.447,84.002,29519539
2024-03-19,84.32,84.383,84.701,84.174,26953132
2024-03-20,84.547,84.356,85.173,83.811,43460080
2024-03-21,84.701,84.537,84.846,84.211,34276643
2024-03-22,85.536,85.346,85.555,85.164,30262284
2024-03-25,85.101,84.919,85.137,84.728,24011759
2024-03-26,84.919,85.155,85.246,84.71,34422997
2024-03-27,85.355,86.0,86.0,85.309,50157816
2024-03-28,85.809,85.927,86.29,85.654,34540428
2024-04-01,85.0,84.325,85.009,84.243,48945448
2024-04-02,83.432,83.861,84.006,83.223,43086304
2024-04-03,83.15,83.842,83.87,82.959,45494441
2024-04-04,84.398,84.444,84.517,83.861,47957413
2024-04-05,83.542,83.268,83.988,83.259,42495899
2024-04-08,83.123,83.259,83.451,83.032,37879796
2024-04-09,83.706,84.034,84.152,83.678,32537023
2024-04-10,83.095,82.202,83.186,82.047,74368942
2024-04-11,82.348,81.829,82.403,81.555,65751184
2024-04-12,82.585,82.266,82.868,82.257,47900106
2024-04-15,81.291,80.991,81.328,80.653,55993060
2024-04-16,80.225,80.453,80.708,79.988,45103244
2024-04-17,80.972,81.346,81.437,80.599,57946990
2024-04-18,81.309,80.936,81.337,80.717,43839454
2024-04-19,81.446,81.227,81.446,81.009,44826771
