Date,Open,Last,High,Low,Volume
2024-01-29,50.88,51.58,51.66,50.6,930220
2024-01-30,52.19,52.84,52.97,51.86,2083767
2024-01-31,52.51,50.86,52.51,50.86,1555616
2024-02-01,50.93,52.39,52.52,50.59,1097536
2024-02-02,51.97,52.59,52.87,51.66,939992
2024-02-05,52.06,51.64,52.18,51.08,1351642
2024-02-06,51.87,51.69,52.15,51.49,865335
2024-02-07,51.75,51.91,52.0,51.17,1485989
2024-02-08,51.91,52.08,52.39,51.68,1031306
2024-02-09,52.09,52.51,52.64,51.73,1597402
2024-02-12,49.79,54.69,55.5,49.6,3722299
2024-02-13,54.75,55.96,57.15,54.56,4016793
2024-02-14,56.32,58.21,58.3,56.31,3573543
2024-02-15,59.03,60.15,60.41,59.0,2447211
2024-02-16,59.75,60.29,60.89,59.68,1989957
2024-02-20,59.58,60.13,60.6,59.44,2131859
2024-02-21,59.81,60.31,60.65,59.59,1954959
2024-02-22,60.67,61.4,61.92,60.05,1798298
2024-02-23,61.57,61.46,62.11,61.03,1314843
2024-02-26,61.22,61.81,62.37,61.15,1422896
2024-02-27,62.1,61.78,62.49,61.37,1116442
2024-02-28,61.33,60.91,62.46,60.7,1573206
2024-02-29,61.05,61.19,61.47,60.72,2728500
2024-03-01,61.24,62.35,62.39,60.77,1660396
2024-03-04,62.3,62.55,62.7,61.84,958491
2024-03-05,62.24,61.79,62.93,61.54,1138274
2024-03-06,62.19,62.43,62.67,61.76,1045773
2024-03-07,62.59,62.5,63.07,62.25,878457
2024-03-08,63.01,63.09,63.89,62.72,1617849
2024-03-11,63.09,62.84,63.57,62.44,1050736
2024-03-12,62.93,63.42,63.93,62.73,1073406
2024-03-13,63.45,63.33,63.81,63.13,1137288
2024-03-14,63.47,62.33,63.47,61.61,1467844
2024-03-15,61.88,62.07,62.66,61.88,2861709
2024-03-18,62.43,62.45,62.99,62.14,1019917
2024-03-19,62.22,63.47,63.56,61.95,1166556
2024-03-20,63.57,63.74,63.95,62.9,911544
2024-03-21,64.0,64.69,65.55,63.81,1114802
2024-03-22,64.4,64.2,64.71,64.11,715077
2024-03-25,64.18,63.1,64.36,62.98,1091548
2024-03-26,63.3,63.44,64.55,63.13,1460276
2024-03-27,63.61,63.3,64.18,62.48,2220078
2024-03-28,63.38,64.36,64.63,62.63,2964567
2024-04-01,64.19,63.17,64.27,63.12,909987
2024-04-02,62.79,62.83,62.99,62.2,861787
2024-04-03,62.46,62.35,63.49,62.0,1296276
2024-04-04,63.01,61.49,63.63,61.44,1208710
2024-04-05,61.25,61.45,61.74,60.85,2794043
2024-04-08,61.78,62.18,62.56,61.59,3046914
2024-04-09,62.5,62.97,63.16,62.13,1533672
2024-04-10,61.53,61.52,62.13,61.15,977785
2024-04-11,61.78,62.03,62.24,61.37,1333746
2024-04-12,61.36,60.54,61.52,60.23,1030455
2024-04-15,61.14,59.41,61.4,59.25,1018415
2024-04-16,59.08,58.92,59.32,58.61,897263
2024-04-17,59.43,58.49,59.54,58.44,852492
2024-04-18,58.53,57.86,58.69,57.75,905854
2024-04-19,58.04,57.97,58.61,57.73,843209
2024-04-22,58.78,58.94,59.26,58.05,861326
2024-04-23,58.84,59.69,60.0,58.76,808747
2024-04-24,59.53,59.51,59.89,58.97,1061077
2024-04-25,59.01,59.21,59.23,58.3,1637883
2024-04-26,59.43,60.15,60.41,59.28,790686
2024-04-29,60.14,60.67,60.71,60.14,817667
2024-04-30,60.23,60.07,60.8,59.67,1289999
2024-05-01,60.09,58.59,60.09,58.56,1074142
2024-05-02,58.96,60.09,60.22,58.32,1676718
2024-05-03,60.09,55.93,60.27,55.44,3315510
2024-05-06,56.83,56.2,56.83,55.23,3006039
2024-05-07,56.58,57.0,58.04,56.41,2326133
2024-05-08,56.55,56.54,56.76,55.82,1471234
2024-05-09,56.55,56.78,57.03,56.44,1286629
2024-05-10,56.96,56.8,57.27,56.49,1034709
2024-05-13,57.18,57.06,57.66,57.01,1066099
2024-05-14,57.55,57.09,57.87,57.04,1175710
2024-05-15,57.54,57.68,57.76,57.07,1119138
2024-05-16,57.38,57.25,57.68,56.88,1880779
2024-05-17,57.71,57.09,57.71,56.47,1180673
2024-05-20,56.93,57.32,57.43,56.71,1075697
2024-05-21,56.79,57.3,57.48,56.79,967917
2024-05-22,57.48,57.6,58.62,57.42,2216927
2024-05-23,57.69,56.87,57.69,56.69,847702
2024-05-24,57.37,56.8,57.37,56.62,671234
2024-05-28,56.8,55.82,56.8,55.69,976585
2024-05-29,55.27,55.7,56.16,55.14,1036606
2024-05-30,55.81,55.5,56.02,55.43,973691
2024-05-31,55.49,55.68,55.9,54.8,1994354
2024-06-03,55.68,54.5,55.92,53.9,1409329
2024-06-04,54.26,54.0,54.56,53.92,918638
2024-06-05,54.35,54.44,54.66,53.91,1428303
2024-06-06,54.44,55.57,55.6,54.05,1779710
2024-06-07,55.2,54.99,55.65,54.46,1520436
2024-06-10,54.62,55.36,55.5,54.39,1509624
2024-06-11,55.28,55.3,55.57,54.89,5166806
2024-06-12,56.23,56.09,56.66,55.76,1289655
2024-06-13,55.98,55.72,55.98,55.22,755712
2024-06-14,55.42,54.81,55.42,54.16,1013807
2024-06-17,54.81,55.72,55.78,54.38,1180413
2024-06-18,55.72,55.51,55.72,55.08,1148606
