Date,Open,Last,High,Low,Volume
2024-01-29,68.39,71.51,71.52,68.25,4079832
2024-01-30,71.0,69.28,71.52,69.2,3629535
2024-01-31,67.91,68.43,70.67,67.56,3113559
2024-02-01,68.75,67.21,69.66,66.87,5561264
2024-02-02,68.49,70.0,70.61,67.33,8032214
2024-02-05,68.99,67.5,69.36,66.56,4717355
2024-02-06,68.03,68.6,68.98,67.77,3469108
2024-02-07,68.85,69.6,70.45,68.32,4261163
2024-02-08,69.7,70.17,71.03,68.65,4089138
2024-02-09,71.16,71.31,72.57,70.76,5434930
2024-02-12,70.8,73.91,75.79,70.71,7224964
2024-02-13,71.39,72.94,73.77,71.11,5011656
2024-02-14,74.3,74.31,74.43,72.21,3975190
2024-02-15,73.68,75.71,76.17,73.68,9616788
2024-02-16,89.5,88.93,94.0,85.68,29562231
2024-02-20,85.61,82.56,86.46,80.67,11845833
2024-02-21,81.22,82.08,82.19,80.02,5746163
2024-02-22,83.61,83.5,84.37,81.87,5515005
2024-02-23,83.92,81.44,84.04,80.97,4517051
2024-02-26,81.5,82.19,82.38,80.29,4563488
2024-02-27,82.98,85.6,85.65,82.3,5089382
2024-02-28,84.56,84.9,85.69,84.09,3933322
2024-02-29,85.5,85.43,85.97,84.57,4771265
2024-03-01,85.9,83.89,86.0,83.54,4647099
2024-03-04,82.96,83.45,83.65,81.92,3449122
2024-03-05,82.27,81.45,82.5,80.71,2974456
2024-03-06,82.6,82.18,83.01,81.21,3481103
2024-03-07,82.6,81.83,83.3,81.6,2935285
2024-03-08,81.77,81.59,83.74,81.32,3545729
2024-03-11,81.01,81.45,82.16,80.64,2340562
2024-03-12,82.0,80.43,82.25,80.01,2943620
2024-03-13,80.14,80.16,81.51,80.03,3319926
2024-03-14,80.35,77.53,80.41,76.99,5793125
2024-03-15,77.53,76.72,78.05,76.42,4366854
2024-03-18,77.76,78.35,79.02,77.02,3047251
2024-03-19,78.37,79.76,80.08,77.95,3581287
2024-03-20,80.65,83.47,84.48,80.54,6542800
2024-03-21,84.73,85.06,85.42,84.29,4484600
2024-03-22,85.27,85.06,85.53,84.06,3026547
2024-03-25,85.0,87.55,87.61,84.92,3426265
2024-03-26,88.0,87.05,89.88,86.89,4727619
2024-03-27,87.98,87.21,88.34,86.03,2795209
2024-03-28,87.51,87.42,88.19,86.82,3053066
2024-04-01,87.4,87.31,88.61,86.78,1821451
2024-04-02,85.16,87.09,87.35,84.33,2587541
2024-04-03,86.52,86.94,87.91,86.21,2126563
2024-04-04,87.85,84.56,88.19,84.52,3812346
2024-04-05,84.58,85.83,86.93,84.12,1939098
2024-04-08,86.12,86.68,87.0,85.3,1644189
2024-04-09,87.05,86.84,87.75,86.41,1716561
2024-04-10,84.56,86.44,86.78,84.11,2260930
2024-04-11,86.9,87.7,87.98,85.85,2673987
2024-04-12,86.79,86.37,87.22,85.6,2349888
2024-04-15,86.47,80.99,86.5,80.64,3833740
2024-04-16,81.0,82.13,82.42,79.3,2872062
2024-04-17,82.56,80.13,82.64,80.1,1861908
2024-04-18,80.37,80.81,81.99,79.94,1916140
2024-04-19,80.6,77.3,80.67,76.83,3113783
2024-04-22,78.1,77.84,78.97,76.12,2535827
2024-04-23,78.0,81.07,82.17,77.91,3251418
