Date,Open,Last,High,Low,Volume
2024-01-29,432.09,436.41,436.41,430.21,148108
2024-01-30,434.27,432.06,437.0,431.93,136110
2024-01-31,430.68,422.75,432.0,421.57,146679
2024-02-01,422.59,429.68,431.13,421.15,134879
2024-02-02,428.64,430.86,433.92,427.33,201566
2024-02-05,428.43,427.39,429.65,421.79,117222
2024-02-06,429.98,430.52,431.38,425.59,128345
2024-02-07,433.92,435.88,437.81,430.69,133872
2024-02-08,434.88,435.15,437.9,434.51,142784
2024-02-09,437.31,440.99,442.4,433.11,165678
2024-02-12,440.29,434.85,441.4,434.45,194607
2024-02-13,423.21,431.7,436.49,423.21,246330
2024-02-14,435.77,440.13,441.03,432.23,229833
2024-02-15,423.15,441.11,454.74,421.29,378661
2024-02-16,443.07,440.98,443.22,437.44,202349
2024-02-20,438.0,435.38,440.7,432.85,184492
2024-02-21,434.47,432.71,434.47,425.92,239584
2024-02-22,439.83,436.6,443.7,434.0,298540
2024-02-23,439.49,437.48,441.0,434.3,141171
2024-02-26,439.46,441.19,444.77,437.81,284566
2024-02-27,441.21,436.39,443.93,434.93,144299
2024-02-28,434.88,438.71,440.15,434.8,131005
2024-02-29,440.13,437.14,440.72,434.54,348977
2024-03-01,436.03,440.9,441.76,433.6,180137
2024-03-04,439.0,438.14,440.85,436.24,178146
2024-03-05,434.23,417.18,437.78,413.54,296873
2024-03-06,422.35,419.86,425.26,417.51,208517
2024-03-07,424.19,422.07,424.98,419.96,165446
2024-03-08,422.34,420.48,425.49,417.83,204702
2024-03-11,418.1,428.82,429.05,418.1,299704
2024-03-12,426.76,427.96,431.45,423.11,206635
2024-03-13,429.35,421.15,429.84,419.13,291168
2024-03-14,420.34,418.28,423.53,414.43,160470
2024-03-15,412.11,416.31,417.44,411.21,492593
2024-03-18,418.33,416.33,421.1,415.42,140973
2024-03-19,415.56,424.4,425.41,415.56,190826
2024-03-20,425.58,420.62,425.58,416.94,162742
2024-03-21,422.1,421.08,423.48,419.79,176210
2024-03-22,421.97,419.29,421.97,413.06,259800
2024-03-25,417.82,420.25,421.5,415.62,174643
2024-03-26,420.0,418.09,421.06,417.09,184523
2024-03-27,422.28,420.6,422.28,417.02,263361
2024-03-28,422.12,425.01,425.43,419.4,203222
2024-04-01,425.27,416.69,425.53,415.29,144825
2024-04-02,412.56,413.87,416.69,408.91,184557
2024-04-03,412.5,415.04,415.53,410.54,210169
2024-04-04,418.62,414.77,424.31,414.65,234393
2024-04-05,415.28,415.18,419.88,413.97,210306
2024-04-08,416.25,418.2,419.88,414.62,180240
2024-04-09,420.52,423.2,423.58,417.12,286040
2024-04-10,417.79,411.85,420.53,409.3,306701
2024-04-11,412.1,412.86,415.46,407.09,142764
2024-04-12,408.39,413.36,413.58,407.5,293890
2024-04-15,414.71,400.68,415.29,399.75,178620
2024-04-16,400.87,399.22,402.36,398.36,178381
2024-04-17,399.68,402.84,404.26,397.8,261993
2024-04-18,403.85,402.95,405.47,399.77,221711
2024-04-19,404.6,403.35,404.6,400.54,285356
2024-04-22,407.36,411.41,413.29,403.65,238198
2024-04-23,412.7,418.44,419.85,412.7,200218
2024-04-24,419.41,419.0,421.55,415.24,308374
2024-04-25,445.72,458.07,464.81,435.03,503041
2024-04-26,459.0,460.74,465.78,456.19,286608
2024-04-29,458.31,465.2,465.22,455.24,325787
2024-04-30,463.91,461.55,466.1,461.4,322975
2024-05-01,460.64,458.53,464.2,455.07,266556
2024-05-02,459.71,464.46,465.22,452.57,195318
2024-05-03,470.0,469.0,471.53,464.15,176465
2024-05-06,472.08,476.02,477.86,471.31,198618
2024-05-07,476.4,481.38,483.83,474.01,280929
2024-05-08,481.17,481.02,485.41,477.16,195985
2024-05-09,481.69,481.84,483.86,475.61,176293
2024-05-10,482.95,484.76,488.71,480.42,197162
2024-05-13,486.73,481.1,487.28,479.61,131957
2024-05-14,482.22,484.85,487.11,477.99,224000
2024-05-15,487.23,489.14,492.57,483.94,211934
2024-05-16,488.99,487.97,490.86,485.32,188877
2024-05-17,489.94,489.14,489.94,485.86,110509
2024-05-20,490.0,493.92,495.0,488.15,129885
2024-05-21,494.78,495.98,498.66,492.75,152696
2024-05-22,497.26,497.51,500.49,495.64,147744
2024-05-23,499.55,491.13,499.55,487.9,207029
2024-05-24,491.3,492.05,494.84,486.89,92009
2024-05-28,490.71,479.13,492.49,476.11,311026
2024-05-29,476.16,475.4,481.02,475.37,185998
2024-05-30,473.07,477.38,480.9,470.0,220316
2024-05-31,477.08,480.36,480.36,468.35,299343
2024-06-03,480.28,474.19,480.28,468.01,161616
2024-06-04,473.12,479.1,480.56,467.89,167495
2024-06-05,480.6,483.83,484.27,478.52,133431
2024-06-06,486.35,481.42,490.26,480.78,133229
2024-06-07,481.5,481.84,484.24,480.22,148839
2024-06-10,480.9,477.02,483.14,476.86,204176
2024-06-11,476.0,481.97,483.35,476.0,275032
2024-06-12,486.63,478.58,490.06,477.93,344874
2024-06-13,477.59,474.49,480.16,471.05,224192
2024-06-14,472.57,471.79,475.05,470.41,170008
2024-06-17,465.98,467.27,468.19,458.5,385492
2024-06-18,465.68,472.9,473.23,463.84,234747
2024-06-20,474.16,479.04,479.22,469.66,259613
2024-06-21,479.96,489.14,489.64,476.42,1027445
2024-06-24,488.51,491.57,495.24,486.41,265680
2024-06-25,492.95,488.24,494.6,485.17,194662
2024-06-26,486.02,488.63,491.26,484.05,149770
2024-06-27,488.63,493.81,497.43,485.0,257755
2024-06-28,498.93,502.78,506.07,497.12,665137
2024-07-01,502.79,499.52,502.79,495.21,258679
2024-07-02,501.98,509.0,519.44,501.98,192760
2024-07-03,507.28,508.56,514.38,504.95,111288
2024-07-05,509.03,513.42,513.46,506.95,178005
2024-07-08,513.0,511.48,514.43,507.31,144439
2024-07-09,512.75,508.86,512.75,504.91,149922
2024-07-10,509.37,511.88,512.16,503.54,173270
2024-07-11,515.0,514.31,521.14,509.19,197753
2024-07-12,515.46,523.08,525.56,514.5,265327
2024-07-15,525.0,520.91,527.71,520.18,186680
2024-07-16,521.65,528.92,528.95,517.9,154148
2024-07-17,526.9,528.03,531.57,525.82,259968
2024-07-18,528.64,525.91,533.81,525.4,211337
2024-07-19,528.88,524.33,528.88,520.71,153624
2024-07-22,526.65,529.09,531.07,524.5,184846
2024-07-23,529.19,526.37,533.46,526.26,200611
2024-07-24,525.45,515.8,525.57,515.79,294349
2024-07-25,528.06,564.34,572.8,526.79,622653
2024-07-26,570.91,590.65,593.5,569.25,584307
2024-07-29,584.35,576.99,588.04,575.37,487121
2024-07-30,579.68,574.55,580.6,568.56,300571
2024-07-31,574.79,568.11,574.79,565.01,342449
2024-08-01,566.64,569.71,572.23,560.15,236128
2024-08-02,563.5,575.81,575.86,557.16,271472
2024-08-05,560.57,569.01,575.76,555.34,297162
2024-08-06,566.17,570.63,579.56,566.17,212111
2024-08-07,569.21,568.48,578.94,565.21,223996
2024-08-08,571.27,579.52,580.41,567.74,186088
2024-08-09,577.96,575.23,578.34,572.22,132439
2024-08-12,575.99,579.76,580.34,570.84,200915
2024-08-13,581.42,579.28,581.88,576.56,158002
2024-08-14,578.32,581.18,584.89,577.84,130396
2024-08-15,581.59,582.01,582.3,578.24,175512
2024-08-16,580.54,584.17,584.24,578.83,177595
2024-08-19,584.0,579.58,585.75,579.04,165248
2024-08-20,580.88,576.63,584.58,575.91,199164
2024-08-21,576.34,581.19,581.24,576.34,180474
2024-08-22,581.14,572.68,581.37,570.89,145516
2024-08-23,576.14,571.73,576.32,567.02,203128
2024-08-26,571.92,571.68,575.27,570.8,208483
2024-08-27,571.75,578.59,581.86,571.75,141298
2024-08-28,577.93,581.05,581.88,577.09,111626
2024-08-29,583.16,587.63,592.45,583.16,176618
2024-08-30,589.9,587.87,592.23,583.07,294709
2024-09-03,587.12,578.72,587.77,574.76,180741
2024-09-04,576.5,586.66,587.14,576.5,188300
2024-09-05,581.93,583.86,586.42,579.74,138228
2024-09-06,586.84,581.16,590.0,579.84,215837
2024-09-09,586.97,588.99,590.8,583.57,316379
2024-09-10,592.08,595.46,598.93,586.1,216757
2024-09-11,592.93,586.41,592.93,578.75,170875
2024-09-12,587.0,583.17,590.31,569.66,183746
2024-09-13,583.18,581.96,584.67,579.43,140010
2024-09-16,584.56,585.73,590.49,582.04,230587
2024-09-17,586.19,579.39,591.18,576.07,248767
2024-09-18,577.79,579.49,583.01,570.63,275360
2024-09-19,586.11,580.25,586.11,576.32,369581
2024-09-20,576.89,577.8,579.69,570.17,1471127
2024-09-23,580.39,583.74,585.03,573.23,285236
2024-09-24,582.56,585.15,585.61,578.87,179906
2024-09-25,586.36,580.04,588.81,579.04,171545
2024-09-26,583.53,579.07,585.73,577.02,158564
2024-09-27,578.02,577.52,582.04,574.74,141733
2024-09-30,577.17,583.72,584.41,575.95,188152
2024-10-01,582.66,578.64,584.61,576.44,192322
2024-10-02,578.12,584.11,584.45,573.55,125966
2024-10-03,585.0,581.55,585.0,579.81,93959
2024-10-04,584.87,579.45,584.87,577.85,172365
2024-10-07,583.22,581.57,586.2,578.76,235887
2024-10-08,586.49,593.9,596.0,584.48,301569
2024-10-09,594.65,591.56,597.98,587.6,223881
2024-10-10,590.47,586.47,590.47,582.63,206933
2024-10-11,588.82,594.41,597.42,588.82,222595
2024-10-14,596.02,599.69,601.51,594.7,183404
2024-10-15,602.45,601.05,606.93,600.05,253113
2024-10-16,594.83,589.97,595.06,585.01,184612
2024-10-17,589.0,588.23,589.7,586.64,187645
2024-10-18,588.57,588.43,590.51,585.0,179731
2024-10-21,588.0,586.77,590.48,583.69,267635
2024-10-22,587.0,585.86,588.29,584.05,205048
2024-10-23,585.0,582.22,589.52,582.04,304772
2024-10-24,593.86,611.67,631.43,587.13,597972
2024-10-25,613.5,605.86,617.17,604.71,238251
2024-10-28,608.51,605.39,609.78,604.6,195230
2024-10-29,605.0,613.48,616.81,605.0,317397
2024-10-30,613.53,614.8,616.62,609.21,233421
2024-10-31,612.88,605.59,616.26,603.56,250771
2024-11-01,605.63,602.75,610.35,602.26,238961
2024-11-04,604.61,600.61,605.11,596.54,150037
2024-11-05,600.75,606.35,607.0,597.05,191652
2024-11-06,621.66,603.2,625.0,595.31,356395
2024-11-07,604.23,615.35,619.76,604.23,271076
