Date,Open,Last,High,Low,Volume
2024-01-29,42.5,42.09,42.87,42.01,7935230
2024-01-30,41.76,41.66,42.18,41.57,5264197
2024-01-31,41.4,41.38,42.46,40.86,7855875
2024-02-01,41.69,41.5,42.08,40.37,7493166
2024-02-02,41.32,41.37,41.54,40.9,5737761
2024-02-05,40.76,40.01,40.83,39.98,8629109
2024-02-06,39.86,41.23,41.3,39.71,6553596
2024-02-07,41.23,41.28,41.64,40.82,6535025
2024-02-08,41.21,41.62,41.66,40.44,7406130
2024-02-09,42.86,42.33,43.04,41.6,9216150
2024-02-12,42.15,43.02,43.29,42.09,7376567
2024-02-13,41.87,41.62,42.38,41.14,9501041
2024-02-14,41.87,42.83,43.01,41.7,7489308
2024-02-15,43.33,42.83,43.69,42.57,6694584
2024-02-16,42.26,41.99,42.54,41.61,6985446
2024-02-20,41.68,43.46,43.72,41.68,12298960
2024-02-21,43.11,44.05,44.11,42.89,9333271
2024-02-22,44.45,45.26,45.88,44.39,9335800
2024-02-23,45.11,45.51,45.78,44.96,6576111
2024-02-26,45.47,44.97,46.25,44.97,6694530
2024-02-27,45.39,44.9,45.52,44.55,6902909
2024-02-28,44.43,44.76,45.13,44.4,6146208
2024-02-29,45.0,45.49,45.67,44.93,6997020
2024-03-01,45.61,44.84,45.73,44.38,7289437
2024-03-04,44.59,44.14,45.18,43.63,10628809
2024-03-05,43.73,43.74,44.03,43.41,6078318
2024-03-06,44.1,44.07,44.83,43.82,5927695
2024-03-07,44.09,44.12,44.72,44.02,5597183
2024-03-08,44.11,43.3,44.51,43.23,7734113
2024-03-11,42.83,42.89,43.07,42.53,7371000
2024-03-12,42.67,42.17,42.8,40.83,12149764
2024-03-13,41.91,43.04,43.33,41.86,7885380
2024-03-14,42.91,42.85,43.0,41.99,7293490
2024-03-15,42.8,43.62,43.69,42.78,9156519
2024-03-18,43.62,43.55,43.71,42.5,5685381
2024-03-19,43.63,43.91,44.06,43.33,5175525
2024-03-20,43.64,45.98,45.99,43.41,8628300
2024-03-21,46.11,46.63,46.69,45.93,5582809
2024-03-22,46.51,46.47,46.79,46.14,4994423
2024-03-25,45.05,44.89,45.11,43.54,13422379
2024-03-26,45.03,45.42,45.9,44.85,8598605
2024-03-27,45.69,47.24,47.48,45.62,10931173
2024-03-28,47.18,47.88,48.0,47.11,7587826
2024-04-01,48.0,47.35,48.73,47.32,8572523
2024-04-02,46.55,45.65,46.55,45.29,8149920
2024-04-03,45.5,44.62,46.24,44.37,8664467
2024-04-04,44.98,43.22,45.75,43.18,9353722
2024-04-05,43.22,43.19,43.5,42.76,7514026
2024-04-08,42.72,43.31,43.88,42.6,7893053
2024-04-09,43.43,43.44,43.73,42.97,6344793
2024-04-10,44.26,42.37,44.75,41.76,13796489
2024-04-11,42.3,43.04,43.11,42.04,8288415
2024-04-12,42.1,41.8,42.13,41.08,11114635
2024-04-15,42.15,41.04,42.83,40.84,10452069
2024-04-16,40.8,41.5,41.72,40.1,18510943
2024-04-17,44.45,48.74,49.14,44.11,67541270
2024-04-18,49.22,51.42,51.88,49.2,38675982
2024-04-19,51.19,51.38,53.1,50.9,17004809
2024-04-22,51.86,53.94,54.15,51.53,16424904
2024-04-23,53.1,54.03,54.67,52.81,12733073
2024-04-24,53.69,52.67,53.95,52.11,10034253
2024-04-25,52.28,53.51,53.84,51.32,8895526
2024-04-26,53.07,52.84,53.51,52.29,6905764
2024-04-29,52.8,52.97,53.13,52.16,5509088
2024-04-30,52.42,51.46,52.68,51.41,7313209
2024-05-01,51.4,50.67,51.51,49.73,9732295
2024-05-02,51.39,51.68,51.82,50.92,7455861
2024-05-03,52.0,51.65,52.75,51.23,7315511
2024-05-06,51.93,53.97,54.06,51.7,8713619
2024-05-07,53.3,52.69,53.35,52.57,6193528
2024-05-08,53.12,53.02,53.5,52.63,4853210
2024-05-09,52.96,52.63,53.17,52.58,3540683
2024-05-10,52.98,52.72,53.37,52.46,3534129
2024-05-13,53.23,54.4,54.68,53.2,7633969
2024-05-14,54.8,55.09,55.22,54.8,7654989
2024-05-15,55.38,54.96,55.39,54.83,7519541
2024-05-16,55.43,54.78,56.18,54.65,6892435
2024-05-17,55.15,54.97,55.84,54.84,7157932
2024-05-20,54.99,54.62,55.27,54.56,5517540
2024-05-21,54.44,53.03,54.6,52.95,6767412
2024-05-22,52.88,52.42,53.4,52.21,4725029
2024-05-23,52.63,51.76,52.68,51.4,4764257
2024-05-24,51.91,51.73,52.3,51.26,3489525
2024-05-28,51.85,50.64,51.93,50.43,4741630
2024-05-29,49.48,51.83,51.92,48.27,12342085
2024-05-30,51.96,51.34,52.12,51.16,5399423
2024-05-31,51.82,52.99,53.11,51.65,7740892
2024-06-03,53.5,52.72,54.6,52.22,8790568
2024-06-04,52.64,52.34,54.02,51.73,8538760
2024-06-05,52.11,52.91,53.68,51.38,8902868
2024-06-06,53.31,53.3,55.12,53.03,8653330
2024-06-07,52.72,53.0,53.34,52.61,4695646
2024-06-10,52.54,53.03,53.48,52.28,3521224
2024-06-11,52.66,52.05,52.84,51.85,4620962
2024-06-12,52.85,52.93,54.13,52.5,7595194
2024-06-13,52.86,52.07,52.86,51.06,5466231
2024-06-14,50.99,49.69,51.11,48.46,10772426
2024-06-17,49.68,50.36,50.62,49.4,4999765
2024-06-18,50.32,49.58,50.67,49.45,5051314
2024-06-20,49.39,48.9,49.98,48.7,5801678
2024-06-21,48.71,48.18,48.71,47.77,11116653
2024-06-24,48.39,49.18,49.83,48.26,5554472
2024-06-25,49.16,48.52,49.85,48.5,5750539
2024-06-26,47.9,48.07,48.59,46.75,6387255
2024-06-27,47.95,48.2,48.53,47.45,4649701
2024-06-28,48.25,48.66,48.88,48.02,5293882
2024-07-01,48.72,48.33,49.16,47.99,4213080
2024-07-02,48.37,48.2,48.49,47.81,4879344
2024-07-03,48.43,48.51,48.82,48.1,2874958
2024-07-05,48.3,47.0,48.47,46.52,7251916
2024-07-08,47.56,46.82,47.73,46.71,4774681
2024-07-09,46.97,47.2,47.71,46.66,4660036
2024-07-10,47.62,47.15,47.62,46.88,6847911
2024-07-11,44.75,45.64,45.72,43.73,14191486
2024-07-12,45.39,44.72,45.8,44.55,8991216
2024-07-15,44.71,44.32,44.99,44.12,6330059
2024-07-16,44.25,47.07,47.11,44.25,9821107
2024-07-17,46.76,46.94,47.54,46.54,14554673
2024-07-18,47.91,46.39,49.67,46.07,20945162
2024-07-19,45.9,47.93,48.31,44.95,9601164
2024-07-22,47.24,48.19,48.76,46.63,8876327
2024-07-23,47.99,48.22,48.89,47.86,6682466
2024-07-24,48.34,46.02,48.34,45.83,6996074
2024-07-25,45.95,46.72,47.7,45.64,9091276
2024-07-26,47.46,47.37,47.49,46.39,5867063
2024-07-29,47.37,46.76,47.38,46.39,5171934
2024-07-30,47.03,46.61,47.97,46.38,6802220
2024-07-31,46.62,45.42,46.87,45.11,7480477
2024-08-01,45.76,42.38,45.87,42.06,12654227
2024-08-02,41.53,40.19,41.6,39.77,11832462
2024-08-05,37.14,37.88,39.26,37.02,11159168
2024-08-06,38.35,38.8,39.75,38.05,7717855
2024-08-07,39.52,38.76,40.42,38.65,6100053
2024-08-08,39.12,41.18,41.35,39.11,6197726
2024-08-09,41.18,41.46,41.66,40.77,5716887
2024-08-12,41.01,40.42,41.29,40.36,6282150
2024-08-13,40.52,40.92,41.19,40.36,4280692
2024-08-14,41.11,40.24,41.28,40.13,6224356
2024-08-15,41.3,42.66,43.23,41.22,8669198
2024-08-16,42.51,42.07,42.58,41.32,6887976
2024-08-19,42.45,42.35,42.63,41.95,4494713
2024-08-20,42.32,41.76,42.41,41.53,4291976
2024-08-21,42.0,41.99,42.29,41.77,3823988
2024-08-22,42.2,41.44,42.67,41.38,5009656
2024-08-23,41.74,43.32,43.35,41.58,7150190
2024-08-26,43.45,42.78,43.66,42.74,3410903
2024-08-27,42.85,42.14,42.9,42.07,3849555
2024-08-28,42.05,41.33,42.18,40.96,6636972
2024-08-29,41.63,42.64,43.24,41.63,6369395
2024-08-30,43.18,44.04,44.16,42.87,6621161
2024-09-03,43.63,43.87,44.15,43.52,5853515
2024-09-04,43.8,44.17,44.42,43.8,4078533
2024-09-05,44.6,45.12,46.51,44.57,9231136
2024-09-06,44.98,46.01,46.19,44.85,7921987
2024-09-09,46.67,48.75,48.98,46.58,9955556
2024-09-10,49.0,48.42,49.04,47.01,6060673
2024-09-11,48.42,48.47,48.62,47.52,5569573
2024-09-12,49.78,49.65,50.8,47.46,10378019
2024-09-13,50.1,50.22,51.24,49.89,9699882
2024-09-16,50.38,51.34,51.44,50.31,5641999
2024-09-17,52.0,52.64,53.75,51.9,8701215
2024-09-18,52.74,52.96,54.43,52.59,7461719
2024-09-19,54.06,52.59,54.24,52.34,6547222
2024-09-20,52.48,52.17,52.9,51.94,6514242
2024-09-23,52.17,52.36,52.54,51.44,4181279
2024-09-24,52.43,53.63,53.65,52.13,4546508
2024-09-25,53.58,54.11,55.14,53.58,7416178
2024-09-26,55.58,58.85,59.38,55.49,17688220
2024-09-27,58.98,57.99,60.23,57.95,9393383
2024-09-30,57.75,57.06,58.39,56.71,5290493
2024-10-01,56.87,56.13,56.95,54.73,10449494
2024-10-02,55.35,55.74,56.05,54.64,5372854
2024-10-03,55.6,55.62,56.21,54.93,6866788
2024-10-04,57.94,59.22,59.44,57.37,11180208
2024-10-07,59.0,59.18,60.38,58.54,7501918
2024-10-08,59.68,60.01,61.62,59.53,7092767
2024-10-09,60.4,59.43,61.04,59.08,6537772
2024-10-10,58.43,60.26,60.64,58.39,6757077
2024-10-11,60.0,61.8,61.93,59.71,5656373
2024-10-14,62.33,63.53,63.81,62.06,8236020
2024-10-15,64.18,64.05,65.02,63.5,12807977
2024-10-16,65.4,72.02,73.65,65.11,37212928
2024-10-17,72.0,73.33,74.56,71.59,14729774
2024-10-18,73.87,74.15,74.95,72.9,8399423
2024-10-21,73.25,74.0,74.97,72.57,8063771
2024-10-22,73.8,74.49,74.72,72.57,6626901
2024-10-23,73.87,73.45,74.44,72.89,5074489
2024-10-24,74.42,74.51,75.41,72.92,5887480
2024-10-25,74.9,74.64,76.08,73.94,7836447
2024-10-28,76.58,76.09,77.94,76.07,7411938
2024-10-29,75.39,76.93,77.62,75.15,5086374
2024-10-30,76.67,80.42,80.82,76.67,9568109
2024-10-31,79.7,78.26,81.05,78.12,6907540
2024-11-01,79.19,80.46,81.35,78.79,6762276
2024-11-04,79.87,77.25,80.29,77.14,6452185
2024-11-05,77.26,80.03,80.09,77.26,4601509
2024-11-06,85.0,87.58,87.84,84.3,11591956
2024-11-07,86.58,85.43,87.84,85.36,5314489
2024-11-08,86.0,87.51,87.87,85.6,4604562
2024-11-11,87.86,89.43,89.6,87.34,5674899
2024-11-12,88.41,89.13,89.24,87.06,6054542
2024-11-13,90.07,89.78,92.28,89.14,8040766
2024-11-14,90.75,91.16,93.33,90.6,6063836
2024-11-15,92.25,91.17,92.71,90.56,4470000
2024-11-18,90.95,90.38,91.12,88.9,3952239
2024-11-19,88.87,94.26,95.19,88.6,6887685
2024-11-20,93.65,94.63,95.0,91.24,5298787
2024-11-21,95.0,94.4,95.99,93.71,6126981
2024-11-22,93.93,95.24,95.54,92.08,6529261
2024-11-25,97.22,96.83,98.0,96.14,5097470
2024-11-26,97.75,96.51,101.6,96.48,8317531
2024-11-27,96.51,96.35,96.95,95.08,3145712
2024-11-29,96.36,96.83,97.43,96.14,1522897
2024-12-02,97.29,97.44,98.32,96.81,3468236
2024-12-03,97.35,95.79,98.03,95.64,3575932
2024-12-04,96.86,99.25,99.29,96.86,4413556
2024-12-05,101.33,102.44,105.09,100.87,7567644
2024-12-06,103.84,100.28,104.0,100.05,4292668
2024-12-09,100.24,96.02,100.89,95.38,5627037
2024-12-10,97.58,96.53,99.42,95.29,4124506
2024-12-11,97.19,98.96,100.25,97.19,5416013
2024-12-12,99.77,95.97,100.18,95.87,3349907
2024-12-13,96.12,95.11,96.67,94.92,4163865
2024-12-16,94.53,95.48,97.1,94.2,3775502
2024-12-17,94.97,94.99,95.33,93.65,3436247
2024-12-18,95.1,91.47,97.48,90.17,6252074
2024-12-19,92.75,95.56,96.18,92.73,6621287
2024-12-20,94.52,97.4,98.28,94.34,12239346
2024-12-23,97.5,99.48,99.55,96.25,4135376
2024-12-24,99.35,101.16,101.29,99.06,1968605
2024-12-26,100.15,100.87,101.28,99.95,2227064
2024-12-27,100.44,99.65,100.55,98.18,3156852
2024-12-30,98.31,98.21,98.97,95.3,3886373
2024-12-31,97.82,97.1,98.25,96.03,2817136
2025-01-02,97.29,95.43,97.92,94.45,3429770
2025-01-03,95.4,95.67,95.73,91.78,4155438
2025-01-06,96.95,98.57,101.3,96.37,7051025
2025-01-07,99.0,101.21,101.71,98.14,4995404
2025-01-08,100.01,103.72,103.9,99.4,5458221
2025-01-10,109.47,107.11,110.92,105.8,14330578
2025-01-13,104.48,104.71,105.13,102.18,5858971
2025-01-14,107.29,107.67,108.14,105.6,5973126
2025-01-15,109.15,104.96,110.15,104.8,4721236
2025-01-16,105.4,106.11,106.7,104.38,4381715
2025-01-17,107.02,107.38,108.47,106.0,5177955
2025-01-21,109.3,110.52,110.8,108.13,12720194
2025-01-22,115.85,107.97,116.0,107.0,16086402
2025-01-23,108.8,103.0,109.21,102.86,10416834
2025-01-24,102.81,105.0,107.95,102.27,8645805
2025-01-27,102.64,106.74,107.95,102.0,5934830
2025-01-28,105.83,106.34,106.72,104.33,4700115
2025-01-29,107.07,108.26,108.86,106.52,3873862
2025-01-30,107.1,109.4,109.77,106.53,4033759
2025-01-31,109.63,105.84,110.32,104.86,6136910
2025-02-03,101.96,104.83,106.3,101.32,4597141
2025-02-04,106.62,108.67,108.9,104.43,5948631
2025-02-05,108.39,107.82,109.1,106.54,2860383
2025-02-06,108.85,109.15,110.25,108.18,3431158
2025-02-07,109.56,109.0,110.07,108.4,3649487
2025-02-10,109.1,106.08,109.11,104.93,5292668
2025-02-11,105.75,103.31,105.75,102.1,7287720
2025-02-12,103.71,104.18,106.81,103.32,5840337
2025-02-13,104.26,100.89,105.2,95.98,11303745
2025-02-14,101.48,104.26,104.59,100.58,5208388
2025-02-18,104.16,103.25,106.46,102.71,4774723
2025-02-19,102.53,106.51,108.82,102.37,6768413
2025-02-20,105.63,102.49,106.5,100.02,7012101
2025-02-21,103.0,95.89,103.88,95.36,10968357
2025-02-24,98.34,97.77,99.05,94.89,6555688
2025-02-25,97.95,96.58,98.32,93.75,7572084
2025-02-26,98.41,97.4,99.99,96.92,4763033
2025-02-27,97.0,92.17,97.8,91.58,8157320
2025-02-28,92.73,93.81,94.85,92.19,10687929
2025-03-03,93.84,91.67,96.44,90.13,7589328
2025-03-04,88.49,86.21,88.98,83.67,14248405
2025-03-05,87.03,91.27,91.76,86.1,8828585
2025-03-06,89.28,86.27,91.12,85.74,10059497
2025-03-07,84.51,82.88,85.0,78.08,14860401
2025-03-10,80.17,77.62,80.17,75.45,16427463
2025-03-11,79.58,76.06,80.25,72.85,16605068
2025-03-12,76.8,72.46,78.36,70.51,12740701
2025-03-13,73.15,69.9,73.31,67.7,10942590
2025-03-14,71.07,73.67,74.28,69.86,7533087
2025-03-17,73.56,73.92,74.76,72.8,6291865
2025-03-18,73.0,71.34,73.6,70.62,6657913
2025-03-19,71.34,74.43,75.91,71.11,7434420
2025-03-20,73.29,74.04,74.58,72.75,5208925
2025-03-21,72.79,74.87,75.45,71.56,14825959
2025-03-24,76.65,80.22,80.34,76.65,8778681
2025-03-25,81.0,78.9,82.54,78.79,7809130
2025-03-26,79.09,77.87,80.05,76.98,5404676
2025-03-27,77.2,73.53,77.41,73.25,6829324
2025-03-28,73.43,70.23,73.57,69.64,9321339
2025-03-31,66.98,69.05,69.72,64.11,10653219
2025-04-01,67.45,68.2,68.33,64.69,8526129
2025-04-02,66.16,71.37,71.43,66.16,8199607
2025-04-03,65.43,60.23,65.64,60.03,16694385
2025-04-04,55.89,57.67,58.87,52.0,18036616
2025-04-07,54.91,58.77,63.0,53.36,13643886
2025-04-08,61.83,56.15,62.28,55.18,14253457
