Date,Open,Last,High,Low,Volume
2024-01-29,33.187,33.269,33.568,33.024,2415437
2024-01-30,32.961,33.033,33.26,32.744,4547611
2024-01-31,33.26,32.617,33.459,32.481,5522893
2024-02-01,32.418,33.061,33.088,32.037,3461027
2024-02-02,32.762,32.879,33.07,32.182,3557347
2024-02-05,32.481,32.083,32.481,32.046,2358663
2024-02-06,32.073,32.2,32.535,31.992,3481893
2024-02-07,32.01,31.983,32.236,31.186,5196024
2024-02-08,31.883,32.137,32.218,31.585,3538544
2024-02-09,32.064,32.028,32.309,31.929,3274161
2024-02-12,32.083,32.209,32.363,32.001,2352248
2024-02-13,31.503,31.349,31.566,30.96,2893944
2024-02-14,31.422,31.575,31.729,31.34,3178173
2024-02-15,31.856,32.644,32.68,31.775,2712411
2024-02-16,32.255,32.671,32.843,32.083,2831213
2024-02-20,32.381,32.418,32.608,32.182,2272037
2024-02-21,32.463,32.87,32.898,32.291,2890146
2024-02-22,33.006,32.735,33.006,32.689,2666624
2024-02-23,32.716,32.463,32.789,32.454,1707980
2024-02-26,32.327,31.711,32.49,31.657,1782189
2024-02-27,31.992,31.766,32.291,31.603,3057982
2024-02-28,31.476,32.064,32.445,31.476,2436133
2024-02-29,32.381,32.146,32.553,31.983,4277409
2024-03-01,32.037,32.544,32.562,31.684,3320568
2024-03-04,32.834,33.758,33.875,32.816,3893796
2024-03-05,33.649,33.649,33.957,33.477,2998893
2024-03-06,33.939,33.731,33.966,33.568,3808348
2024-03-07,33.848,34.129,34.201,33.74,2447405
2024-03-08,34.437,34.5,34.582,34.211,2665141
2024-03-11,34.5,34.265,34.663,34.129,2760181
2024-03-12,34.229,33.577,34.401,33.486,3595122
2024-03-13,33.522,33.866,34.201,33.504,2528557
2024-03-14,33.694,33.205,33.758,32.698,2588378
2024-03-15,32.789,33.658,33.676,32.789,3888232
2024-03-18,33.676,33.332,33.785,33.269,1752442
2024-03-19,33.386,33.26,33.504,32.97,1640056
2024-03-20,33.097,33.559,33.631,32.952,1927790
2024-03-21,33.649,34.057,34.41,33.649,2290717
2024-03-22,34.102,33.649,34.147,33.522,1636998
2024-03-25,33.758,33.396,33.821,33.278,1116581
2024-03-26,33.45,32.97,33.459,32.952,1382004
2024-03-27,33.305,33.513,33.821,33.151,4166321
2024-03-28,33.658,33.875,34.093,33.486,3007630
2024-04-01,33.803,33.178,33.866,33.169,1756437
2024-04-02,32.888,32.762,32.97,32.608,1923891
2024-04-03,32.671,33.015,33.079,32.436,1886534
2024-04-04,33.287,32.952,33.504,32.744,1801259
2024-04-05,32.807,33.061,33.169,32.662,1530289
2024-04-08,33.513,34.075,34.337,33.459,4593161
2024-04-09,34.208,34.684,34.766,34.079,3610838
2024-04-10,33.869,34.089,34.226,33.631,4513640
2024-04-11,34.382,34.043,34.501,33.585,4043479
2024-04-12,33.951,33.557,34.006,33.209,3225310
2024-04-15,33.777,32.834,33.869,32.642,1969280
2024-04-16,32.669,32.303,32.678,32.257,2128890
2024-04-17,32.522,32.367,32.806,32.211,2479726
2024-04-18,32.431,32.77,32.925,32.184,3354625
2024-04-19,32.999,33.338,33.383,32.925,3671118
2024-04-22,33.484,33.896,33.951,33.228,2513031
2024-04-23,33.869,34.134,34.437,33.869,2412000
2024-04-24,33.896,34.702,34.977,33.768,2891907
2024-04-25,34.84,34.776,34.95,34.547,2399782
2024-04-26,34.885,34.721,35.407,34.702,2117561
2024-04-29,34.995,35.069,35.243,34.821,2531024
2024-04-30,34.849,34.876,35.188,34.602,3264666
2024-05-01,33.951,34.336,34.849,33.759,5340526
2024-05-02,34.473,34.409,34.721,33.896,5231261
2024-05-03,34.913,35.014,35.151,34.656,2867237
2024-05-06,35.288,35.618,35.71,35.041,2654721
2024-05-07,35.856,35.691,36.003,35.581,2253301
2024-05-08,35.581,35.05,35.646,34.922,2887325
2024-05-09,35.307,35.755,35.865,35.05,3301928
2024-05-10,35.92,35.755,36.03,35.719,1716519
