Date,Open,Last,High,Low,Volume
2024-01-29,16.456,16.598,16.607,16.049,5166840
2024-01-30,16.295,16.304,16.437,16.011,5231401
2024-01-31,16.191,15.585,16.314,15.566,8345616
2024-02-01,15.727,15.935,16.001,15.168,8280310
2024-02-02,15.585,15.783,16.058,15.272,8218302
2024-02-05,15.869,15.651,15.897,15.263,10263288
2024-02-06,15.622,16.049,16.181,15.414,11315725
2024-02-07,14.477,14.496,14.903,13.672,29213231
2024-02-08,14.581,14.534,14.874,14.373,10824337
2024-02-09,14.486,14.486,14.676,14.24,7380602
2024-02-12,14.912,16.512,16.749,14.874,15008382
2024-02-13,15.679,15.566,15.888,14.969,11969490
2024-02-14,16.105,16.285,16.38,15.746,7466810
2024-02-15,16.418,16.143,16.503,16.049,6276907
2024-02-16,15.774,15.765,15.963,15.575,7865638
2024-02-20,15.424,15.338,15.452,15.073,8351301
2024-02-21,15.206,15.121,15.499,14.998,7966879
2024-02-22,15.206,15.054,15.376,14.96,5818463
2024-02-23,15.054,15.13,15.282,14.95,5204760
2024-02-26,14.988,14.676,15.045,14.486,8362389
2024-02-27,14.874,15.215,15.32,14.78,6712697
2024-02-28,14.931,15.31,15.518,14.78,5485682
2024-02-29,15.405,15.471,15.547,15.102,29079744
2024-03-01,15.547,15.376,15.651,14.95,8169670
2024-03-04,15.234,14.893,15.31,14.685,7225673
2024-03-05,14.628,14.979,15.13,14.486,5836793
2024-03-06,15.092,14.979,15.196,14.751,5661228
2024-03-07,15.14,15.234,15.357,15.007,5242226
2024-03-08,15.444,15.33,15.577,15.177,5987237
2024-03-11,15.292,15.234,15.549,15.225,5833337
2024-03-12,15.225,14.834,15.377,14.768,7288581
2024-03-13,14.825,14.758,15.12,14.692,7541341
2024-03-14,14.568,13.901,14.606,13.749,10771432
2024-03-15,13.778,14.073,14.13,13.778,31918854
2024-03-18,14.044,13.701,14.111,13.521,7508466
2024-03-19,13.511,13.806,13.92,13.416,7420367
2024-03-20,13.787,13.73,13.949,13.587,6453673
2024-03-21,13.778,13.844,13.959,13.635,4710669
2024-03-22,13.53,13.416,13.635,13.244,7754848
2024-03-25,13.521,13.778,13.901,13.463,6689491
