Date,Open,Last,High,Low,Volume
2024-01-29,238.877,240.203,240.566,238.494,644664
2024-01-30,239.781,241.696,242.531,239.781,751914
2024-01-31,242.639,237.217,243.287,236.834,1187310
2024-02-01,238.15,242.216,242.295,236.068,935355
2024-02-02,242.167,243.356,244.21,240.38,549539
2024-02-05,242.874,242.197,243.081,238.199,557690
2024-02-06,243.081,244.033,244.308,242.364,518299
2024-02-07,245.094,246.184,247.481,243.67,803444
2024-02-08,245.546,244.809,247.333,243.935,641100
2024-02-09,245.585,246.135,246.98,243.709,722374
2024-02-12,244.799,242.717,245.939,242.511,575068
2024-02-13,242.796,240.557,243.405,239.29,738000
2024-02-14,240.174,241.745,241.922,239.093,988495
2024-02-15,242.776,242.246,243.768,240.635,666808
2024-02-16,242.963,240.331,242.963,239.8,1399207
2024-02-20,240.724,244.073,244.76,240.665,1231868
2024-02-21,240.134,233.426,240.37,230.706,1876609
2024-02-22,234.025,235.724,237.06,234.025,1009248
2024-02-23,236.441,240.458,241.097,236.441,688103
2024-02-26,240.498,238.769,240.91,238.7,679183
2024-02-27,237.964,238.582,238.612,237.021,532498
2024-02-28,238.278,237.679,240.046,236.982,658390
2024-02-29,238.396,237.581,238.504,235.695,1238066
2024-03-01,235.941,237.335,237.718,234.801,738636
2024-03-04,237.728,235.646,239.142,234.899,715568
2024-03-05,236.265,233.495,236.844,232.071,906082
2024-03-06,233.299,231.364,233.878,230.971,984207
2024-03-07,233.416,231.924,234.222,230.676,1300789
2024-03-08,232.483,232.307,233.691,231.393,765964
2024-03-11,232.493,233.24,233.446,229.527,727152
2024-03-12,231.904,233.829,234.448,231.904,610392
2024-03-13,232.817,232.041,233.593,231.344,778289
2024-03-14,233.814,229.082,234.896,228.433,992616
2024-03-15,228.226,230.725,231.394,228.226,1611245
2024-03-18,231.797,231.915,234.257,231.512,1011288
2024-03-19,231.738,233.598,234.03,231.718,741842
2024-03-20,233.519,232.574,234.394,231.689,719078
2024-03-21,232.771,232.092,234.227,231.541,1261036
2024-03-22,232.919,231.059,233.509,229.898,1020465
2024-03-25,230.853,228.246,231.059,228.059,1063443
2024-03-26,227.823,227.468,228.659,227.321,1179926
2024-03-27,229.446,230.144,230.223,226.858,1533782
2024-03-28,230.144,231.915,232.437,228.895,1218624
2024-04-01,231.62,229.013,231.62,227.173,847211
2024-04-02,228.639,228.236,229.003,227.331,846980
2024-04-03,228.246,227.272,230.135,226.612,559332
2024-04-04,228.875,222.854,229.239,222.795,891297
2024-04-05,222.992,223.966,225.117,222.362,579887
2024-04-08,223.592,222.717,224.458,221.369,1035467
2024-04-09,224.015,225.648,225.747,222.736,690144
2024-04-10,224.163,222.264,226.052,221.851,608061
2024-04-11,220.857,219.745,220.906,218.516,1382763
2024-04-12,219.322,218.929,220.227,217.473,1039679
2024-04-15,221.388,218.585,222.736,218.476,1070526
2024-04-16,220.09,218.506,220.837,216.981,1462454
2024-04-17,219.627,218.653,219.686,217.335,841368
2024-04-18,219.568,219.716,221.428,218.949,676752
2024-04-19,220.749,218.919,220.995,218.516,714317
2024-04-22,220.896,219.558,221.329,219.076,733122
2024-04-23,220.71,218.653,220.985,218.466,1068499
2024-04-24,217.178,218.653,218.978,216.105,1008952
2024-04-25,218.988,219.185,220.503,216.194,1052563
2024-04-26,217.089,217.561,219.991,217.089,815689
2024-04-29,218.201,218.26,219.145,217.247,911706
2024-04-30,217.67,214.433,218.87,213.823,1455682
2024-05-01,221.359,229.042,232.466,219.008,1824538
2024-05-02,230.213,229.977,231.433,226.18,1544778
2024-05-03,230.479,233.489,233.725,229.997,1127556
2024-05-06,234.69,237.946,238.094,233.253,892941
2024-05-07,239.136,243.003,243.091,238.625,1094596
2024-05-08,243.101,240.612,243.937,239.786,780265
2024-05-09,241.281,241.016,241.527,239.343,522977
2024-05-10,241.734,244.292,245.354,241.025,697949
2024-05-13,244.852,242.354,244.852,241.881,399217
2024-05-14,243.741,242.934,243.937,241.458,499554
2024-05-15,244.272,243.829,245.787,243.387,477909
2024-05-16,244.174,247.41,247.794,244.006,605705
2024-05-17,246.938,247.548,247.646,245.659,778912
2024-05-20,246.987,248.325,249.073,245.836,580297
2024-05-21,249.112,247.43,249.112,245.118,607269
2024-05-22,247.332,249.535,249.968,246.456,707018
2024-05-23,250.027,245.216,250.027,244.557,894561
2024-05-24,245.974,247.509,248.109,243.544,689800
2024-05-28,245.699,244.843,247.292,244.508,770395
2024-05-29,244.242,242.924,244.813,242.314,636328
2024-05-30,242.609,245.334,245.59,241.045,888251
2024-05-31,245.334,248.689,249.053,242.54,2984791
2024-06-03,248.453,249.644,250.401,247.519,639808
2024-06-04,250.873,254.071,254.287,250.342,885381
2024-06-05,254.887,257.052,257.209,253.874,674695
2024-06-06,257.052,255.792,257.534,254.759,530205
2024-06-07,256.412,259.728,259.865,254.927,898285
2024-06-10,258.96,259.216,260.653,256.816,667715
2024-06-11,258.488,260.387,260.475,257.042,397295
2024-06-12,260.574,259.295,260.869,255.556,589438
2024-06-13,257.662,257.996,258.921,256.471,496002
2024-06-14,257.871,260.482,260.62,256.482,472047
2024-06-17,258.453,263.754,264.177,257.182,487072
