Date,Open,Last,High,Low,Volume
2024-01-29,40.106,39.88,40.116,39.86,1941283
2024-01-30,40.037,40.538,40.568,39.889,2420318
2024-01-31,40.656,40.342,40.961,40.096,2626534
2024-02-01,40.342,42.534,42.692,40.332,5523832
2024-02-02,42.377,43.803,44.206,42.003,6605405
2024-02-05,43.301,42.623,43.409,42.19,4184704
2024-02-06,42.574,42.534,43.144,42.22,5362389
2024-02-07,42.701,43.026,43.311,42.564,2696156
2024-02-08,42.869,42.18,43.095,41.895,3702035
2024-02-09,42.102,42.505,42.77,42.072,2610676
2024-02-12,42.485,42.092,42.741,41.522,4260919
2024-02-13,41.846,43.459,43.478,41.63,4587975
2024-02-14,43.783,43.527,44.245,43.252,3128629
2024-02-15,43.626,44.629,44.688,43.508,3776016
2024-02-16,44.432,44.815,45.533,44.432,4619782
2024-02-20,44.894,45.376,46.123,44.756,4732888
2024-02-21,45.405,45.405,46.556,45.032,4256866
2024-02-22,45.405,46.821,47.283,45.405,6149350
2024-02-23,46.969,47.804,47.952,46.792,5202262
2024-02-26,48.158,47.932,48.719,47.716,4644330
2024-02-27,47.814,50.125,50.321,47.411,8679589
2024-02-28,49.26,52.131,52.209,48.906,8231646
2024-02-29,52.288,53.625,55.041,52.131,10144748
2024-03-01,53.487,53.586,53.773,52.524,7128396
2024-03-04,54.353,56.034,56.781,54.353,7083466
2024-03-05,55.965,57.902,58.748,55.965,8054148
2024-03-06,58.276,59.878,60.331,58.276,8495231
2024-03-07,60.183,60.645,60.773,59.564,5436409
2024-03-08,60.675,59.475,61.078,56.683,8957513
2024-03-11,59.229,57.076,59.485,56.535,8162618
2024-03-12,57.528,59.19,59.21,57.027,5732920
2024-03-13,59.613,60.134,60.665,58.925,5365753
2024-03-14,60.39,62.051,62.159,60.36,6297720
2024-03-15,61.825,60.527,62.11,59.711,8450819
2024-03-18,60.911,61.432,61.973,59.839,5772018
2024-03-19,61.661,62.825,63.871,61.286,5980136
2024-03-20,63.141,65.854,65.982,63.082,7788460
2024-03-21,66.939,67.452,68.33,66.466,6271543
2024-03-22,67.571,68.163,68.34,65.548,5790510
2024-03-25,68.567,70.244,71.399,67.304,8282259
2024-03-26,70.235,66.979,72.07,66.93,7808375
2024-03-27,68.074,67.383,68.449,66.515,5728388
2024-03-28,67.255,68.715,68.903,66.88,3826357
2024-04-01,69.061,70.57,72.089,68.528,5401131
2024-04-02,68.814,70.195,70.323,68.281,5143571
2024-04-03,70.294,72.77,73.323,70.096,7145134
2024-04-04,73.559,69.593,74.871,69.426,5664442
2024-04-05,69.504,74.319,74.625,68.972,6099662
2024-04-08,73.954,73.421,74.299,70.945,5816644
2024-04-09,73.895,68.597,74.585,67.581,8451529
2024-04-10,67.66,69.81,70.343,66.693,6583940
2024-04-11,70.067,71.034,71.182,69.199,4234762
2024-04-12,70.807,68.804,71.399,67.936,4264926
2024-04-15,69.879,67.304,71.507,67.285,4413063
2024-04-16,67.452,66.693,67.679,64.798,6553659
2024-04-17,67.699,67.729,68.567,66.357,4546390
2024-04-18,68.064,64.996,68.36,64.039,7846135
2024-04-19,64.72,64.779,66.278,63.398,7598073
2024-04-22,65.242,65.825,67.097,64.443,4505826
2024-04-23,66.476,67.531,68.222,65.706,4165514
2024-04-24,69.061,69.514,70.531,67.956,5167567
2024-04-25,66.762,71.507,72.07,65.775,4980049
2024-04-26,71.695,71.724,72.563,70.58,3583116
2024-04-29,72.326,76.914,76.953,72.001,5245706
2024-04-30,76.785,74.822,77.673,74.793,6002111
2024-05-01,74.654,75.828,78.029,73.697,6171054
2024-05-02,76.411,78.798,79.725,75.089,6810210
2024-05-03,79.518,80.396,81.916,78.995,5588512
2024-05-06,81.205,82.123,82.488,79.025,8043449
2024-05-07,81.768,80.643,83.691,80.09,86269019
2024-05-08,80.682,88.003,89.818,80.643,15076454
2024-05-09,88.358,91.92,92.916,88.358,11060030
2024-05-10,93.468,92.166,94.781,90.775,7428015
2024-05-13,93.261,88.96,94.465,88.841,7957263
