Date,Open,Last,High,Low,Volume
2024-01-29,10.716,10.689,10.77,10.581,6216634
2024-01-30,10.653,10.626,10.671,10.473,5618950
2024-01-31,10.617,10.59,10.986,10.545,13432063
2024-02-01,10.545,10.68,10.734,10.365,6760390
2024-02-02,10.635,10.662,10.743,10.518,6442216
2024-02-05,10.59,10.419,10.59,10.383,5514241
2024-02-06,10.5,10.698,10.815,10.473,7449971
2024-02-07,10.707,10.563,10.725,10.491,6505131
2024-02-08,10.527,10.401,10.527,10.293,6830157
2024-02-09,10.356,10.509,10.527,10.302,6460852
2024-02-12,10.5,10.752,10.824,10.491,6899928
2024-02-13,10.671,10.77,10.806,10.536,12276545
2024-02-14,10.797,10.86,10.959,10.761,7976840
2024-02-15,10.959,11.534,11.642,10.959,15259041
2024-02-16,11.516,11.75,11.786,11.489,14121651
2024-02-20,11.696,11.912,12.074,11.669,14424630
2024-02-21,11.894,11.93,11.984,11.795,9004895
2024-02-22,11.993,12.02,12.128,11.93,10900090
2024-02-23,12.02,12.173,12.254,12.011,13338184
2024-02-26,12.083,12.083,12.146,11.993,11668003
2024-02-27,12.047,11.903,12.11,11.822,18161819
2024-02-28,11.885,11.058,12.191,11.013,26685568
2024-02-29,11.121,11.13,11.166,10.761,21664070
2024-03-01,11.13,11.327,11.345,11.076,11839610
2024-03-04,11.327,11.121,11.336,11.004,11190189
2024-03-05,11.121,11.049,11.166,10.986,8755976
2024-03-06,11.058,10.977,11.094,10.752,12226133
2024-03-07,10.95,11.094,11.148,10.95,7816896
2024-03-08,11.148,11.139,11.211,11.039,5240038
2024-03-11,11.048,10.875,11.13,10.757,8282971
2024-03-12,10.866,10.957,10.993,10.793,8393119
2024-03-13,10.957,10.948,11.084,10.866,11392315
2024-03-14,10.893,10.739,10.893,10.603,10455357
2024-03-15,10.648,10.848,10.893,10.648,16558242
2024-03-18,10.784,10.684,10.848,10.648,8544839
2024-03-19,10.657,10.784,10.821,10.63,9294976
2024-03-20,10.721,10.793,10.83,10.639,5104786
2024-03-21,10.848,10.911,10.957,10.793,4839789
2024-03-22,10.939,10.757,11.03,10.739,4332218
2024-03-25,10.757,10.748,10.902,10.73,4737261
2024-03-26,10.793,10.539,10.857,10.521,8223459
2024-03-27,10.621,10.748,10.775,10.566,9023190
2024-03-28,10.73,10.848,10.921,10.703,11960078
2024-04-01,10.875,10.848,10.875,10.703,5905730
2024-04-02,10.775,10.848,10.902,10.721,6833124
2024-04-03,10.802,10.921,11.102,10.802,9150739
2024-04-04,11.048,10.684,11.048,10.648,6130054
2024-04-05,10.648,10.721,10.748,10.566,5794024
2024-04-08,10.693,10.675,10.812,10.612,8279082
2024-04-09,10.657,10.739,10.757,10.63,5625791
2024-04-10,10.584,10.639,10.693,10.566,7083819
2024-04-11,10.621,10.512,10.666,10.475,4482759
2024-04-12,10.494,10.294,10.512,10.176,8160400
2024-04-15,10.385,10.285,10.575,10.23,4398649
2024-04-16,10.23,10.103,10.23,10.039,6763831
2024-04-17,10.167,10.085,10.221,10.076,6068893
2024-04-18,10.103,10.103,10.221,10.057,3464188
2024-04-19,10.13,10.221,10.276,10.085,4679890
2024-04-22,10.303,10.221,10.312,10.185,5099330
2024-04-23,10.221,10.321,10.357,10.185,4675294
2024-04-24,10.303,10.494,10.521,10.221,7593923
2024-04-25,10.494,10.421,10.584,10.321,6540893
2024-04-26,10.385,10.512,10.584,10.357,5166294
2024-04-29,10.457,10.703,10.712,10.439,5843723
2024-04-30,10.666,10.512,10.675,10.512,20387113
2024-05-01,10.512,10.566,10.721,10.394,8672646
2024-05-02,10.621,10.539,10.657,10.457,7905787
2024-05-03,10.603,10.703,10.784,10.566,5088581
2024-05-06,10.73,10.739,10.784,10.63,6028846
2024-05-07,10.748,10.648,10.821,10.639,6075206
2024-05-08,10.675,10.73,10.939,10.63,10577966
2024-05-09,10.385,10.194,10.621,10.076,15229842
2024-05-10,10.167,10.139,10.439,10.094,9576034
2024-05-13,10.185,10.321,10.348,10.148,9149400
2024-05-14,10.366,10.121,10.43,10.048,9266424
2024-05-15,10.176,10.057,10.266,9.967,8137429
2024-05-16,9.994,10.012,10.212,9.958,9719075
2024-05-17,10.012,9.976,10.039,9.894,14009982
2024-05-20,9.994,10.057,10.185,9.976,13020697
2024-05-21,10.03,9.958,10.067,9.894,6631386
2024-05-22,9.912,9.885,10.03,9.867,6290152
2024-05-23,9.912,9.673,9.912,9.554,7970187
2024-05-24,9.682,9.563,9.765,9.545,4900638
2024-05-28,9.563,9.545,9.682,9.499,6165865
2024-05-29,9.444,9.471,9.526,9.407,5739908
2024-05-30,9.471,9.627,9.646,9.462,5823176
2024-05-31,9.664,9.738,9.774,9.572,8862334
2024-06-03,9.82,9.719,9.967,9.692,7438098
2024-06-04,9.701,9.673,9.793,9.637,6537023
2024-06-05,9.664,9.637,9.692,9.554,6054398
2024-06-06,9.591,9.572,9.655,9.444,6915569
2024-06-07,9.572,9.618,9.738,9.499,5557381
2024-06-10,9.563,9.655,9.682,9.379,7245178
2024-06-11,9.609,9.774,9.866,9.517,11590683
2024-06-12,9.857,9.765,10.05,9.664,10430214
2024-06-13,9.637,9.545,9.701,9.526,7875178
2024-06-14,9.508,9.343,9.526,9.269,11379725
2024-06-17,9.343,9.287,9.352,9.159,6717528
2024-06-18,9.278,9.232,9.416,9.122,6445450
2024-06-20,9.214,9.425,9.517,9.177,10181899
2024-06-21,9.398,9.618,9.646,9.343,29958573
2024-06-24,9.609,9.618,9.811,9.499,11721831
2024-06-25,9.6,9.471,9.618,9.398,6232840
2024-06-26,9.462,9.581,9.609,9.343,7615305
2024-06-27,9.572,9.627,9.728,9.48,7771635
2024-06-28,9.682,9.765,9.857,9.646,12090489
2024-07-01,9.793,9.728,9.912,9.682,7364929
2024-07-02,9.829,9.581,9.839,9.49,4934218
2024-07-03,9.609,9.535,9.655,9.499,10103025
2024-07-05,9.462,9.48,9.517,9.324,17697567
2024-07-08,9.526,9.747,9.774,9.499,11063647
2024-07-09,9.738,9.921,10.087,9.618,11515617
2024-07-10,9.894,10.004,10.087,9.866,7069886
2024-07-11,10.077,10.28,10.298,9.967,6133158
2024-07-12,10.326,10.326,10.5,10.298,6402229
2024-07-15,10.316,10.105,10.326,10.068,5438821
2024-07-16,10.105,10.454,10.5,10.05,9488505
2024-07-17,10.445,10.877,10.941,10.417,11282481
2024-07-18,10.895,10.812,11.171,10.785,6950787
2024-07-19,10.886,10.877,10.904,10.702,5500279
2024-07-22,10.776,10.721,10.84,10.619,4711825
2024-07-23,10.721,10.564,10.721,10.509,5592801
2024-07-24,10.693,10.748,10.831,10.574,4306184
2024-07-25,10.776,10.803,10.978,10.748,4187267
2024-07-26,10.822,11.097,11.189,10.822,6020132
2024-07-29,11.07,10.932,11.097,10.895,6399562
2024-07-30,11.014,11.143,11.171,10.932,7527748
2024-07-31,11.106,11.079,11.253,11.042,13649452
2024-08-01,11.088,10.987,11.189,10.932,10426194
2024-08-02,10.95,10.904,11.06,10.711,7562292
2024-08-05,10.574,10.619,10.785,10.472,8168807
2024-08-06,10.537,10.427,10.73,10.417,7895084
2024-08-07,10.509,10.436,10.675,10.399,11623803
2024-08-08,10.913,11.116,11.731,10.913,17115847
2024-08-09,11.088,10.822,11.088,10.776,8300189
2024-08-12,10.812,10.629,10.812,10.528,6972386
2024-08-13,10.638,10.629,10.647,10.472,6681355
2024-08-14,10.546,10.472,10.555,10.224,11161043
2024-08-15,10.509,10.721,10.766,10.509,10020903
2024-08-16,10.721,10.711,10.868,10.702,11491369
2024-08-19,10.776,10.868,10.895,10.702,4983876
2024-08-20,10.812,10.711,10.886,10.693,5449667
2024-08-21,10.73,10.766,10.803,10.619,8580321
2024-08-22,10.757,10.748,10.858,10.711,4631673
2024-08-23,10.767,10.916,10.934,10.739,6060175
2024-08-26,10.916,10.906,11.008,10.86,6090569
2024-08-27,10.888,10.851,10.916,10.786,4466437
2024-08-28,10.841,11.046,11.073,10.814,6583624
2024-08-29,11.055,11.036,11.101,10.934,4033826
2024-08-30,11.073,11.213,11.231,11.073,6717166
2024-09-03,11.036,11.036,11.129,10.99,5801882
2024-09-04,11.046,10.934,11.055,10.879,6281542
2024-09-05,10.99,10.832,11.046,10.804,5034232
2024-09-06,10.851,10.461,10.934,10.359,9593640
2024-09-09,10.47,10.331,10.656,10.303,9489198
2024-09-10,10.331,10.368,10.387,10.071,10988147
2024-09-11,10.303,10.526,10.591,10.201,9510895
2024-09-12,10.563,10.906,10.925,10.544,8430812
2024-09-13,10.925,10.823,11.073,10.786,4802877
2024-09-16,10.897,10.962,10.971,10.73,6201870
2024-09-17,10.934,10.971,10.981,10.832,7437684
2024-09-18,10.953,11.046,11.157,10.851,6424746
2024-09-19,11.138,11.046,11.25,10.99,7905899
2024-09-20,10.888,10.572,10.916,10.414,48176059
2024-09-23,10.619,10.646,10.814,10.6,11824614
2024-09-24,10.693,10.628,10.767,10.6,10061502
2024-09-25,10.665,10.461,10.721,10.405,19555058
2024-09-26,10.489,10.786,10.814,10.387,10515818
2024-09-27,10.804,10.721,10.841,10.674,6370686
2024-09-30,10.739,10.776,10.814,10.665,6335541
2024-10-01,10.786,10.665,10.823,10.591,6820824
2024-10-02,10.656,10.646,10.693,10.517,6955840
2024-10-03,10.572,10.609,10.628,10.47,7017084
2024-10-04,10.674,10.758,10.814,10.656,4015407
2024-10-07,10.767,10.517,10.814,10.517,4618300
2024-10-08,10.517,10.507,10.609,10.433,4411864
2024-10-09,10.544,10.591,10.646,10.479,4210225
2024-10-10,10.6,10.517,10.637,10.442,4838821
2024-10-11,10.554,10.563,10.628,10.507,4219439
2024-10-14,10.554,10.572,10.591,10.47,5050592
2024-10-15,10.572,10.99,11.073,10.544,6745519
2024-10-16,10.999,10.971,11.036,10.888,4354882
2024-10-17,10.971,10.869,10.981,10.823,4003830
2024-10-18,10.776,10.916,10.925,10.684,4684285
2024-10-21,10.916,10.739,10.962,10.739,3713524
2024-10-22,10.711,10.832,10.869,10.693,4077355
2024-10-23,10.795,10.721,10.879,10.665,3470463
2024-10-24,10.73,10.656,10.804,10.609,4068265
2024-10-25,10.73,10.619,10.851,10.609,3180388
2024-10-28,10.693,10.916,10.943,10.656,5020324
2024-10-29,10.851,10.897,10.934,10.795,4802772
2024-10-30,10.832,11.036,11.101,10.814,4764543
2024-10-31,11.027,10.767,11.046,10.758,8053334
2024-11-01,10.832,10.786,10.925,10.749,5348555
2024-11-04,10.758,10.628,10.86,10.609,5306559
2024-11-05,10.619,10.776,10.795,10.517,5302358
2024-11-06,11.018,10.776,11.148,10.749,11589505
2024-11-07,10.962,12.234,12.475,10.832,22179128
2024-11-08,12.132,12.029,12.262,11.816,8943433
2024-11-11,12.122,12.15,12.262,11.872,10035299
2024-11-12,12.067,12.002,12.224,11.946,8345441
2024-11-13,11.927,12.067,12.094,11.909,8249379
2024-11-14,12.02,11.714,12.15,11.677,6456652
2024-11-15,11.723,11.909,11.946,11.63,9151983
2024-11-18,11.862,12.067,12.122,11.77,9025205
2024-11-19,11.992,12.113,12.132,11.872,7385647
2024-11-20,12.039,12.187,12.271,12.011,8773198
2024-11-21,12.252,12.299,12.373,12.159,6961746
2024-11-22,12.309,12.524,12.646,12.299,8362891
2024-11-25,12.618,12.515,12.693,12.505,11088823
2024-11-26,12.487,12.252,12.487,12.121,7419501
2024-11-27,12.252,12.383,12.393,12.187,4744824
2024-11-29,12.383,12.262,12.402,12.252,4695432
2024-12-02,12.299,12.365,12.412,12.206,5287215
2024-12-03,12.374,12.177,12.393,12.159,7495123
2024-12-04,12.215,12.215,12.243,12.037,5617581
2024-12-05,12.215,12.074,12.224,12.028,5943256
2024-12-06,12.149,11.915,12.177,11.878,5013355
2024-12-09,11.84,11.99,12.046,11.812,6690721
2024-12-10,11.981,11.718,12.018,11.653,5934281
2024-12-11,11.718,11.943,11.981,11.587,10564890
2024-12-12,11.924,12.009,12.299,11.896,11621441
2024-12-13,12.018,11.831,12.028,11.728,8236133
2024-12-16,11.765,11.737,11.971,11.728,7551869
2024-12-17,11.718,11.793,11.915,11.672,7465960
2024-12-18,11.737,11.484,11.934,11.475,7453269
2024-12-19,11.456,11.362,11.597,11.306,7810123
2024-12-20,11.437,11.728,11.775,11.372,56546427
2024-12-23,11.615,11.7,11.718,11.4,8585559
2024-12-24,11.466,11.615,11.625,11.353,4059617
2024-12-26,11.606,11.765,11.821,11.569,6194749
2024-12-27,11.7,11.69,11.878,11.606,5182645
2024-12-30,11.634,11.597,11.69,11.503,5822967
2024-12-31,11.615,11.662,11.803,11.587,5816808
2025-01-02,11.634,11.634,11.803,11.54,6663651
2025-01-03,11.681,11.503,11.681,11.466,6364177
2025-01-06,11.466,11.194,11.559,11.138,8953114
2025-01-07,11.166,11.241,11.409,11.156,10684734
2025-01-08,11.213,11.203,11.297,11.007,9547232
2025-01-10,11.063,10.932,11.128,10.838,9525913
2025-01-13,10.875,11.053,11.053,10.819,7883654
2025-01-14,11.1,10.978,11.259,10.913,8957146
2025-01-15,11.072,10.669,11.156,10.454,16873105
2025-01-16,10.548,10.622,10.669,10.426,10433094
2025-01-17,10.622,10.585,10.754,10.519,7723652
2025-01-21,10.585,10.613,10.716,10.566,9800029
2025-01-22,10.491,10.435,10.548,10.126,10523146
2025-01-23,10.463,10.435,10.519,10.398,8598534
2025-01-24,10.435,10.491,10.548,10.407,5844542
2025-01-27,10.604,10.697,10.8,10.538,10438427
2025-01-28,10.688,10.491,10.716,10.473,8132021
2025-01-29,10.491,10.613,10.716,10.36,13592031
2025-01-30,10.725,10.697,10.782,10.585,7886094
2025-01-31,10.679,10.566,10.707,10.501,25782148
2025-02-03,10.473,10.341,10.501,10.229,9320016
2025-02-04,10.304,10.201,10.37,10.173,9247965
2025-02-05,10.248,10.257,10.323,10.182,7805229
2025-02-06,10.21,10.21,10.304,10.051,9639639
2025-02-07,10.248,10.051,10.285,10.023,6046828
2025-02-10,10.06,9.948,10.098,9.929,7799549
2025-02-11,9.92,9.939,10.014,9.864,6773064
2025-02-12,9.929,9.929,9.976,9.854,8534645
2025-02-13,9.976,10.117,10.173,9.911,9223308
2025-02-14,10.192,10.117,10.323,10.098,9588227
2025-02-18,10.098,10.173,10.182,10.06,7969279
2025-02-19,10.117,10.238,10.267,10.107,9372477
2025-02-20,10.229,10.36,10.398,10.229,7401364
2025-02-21,10.398,10.538,10.604,10.313,8783905
2025-02-24,10.538,10.669,10.744,10.426,6934399
2025-02-25,10.632,10.754,10.782,10.632,8428455
2025-02-26,10.744,10.529,10.8,10.482,11358193
2025-02-27,8.674,8.927,9.189,8.215,47469305
2025-02-28,9.021,8.646,9.105,8.524,29319679
2025-03-03,8.702,8.74,9.077,8.683,28087811
2025-03-04,8.665,8.777,8.955,8.665,25040689
2025-03-05,8.758,8.88,9.021,8.73,23361765
2025-03-06,8.899,8.908,9.039,8.768,17081129
2025-03-07,8.908,9.039,9.124,8.824,14478894
2025-03-10,9.001,9.011,9.229,8.973,13167817
2025-03-11,9.001,8.859,9.02,8.755,15590270
2025-03-12,8.83,8.764,8.982,8.755,11026045
2025-03-13,8.792,8.517,8.878,8.489,17472968
2025-03-14,8.536,8.631,8.65,8.517,12922733
2025-03-17,8.669,8.773,8.849,8.66,9315266
2025-03-18,8.773,9.03,9.077,8.773,14458165
2025-03-19,9.058,8.935,9.2,8.849,10394582
2025-03-20,8.887,8.954,9.02,8.878,9136187
2025-03-21,8.868,8.679,8.887,8.546,71873385
2025-03-24,8.736,8.821,8.84,8.641,14654968
2025-03-25,8.821,8.489,8.868,8.47,15723149
2025-03-26,8.508,8.498,8.65,8.442,11100765
2025-03-27,8.489,8.385,8.498,8.299,12076943
2025-03-28,8.442,8.233,8.442,8.176,11278053
2025-03-31,8.214,8.261,8.347,8.11,16424201
2025-04-01,8.261,8.157,8.271,8.119,9296781
2025-04-02,8.091,8.214,8.271,8.091,8339872
2025-04-03,8.072,7.74,8.129,7.721,12190627
2025-04-04,7.626,7.227,7.721,7.199,19911712
2025-04-07,7.171,7.218,7.379,6.782,22823549
2025-04-08,7.436,6.981,7.578,6.839,15567549
2025-04-09,6.829,7.389,7.465,6.677,21194610
2025-04-10,7.199,6.886,7.218,6.497,20459057
2025-04-11,6.952,7.152,7.171,6.839,16249556
2025-04-14,7.275,7.237,7.303,7.038,13840995
2025-04-15,7.218,7.095,7.275,7.009,11897968
2025-04-16,7.142,7.009,7.237,6.962,10211353
2025-04-17,7.038,7.171,7.227,7.009,10716958
2025-04-21,7.114,7.18,7.237,7.085,9829924
2025-04-22,7.256,7.294,7.36,7.209,9498188
2025-04-23,7.446,7.408,7.683,7.398,10186028
2025-04-24,7.465,7.616,7.711,7.417,12860134
2025-04-25,7.597,7.711,7.721,7.531,9507560
2025-04-28,7.711,7.825,7.92,7.702,11151234
2025-04-29,7.73,7.91,8.005,7.702,13222629
2025-04-30,7.882,7.986,8.015,7.835,12056724
2025-05-01,7.948,8.034,8.204,7.806,16092451
2025-05-02,8.214,8.204,8.29,8.081,11937132
2025-05-05,8.195,8.148,8.309,8.129,14393556
2025-05-06,8.157,8.043,8.271,8.034,12419938
2025-05-07,8.053,8.157,8.261,8.053,21351866
2025-05-08,8.536,8.622,9.086,8.451,30071385
2025-05-09,8.555,8.318,8.84,8.299,19144286
2025-05-12,8.498,8.498,8.641,8.461,11596678
2025-05-13,8.451,8.337,8.461,8.271,9318074
2025-05-14,8.318,7.986,8.328,7.967,14655324
2025-05-15,8.043,8.337,8.366,7.986,16493548
2025-05-16,8.337,8.385,8.432,8.29,9508078
2025-05-19,8.318,8.309,8.356,8.204,7785854
2025-05-20,8.337,8.423,8.489,8.299,10948416
2025-05-21,8.385,8.043,8.413,8.034,12458185
2025-05-22,8.005,8.062,8.1,7.844,17124693
2025-05-23,7.947,7.975,7.995,7.879,9914487
2025-05-27,8.033,8.274,8.303,8.004,14639826
2025-05-28,8.283,8.264,8.303,8.177,10162808
2025-05-29,8.303,8.495,8.514,8.245,14107907
2025-05-30,8.428,8.456,8.514,8.235,83893569
2025-06-02,8.37,8.36,8.437,8.254,12064633
2025-06-03,8.274,8.379,8.505,8.081,20434023
2025-06-04,8.37,8.264,8.466,8.254,25510391
2025-06-05,8.312,8.139,8.312,8.12,13736335
2025-06-06,8.216,8.379,8.399,8.197,9756539
2025-06-09,8.437,8.476,8.562,8.37,10499168
2025-06-10,8.514,8.697,8.726,8.437,14465802
2025-06-11,8.687,8.639,8.774,8.572,10451216
2025-06-12,8.62,8.745,8.841,8.582,13592146
2025-06-13,8.639,8.582,8.745,8.562,9003237
2025-06-16,8.649,8.649,8.726,8.582,11169524
2025-06-17,8.562,8.428,8.63,8.379,9570905
2025-06-18,8.418,8.437,8.514,8.331,9584112
2025-06-20,8.495,8.533,8.572,8.36,18664291
2025-06-23,8.505,8.514,8.562,8.331,8442296
2025-06-24,8.562,8.61,8.658,8.533,12754356
2025-06-25,8.562,8.553,8.62,8.505,8891071
2025-06-26,8.63,8.774,8.793,8.562,11387549
2025-06-27,8.774,8.668,8.822,8.582,17753689
2025-06-30,8.697,8.591,8.726,8.562,9400536
2025-07-01,8.639,8.832,8.986,8.543,17389095
2025-07-02,8.851,8.986,9.053,8.774,11639797
2025-07-03,8.976,8.966,9.014,8.87,6343931
2025-07-07,8.937,8.851,9.014,8.832,10187095
2025-07-08,8.86,8.909,9.063,8.822,11809910
2025-07-09,8.957,8.88,9.005,8.851,5851497
2025-07-10,8.851,8.899,9.034,8.832,6810572
2025-07-11,8.841,8.774,8.841,8.687,7107208
2025-07-14,8.726,8.793,8.803,8.697,6053274
2025-07-15,8.803,8.591,8.899,8.591,5937313
2025-07-16,8.658,8.735,8.755,8.553,8067626
2025-07-17,8.735,8.918,8.937,8.707,10326480
2025-07-18,8.889,8.543,8.918,8.505,9919758
2025-07-21,8.562,8.562,8.707,8.533,7008180
2025-07-22,8.562,8.889,8.899,8.562,12189163
2025-07-23,8.947,9.014,9.082,8.909,5549237
2025-07-24,8.976,8.995,9.063,8.937,6086092
2025-07-25,9.024,9.053,9.063,8.937,5031342
2025-07-28,9.024,8.909,9.024,8.87,5844881
2025-07-29,8.889,8.841,8.889,8.784,7071914
2025-07-30,8.88,8.658,8.918,8.63,5445646
2025-07-31,8.63,8.408,8.678,8.351,10565731
2025-08-01,8.389,8.476,8.533,8.303,6730630
2025-08-04,8.485,8.601,8.649,8.466,6641595
2025-08-05,8.62,8.639,8.687,8.543,7164155
2025-08-06,8.582,8.418,8.582,8.408,9372689
2025-08-07,8.658,9.034,9.091,8.466,13215017
2025-08-08,9.024,9.332,9.361,8.899,18395349
2025-08-11,9.313,9.486,9.736,9.313,19008471
2025-08-12,9.534,9.736,9.794,9.495,15039224
2025-08-13,9.774,10.015,10.044,9.717,8309468
2025-08-14,9.957,10.284,10.332,9.9,11941243
2025-08-15,10.342,10.207,10.4,10.15,9230981
2025-08-18,10.217,10.227,10.4,10.207,8945468
2025-08-19,10.265,10.275,10.381,10.178,7588972
2025-08-20,10.294,10.246,10.409,10.15,6564813
2025-08-21,10.246,10.284,10.371,10.207,8056353
2025-08-22,10.342,10.362,10.527,10.313,6372969
2025-08-25,10.294,10.265,10.362,10.216,5791475
2025-08-26,10.235,10.128,10.265,10.08,9261817
2025-08-27,10.119,10.138,10.206,10.031,7986440
2025-08-28,10.109,10.128,10.158,9.953,6703826
2025-08-29,10.128,10.265,10.284,10.119,8618813
2025-09-02,10.216,10.274,10.304,10.148,7091229
2025-09-03,10.226,10.265,10.323,10.177,6268236
2025-09-04,10.226,10.051,10.255,10.012,7028452
2025-09-05,10.109,10.216,10.274,10.08,7288982
2025-09-08,10.177,10.196,10.226,10.051,8808498
2025-09-09,10.138,10.167,10.265,10.089,6183558
2025-09-10,10.109,9.963,10.128,9.924,7505727
2025-09-11,9.973,9.895,10.099,9.817,20206842
2025-09-12,9.817,9.691,9.914,9.671,12168403
2025-09-15,9.691,9.34,9.72,9.321,17794889
2025-09-16,9.34,9.301,9.389,9.233,10106472
2025-09-17,9.282,9.36,9.593,9.262,11937722
2025-09-18,9.301,9.593,9.622,9.243,12926403
2025-09-19,9.584,9.632,9.817,9.584,44217862
2025-09-22,9.632,9.525,9.652,9.457,9219143
2025-09-23,9.525,9.34,9.535,9.311,8977603
2025-09-24,9.369,9.447,9.457,9.282,7632447
2025-09-25,9.447,9.233,9.447,9.175,7761711
2025-09-26,9.301,9.262,9.34,9.224,7473890
2025-09-29,9.292,9.36,9.389,9.214,7645411
2025-09-30,9.35,9.632,9.652,9.292,9073890
2025-10-01,9.652,9.817,9.895,9.652,9501083
2025-10-02,9.807,9.837,9.914,9.671,6961289
2025-10-03,9.905,9.914,10.099,9.788,7009612
2025-10-06,9.905,9.856,9.934,9.817,7146805
2025-10-07,9.846,9.866,9.982,9.788,6546125
2025-10-08,9.846,9.7,9.895,9.661,6981640
2025-10-09,9.739,9.72,9.875,9.681,7415619
2025-10-10,9.729,9.477,9.798,9.428,7665371
2025-10-13,9.515,9.593,9.7,9.477,7622731
2025-10-14,9.486,9.661,9.7,9.467,6459749
2025-10-15,9.749,9.71,9.895,9.593,9234044
2025-10-16,9.807,9.827,9.924,9.739,6150700
2025-10-17,9.817,9.895,9.924,9.798,5505693
2025-10-20,9.895,10.031,10.041,9.856,6620733
2025-10-21,10.031,10.109,10.158,10.021,6282050
2025-10-22,10.119,10.128,10.235,10.031,7453819
2025-10-23,10.109,10.031,10.216,10.012,5274586
2025-10-24,10.08,10.07,10.216,10.06,5045629
2025-10-27,10.07,10.138,10.158,9.905,6682415
2025-10-28,10.099,10.012,10.177,9.992,7206386
2025-10-29,9.963,9.992,10.138,9.944,9644033
2025-10-30,9.992,10.08,10.187,9.982,7561030
2025-10-31,10.031,10.08,10.148,9.963,12301853
2025-11-03,10.06,10.245,10.284,10.012,9737901
2025-11-04,10.158,10.206,10.323,10.08,9990543
2025-11-05,10.167,10.459,10.518,10.128,17838565
2025-11-06,10.294,9.837,10.654,9.759,17669264
2025-11-07,9.817,9.846,9.885,9.652,12732683
2025-11-10,9.866,9.895,9.914,9.72,9798918
2025-11-11,9.944,10.897,10.975,9.944,11953543
2025-11-12,10.868,10.712,10.887,10.634,8653457
2025-11-13,10.664,10.615,10.839,10.586,7383018
2025-11-14,10.537,10.43,10.605,10.372,7397957
2025-11-17,10.44,10.372,10.586,10.333,5993183
2025-11-18,10.352,10.42,10.576,10.284,7719839
2025-11-19,10.391,10.177,10.401,10.158,9939252
2025-11-20,10.196,9.914,10.274,9.895,8666547
2025-11-21,9.973,10.177,10.313,9.875,8953705
