date,open,last,high,low,volume,close
2024-01-29,44.672,44.935,45.462,44.401,9380323,
2024-01-30,44.815,43.709,44.935,43.476,9717071,
2024-01-31,43.386,43.055,43.755,43.025,5797970,
2024-02-01,43.048,43.168,43.379,42.559,7272778,
2024-02-02,43.055,43.74,43.807,42.867,5529566,
2024-02-05,43.672,43.973,44.01,43.078,4838170,
2024-02-06,44.409,43.958,44.552,43.815,5187183,
2024-02-07,43.973,43.574,44.161,43.364,4946939,
2024-02-08,43.296,42.957,43.604,42.882,7468421,
2024-02-09,42.491,42.732,43.13,42.288,6518323,
2024-02-12,42.544,43.108,43.672,42.499,4459851,
2024-02-13,42.055,41.619,42.07,41.205,6572103,
2024-02-14,42.062,42.175,42.536,42.025,3964221,
2024-02-15,42.25,42.123,42.544,41.995,4385885,
2024-02-16,42.145,40.611,42.341,40.551,6034668,
2024-02-20,40.581,40.709,40.716,40.077,5141369,
2024-02-21,40.521,40.152,40.611,39.776,4248454,
2024-02-22,41.107,41.89,42.115,40.934,5101191,
2024-02-23,41.732,42.16,42.273,41.581,3163622,
2024-02-26,42.672,42.927,43.386,42.454,6165037,
2024-02-27,43.807,43.228,43.92,43.085,6304337,
2024-02-28,42.747,43.213,43.469,42.589,4133851,
2024-02-29,43.702,44.725,44.86,43.394,7700337,
2024-03-01,45.875,48.357,48.538,45.605,17078252,
2024-03-04,48.884,48.372,48.914,47.568,6230531,
2024-03-05,47.605,47.748,48.35,46.755,7136191,
2024-03-06,48.831,48.658,49.576,47.823,9295245,
2024-03-07,48.756,48.342,48.929,47.725,6825460,
2024-03-08,48.786,47.38,49.433,47.237,6527610,
2024-03-11,46.853,46.665,47.252,45.928,7265425,
2024-03-12,47.116,47.357,47.65,46.394,5705539,
2024-03-13,47.116,46.988,47.38,46.643,3455880,
2024-03-14,46.876,45.725,46.921,45.236,3454814,
2024-03-15,45.296,44.965,45.522,44.823,5758971,
2024-03-18,45.146,44.604,45.477,44.364,3864938,
