Date,Open,Last,High,Low,Volume
2024-01-29,47.325,47.505,47.807,47.165,16725249
2024-01-30,47.769,48.297,48.373,47.759,14736829
2024-01-31,48.127,47.344,48.533,47.325,20394382
2024-02-01,47.336,46.3,47.478,45.493,27566104
2024-02-02,46.082,46.709,47.098,45.664,19329199
2024-02-05,46.186,46.272,46.481,45.835,14202723
2024-02-06,46.101,45.882,46.671,45.616,13928474
2024-02-07,46.034,46.063,46.177,45.084,15839616
2024-02-08,45.778,45.939,46.082,45.664,10839238
2024-02-09,45.816,45.664,45.863,45.103,16593980
2024-02-12,45.607,46.481,46.832,45.493,14101942
2024-02-13,45.987,45.835,46.281,45.217,13660054
2024-02-14,46.177,46.11,46.291,45.569,12683358
2024-02-15,46.3,49.445,49.835,46.196,46473552
2024-02-16,49.35,49.322,49.711,48.761,24359733
2024-02-20,48.932,49.189,49.635,48.714,19839124
2024-02-21,49.065,50.034,50.053,48.581,18563729
2024-02-22,50.196,50.709,51.222,50.12,20467922
2024-02-23,50.861,51.174,51.327,50.756,20863497
2024-02-26,51.07,51.431,51.84,51.003,18099866
2024-02-27,51.574,52.077,52.153,51.536,19548237
2024-02-28,52.011,51.992,52.657,51.849,20045243
2024-02-29,52.296,52.818,52.923,52.201,28335630
2024-03-01,52.638,52.315,52.97,52.163,17760953
2024-03-04,52.134,53.027,53.74,52.001,19483451
2024-03-05,52.932,53.778,54.253,52.666,21786061
2024-03-06,53.987,54.262,54.528,53.464,25418597
2024-03-07,54.205,54.158,54.804,54.034,18116285
2024-03-08,54.357,54.224,54.671,54.044,17872502
2024-03-11,53.949,54.243,54.49,53.702,16622044
2024-03-12,54.395,54.738,55.213,54.253,23622972
2024-03-13,54.747,54.937,55.526,54.747,17444934
2024-03-14,54.985,54.509,55.232,54.272,24851140
2024-03-15,54.025,54.642,55.393,54.025,40782798
2024-03-18,54.728,54.89,54.947,54.262,16376548
2024-03-19,54.776,54.167,55.051,54.082,14504755
2024-03-20,53.797,54.443,54.642,53.474,22841550
2024-03-21,54.718,54.966,55.222,54.585,18141700
2024-03-22,54.928,54.281,55.127,54.272,13736607
2024-03-25,54.234,53.901,54.471,53.559,15028154
2024-03-26,54.291,53.854,54.3,53.768,11445879
2024-03-27,53.569,54.738,54.766,53.569,13762768
2024-03-28,54.785,55.07,55.184,54.69,14618982
2024-04-01,54.994,54.738,54.994,54.405,11039467
2024-04-02,54.5,54.49,55.108,54.338,14632878
2024-04-03,54.348,54.281,55.07,54.015,13226477
2024-04-04,54.852,53.854,55.108,53.721,12361915
2024-04-05,53.806,54.538,54.747,53.749,11080968
2024-04-08,54.519,54.909,55.089,54.452,15308824
2024-04-09,54.823,54.709,55.099,54.034,10645952
2024-04-10,53.958,54.101,54.443,53.607,16475238
2024-04-11,54.139,53.863,54.158,52.856,18995594
2024-04-12,53.179,53.654,54.158,52.581,27876733
2024-04-15,54.738,54.129,55.089,53.911,19407516
2024-04-16,54.063,53.597,54.12,52.885,25620002
2024-04-17,54.044,54.329,54.757,53.825,18867719
2024-04-18,54.757,55.811,56.182,54.367,24468521
2024-04-19,56.058,57.341,57.816,55.925,34334317
2024-04-22,57.388,58.053,58.424,57.331,21753384
2024-04-23,58.12,57.901,58.681,57.778,21731239
2024-04-24,57.578,57.578,57.911,57.056,19731585
2024-04-25,57.588,56.942,57.92,56.628,24002548
2024-04-26,56.799,56.923,57.417,56.419,18785900
2024-04-29,56.875,56.818,57.293,56.4,15343629
2024-04-30,56.628,56.362,56.999,56.343,18007721
2024-05-01,56.609,56.552,57.151,56.372,16366622
2024-05-02,57.122,56.847,57.151,56.362,15329457
2024-05-03,57.037,56.951,57.255,56.172,17298461
2024-05-06,57.455,57.189,57.844,56.856,16240271
2024-05-07,57.274,57.255,57.588,57.065,16268431
2024-05-08,57.151,58.177,58.367,57.103,18718415
2024-05-09,58.042,58.558,58.644,57.794,14224342
2024-05-10,58.73,59.141,59.218,58.73,14428171
2024-05-13,59.208,58.539,59.409,58.491,15203467
2024-05-14,58.826,59.141,59.237,58.31,14499616
2024-05-15,59.437,59.571,59.772,59.122,17489595
2024-05-16,59.676,58.348,59.705,58.262,21104094
2024-05-17,58.683,58.367,58.893,58.186,15795963
2024-05-20,58.272,58.004,59.046,57.899,15029013
2024-05-21,58.119,58.73,58.96,58.081,18422116
2024-05-22,58.577,58.224,58.721,57.822,10340465
2024-05-23,58.052,57.029,58.081,56.724,13056305
2024-05-24,57.373,57.536,57.708,57.211,9913040
2024-05-28,57.306,56.838,57.507,56.561,11276265
2024-05-29,56.255,56.141,56.322,55.825,12835045
2024-05-30,56.208,56.58,56.752,55.997,13584811
2024-05-31,56.638,57.259,57.326,56.351,25386837
2024-06-03,57.526,56.704,57.526,55.997,13206546
2024-06-04,56.208,56.093,56.838,55.749,12520732
