Date,Open,High,Low,Close,Volume
2026-06-03,81.21,81.86,79.93,80.11,1256175
2026-06-02,78.95,82.8,78.49,81.48,242191
2026-06-01,79.34,80.13,77.76,79.12,1439102
2026-05-29,82.2,82.61,79.75,80.26,1291838
2026-05-28,83.2,83.51,82.27,82.61,1155106
2026-05-27,81.48,84.18,81.48,83.7,1166134
2026-05-26,79.23,80.96,78.61,80.7,1314357
2026-05-22,80.32,80.6,78.56,79.14,1524217
2026-05-21,80.04,82.11,78.3,80.74,1598499
2026-05-20,77.51,81.43,76.79,80.9,1212128
2026-05-19,78.14,78.61,76.81,77.27,931379
2026-05-18,79.2,80.15,77.86,78.14,1110488
2026-05-15,81.55,81.55,79.64,79.74,924890
2026-05-14,81.86,82.38,80.45,80.65,825445
2026-05-13,81.49,83.61,80.48,81.21,957889
2026-05-12,82.98,83.0,81.58,81.82,1012764
2026-05-11,82.41,82.84,80.93,82.06,1083961
2026-05-08,83.94,85.19,82.1,82.67,764902
2026-05-07,83.94,86.0,83.29,83.84,1254337
2026-05-06,80.79,84.26,80.79,83.31,1220190
2026-05-05,80.29,82.0,79.69,80.38,950930
2026-05-04,80.37,82.29,79.8,80.24,1099809
2026-05-01,81.67,83.04,80.82,80.84,1393667
2026-04-30,83.53,85.35,80.27,81.38,2274391
2026-04-29,85.12,85.87,83.25,84.09,1992425
2026-04-28,85.2,86.82,84.48,85.46,1098983
2026-04-27,86.64,86.74,84.29,85.34,1390347
2026-04-24,86.05,87.03,85.28,85.88,1215518
2026-04-23,85.45,86.89,84.96,86.44,1386972
2026-04-22,88.63,88.63,85.0,85.24,1344712
2026-04-21,89.93,90.35,87.76,87.99,971246
2026-04-20,88.87,90.01,88.61,89.91,1098195
2026-04-17,88.13,90.18,88.13,89.28,1246087
2026-04-16,88.3,88.73,86.82,87.31,753924
2026-04-15,87.27,88.19,86.46,87.54,1370863
2026-04-14,86.0,87.6,85.62,87.38,733152
2026-04-13,85.0,86.01,83.57,85.91,975120
2026-04-10,86.28,87.0,85.59,85.67,958407
2026-04-09,83.0,86.42,82.88,86.12,1329751
2026-04-08,83.35,85.61,82.96,83.09,1574065
