Date,Open,Last,High,Low,Volume
2024-01-29,178.802,178.551,179.505,178.407,1400012
2024-01-30,179.033,180.247,180.353,178.378,1309619
2024-01-31,180.825,178.821,181.104,177.945,3423623
2024-02-01,178.715,181.509,181.528,178.07,1434797
2024-02-02,181.509,181.307,182.0,180.054,1696582
2024-02-05,181.046,181.297,181.942,180.334,1524708
2024-02-06,181.586,182.27,182.703,180.815,2009518
2024-02-07,182.877,183.012,183.378,182.125,1691896
2024-02-08,183.204,182.54,183.455,181.605,1154438
2024-02-09,182.549,181.933,182.819,180.68,1678092
2024-02-12,181.172,181.355,182.154,180.603,2022501
2024-02-13,189.485,192.173,192.173,187.077,3263017
2024-02-14,191.768,191.855,192.587,188.782,3308730
2024-02-15,191.229,191.807,192.153,189.784,2449003
2024-02-16,192.654,194.148,195.255,191.701,2588036
2024-02-20,194.591,194.388,197.057,194.128,2548368
2024-02-21,194.986,196.739,196.874,194.629,1850135
2024-02-22,196.546,199.638,200.544,196.344,2267775
2024-02-23,199.985,200.419,200.978,199.301,1687146
2024-02-26,201.209,199.85,201.546,199.744,1664297
2024-02-27,198.906,200.159,200.313,198.049,1208145
2024-02-28,201.074,199.658,202.085,199.272,1705745
2024-02-29,199.455,198.107,199.937,196.999,3030014
2024-03-01,197.028,198.242,198.348,196.151,1329819
2024-03-04,198.434,199.215,200.101,198.328,1865388
2024-03-05,199.407,199.282,200.178,198.377,1208663
2024-03-06,198.723,200.294,200.467,198.627,1362971
2024-03-07,200.91,199.658,201.45,198.858,1661889
2024-03-08,199.253,200.13,201.18,198.473,1338344
2024-03-11,199.937,201.604,201.7,199.089,1218775
2024-03-12,200.958,202.095,202.885,200.775,1035984
2024-03-13,202.75,203.261,203.309,201.575,1121204
2024-03-14,203.724,203.328,203.937,201.82,1028288
2024-03-15,202.042,203.54,203.918,202.013,2096005
2024-03-18,203.598,204.643,205.203,203.386,1273522
2024-03-19,205.725,205.039,205.928,204.304,1267893
2024-03-20,205.348,204.826,205.667,204.42,1040697
2024-03-21,204.836,205.377,205.658,203.782,1918105
2024-03-22,205.397,204.749,205.542,203.956,1453736
2024-03-25,204.536,204.739,205.194,204.063,1306854
2024-03-26,204.556,204.739,205.629,204.362,1577781
2024-03-27,205.735,206.866,206.915,205.484,1392574
2024-03-28,207.176,206.073,207.417,204.942,2699109
2024-04-01,205.551,205.841,206.431,204.826,1205661
2024-04-02,205.194,204.101,206.276,203.54,1543819
2024-04-03,203.966,203.434,204.324,202.96,1700898
2024-04-04,204.333,200.215,204.498,199.722,2112269
2024-04-05,200.814,200.06,200.959,199.412,2761269
2024-04-08,199.896,199.838,200.505,199.171,2592865
2024-04-09,200.128,199.625,200.447,198.552,1782267
2024-04-10,199.316,201.288,201.501,198.697,1804134
2024-04-11,200.427,199.103,201.152,198.764,1749234
2024-04-12,199.006,198.552,199.963,197.904,1167072
2024-04-15,200.476,198.542,201.094,198.078,1401662
2024-04-16,199.664,198.175,200.775,198.136,1457303
2024-04-17,199.325,199.306,199.461,197.585,1193346
2024-04-18,198.764,198.262,199.209,197.73,983092
2024-04-19,199.596,200.195,200.447,198.967,1354304
2024-04-22,200.795,200.64,202.061,200.427,1420849
2024-04-23,200.369,201.849,203.163,200.36,1596510
2024-04-24,201.259,203.444,203.714,200.698,1875875
2024-04-25,202.738,205.638,206.905,201.297,2097419
2024-04-26,206.083,203.125,206.17,202.458,1650808
2024-04-29,203.763,205.107,205.571,203.444,2048491
2024-04-30,205.31,201.114,205.31,200.717,2244331
2024-05-01,200.737,199.896,202.042,198.822,1366425
2024-05-02,200.263,200.282,201.723,199.432,1497314
2024-05-03,200.282,200.978,201.675,198.107,2237956
2024-05-06,201.607,203.569,203.579,201.317,1592832
2024-05-07,204.633,203.511,205.242,203.134,1300188
2024-05-08,203.937,203.028,204.527,202.931,1151549
2024-05-09,203.289,203.511,203.966,202.632,1325723
2024-05-10,204.382,204.469,205.232,203.724,1082181
2024-05-13,204.111,203.821,205.232,203.221,1283897
2024-05-14,203.511,202.893,203.898,201.762,2091240
2024-05-15,202.902,202.061,203.492,201.549,1808274
2024-05-16,202.612,205.155,205.619,201.307,1859958
2024-05-17,205.435,203.453,205.484,202.177,2054796
2024-05-20,203.212,201.549,203.26,201.384,1795515
2024-05-21,202.187,201.413,202.535,200.891,1472845
2024-05-22,201.713,202.951,203.415,201.123,1516174
2024-05-23,203.009,202.535,203.444,202.168,919217
2024-05-24,202.912,201.878,202.941,200.785,1270886
2024-05-28,201.094,199.606,201.336,198.61,1659615
2024-05-29,199.016,197.382,199.084,197.247,1372213
2024-05-30,197.276,199.403,199.49,196.831,1983152
2024-05-31,199.354,203.734,204.217,199.151,5501307
2024-06-03,200.128,194.617,201.81,192.993,3913413
2024-06-04,195.352,196.87,197.063,194.327,2274720
2024-06-05,196.715,197.131,197.16,194.685,2069291
2024-06-06,197.295,195.777,197.778,194.685,1843214
2024-06-07,196.417,194.612,198.319,194.136,3232430
2024-06-10,194.796,195.737,196.543,194.486,1715680
2024-06-11,195.572,196.145,196.456,194.214,1313201
2024-06-12,196.261,194.922,196.436,194.156,1311481
2024-06-13,194.99,195.262,195.369,192.991,1184744
2024-06-14,194.592,197.61,198.037,193.932,1412722
2024-06-17,196.785,200.269,200.327,196.096,1753528
2024-06-18,200.327,201.734,201.831,199.328,1511206
2024-06-20,201.307,202.588,202.773,200.764,1343669
2024-06-21,202.889,202.802,203.598,202.026,2248132
2024-06-24,203.782,206.15,206.412,203.006,1473713
2024-06-25,206.353,205.781,207.518,205.538,1714359
2024-06-26,205.073,206.373,206.848,204.946,1869001
2024-06-27,207.246,206.373,207.44,206.014,1762421
2024-06-28,206.286,207.023,208.052,205.859,2908229
2024-07-01,208.12,203.161,208.149,201.744,1931521
2024-07-02,203.083,203.268,204.073,201.55,1445599
2024-07-03,202.821,203.976,204.626,202.093,720755
2024-07-05,204.51,204.102,204.51,202.404,1647629
2024-07-08,204.122,204.384,205.189,203.607,1275531
2024-07-09,203.277,203.801,204.646,202.86,1100785
2024-07-10,203.433,204.927,205.665,203.103,1453060
2024-07-11,204.781,205.5,206.451,204.005,1161363
2024-07-12,206.208,207.421,208.023,205.47,1182062
2024-07-15,207.431,209.604,210.187,207.207,1508846
2024-07-16,210.623,214.349,214.417,210.4,1948223
2024-07-17,214.874,216.708,217.581,214.66,1557784
2024-07-18,216.057,216.494,218.192,215.097,1284102
2024-07-19,217.853,216.203,218.338,215.553,1221059
2024-07-22,215.136,216.834,216.911,214.757,1134969
2024-07-23,216.795,212.253,216.902,211.632,1533793
2024-07-24,211.972,210.943,213.078,210.555,1361113
2024-07-25,196.873,194.0,203.782,193.603,3348575
2024-07-26,194.146,191.128,194.845,190.769,2500282
2024-07-29,192.409,194.602,194.961,191.584,1911530
2024-07-30,194.719,195.145,196.611,194.699,1883641
2024-07-31,195.815,196.659,197.3,195.417,1698637
2024-08-01,197.203,199.968,200.065,196.582,1637868
2024-08-02,200.318,201.608,202.724,198.367,1793144
2024-08-05,200.968,195.572,202.355,194.321,2033093
2024-08-06,196.562,197.125,200.813,196.232,1988403
2024-08-07,197.892,198.784,201.511,197.183,1963608
2024-08-08,198.93,199.803,200.686,198.445,1259936
2024-08-09,199.745,199.182,200.492,197.028,1002048
2024-08-12,199.648,197.096,199.93,196.669,2433948
2024-08-13,197.009,197.882,198.464,197.009,2330025
2024-08-14,197.329,200.24,201.191,197.096,1538318
2024-08-15,200.783,200.783,201.113,199.561,1093523
2024-08-16,201.152,199.318,201.705,199.289,1536923
2024-08-19,199.609,200.473,200.725,199.396,1886760
2024-08-20,200.628,201.938,202.016,200.609,1121611
2024-08-21,201.909,203.18,203.268,201.909,916856
2024-08-22,204.073,203.898,204.587,202.637,975951
2024-08-23,204.18,203.763,204.461,202.326,810828
2024-08-26,204.781,202.637,205.053,202.326,813391
2024-08-27,203.918,203.006,204.393,202.462,760017
2024-08-28,203.666,203.112,204.141,202.181,866277
2024-08-29,203.52,203.666,204.704,202.103,826548
2024-08-30,203.345,205.762,205.81,202.491,1786797
2024-09-03,205.8,203.2,206.227,202.055,2197759
2024-09-04,203.268,203.122,204.481,201.802,1186674
2024-09-05,203.491,202.229,204.19,201.036,1507886
2024-09-06,202.307,198.668,203.394,198.571,2349656
2024-09-09,199.59,202.288,202.938,198.969,2290034
