Date,Open,High,Low,Close,Volume
2026-06-03,254.38,256.0,249.17,250.98,787252
2026-06-02,256.18,257.54,252.4,256.41,138525
2026-06-01,248.54,257.62,248.54,257.04,681470
2026-05-29,250.74,253.08,248.97,249.67,880460
2026-05-28,252.77,255.74,251.21,252.01,701404
2026-05-27,255.35,260.96,251.75,254.04,615878
2026-05-26,256.42,259.43,255.56,256.35,506826
2026-05-22,256.98,259.25,255.68,257.4,489568
2026-05-21,251.97,258.48,249.85,258.23,581823
2026-05-20,252.66,254.95,249.34,254.05,629637
2026-05-19,257.58,261.48,253.45,254.2,791081
2026-05-18,248.96,258.69,248.96,256.86,839820
2026-05-15,248.62,251.93,247.72,248.38,1112340
2026-05-14,242.73,248.76,240.61,247.64,1002068
2026-05-13,248.13,250.51,240.63,242.12,1059424
2026-05-12,249.89,254.47,248.37,251.44,876880
2026-05-11,255.28,257.2,249.31,249.72,862070
2026-05-08,257.22,258.27,253.55,256.36,1066362
2026-05-07,252.41,259.14,251.56,258.07,1019122
2026-05-06,264.79,266.49,252.31,252.41,1273150
2026-05-05,260.0,261.95,258.13,259.47,1048075
2026-05-04,253.67,260.25,252.75,260.02,1123152
2026-05-01,263.0,266.53,254.55,256.34,1538454
2026-04-30,259.59,267.6,246.61,256.2,1923254
2026-04-29,290.3,291.62,286.75,290.11,892923
2026-04-28,291.33,293.54,288.12,290.88,702981
2026-04-27,287.73,294.38,286.35,289.34,714367
2026-04-24,286.62,289.31,283.05,287.73,556654
2026-04-23,292.04,293.16,288.03,290.89,474004
2026-04-22,297.22,297.29,287.94,291.4,476609
2026-04-21,295.87,300.19,295.87,297.84,514131
2026-04-20,297.64,300.98,295.79,296.56,608083
2026-04-17,295.69,298.26,294.89,297.64,631346
2026-04-16,291.12,298.15,290.44,295.83,587735
2026-04-15,288.62,294.54,287.88,292.15,672768
2026-04-14,287.11,290.22,284.82,288.48,524217
2026-04-13,279.62,288.22,278.11,287.94,813382
2026-04-10,286.24,286.37,273.59,280.14,921250
2026-04-09,288.78,290.93,286.79,287.86,635559
2026-04-08,286.99,292.0,284.85,290.82,574184
2026-04-07,289.69,289.69,284.38,285.24,525620
2026-04-06,286.56,292.05,286.56,291.03,363012
2026-04-02,287.09,294.28,285.91,288.64,428227
2026-04-01,288.16,292.87,287.42,287.53,586854
2026-03-31,289.83,292.81,285.65,290.7,482596
2026-03-30,282.44,289.48,282.26,288.76,475647
2026-03-27,285.84,285.84,279.84,281.25,559225
2026-03-26,288.56,292.8,284.94,285.85,406249
2026-03-25,293.87,294.81,286.67,288.56,542328
2026-03-24,290.14,294.16,289.89,292.39,500400
2026-03-23,295.61,296.62,289.93,292.46,460985
2026-03-20,285.95,292.94,285.91,290.29,943249
2026-03-19,287.3,289.79,283.55,286.27,501977
2026-03-18,286.68,288.52,284.17,286.44,409256
2026-03-17,293.31,296.19,288.46,288.9,546990
2026-03-16,288.45,292.27,287.75,290.51,357345
2026-03-13,288.32,291.67,286.14,288.58,369285
2026-03-12,287.05,292.04,285.03,285.68,608890
2026-03-11,290.17,291.7,286.17,288.94,615127
2026-03-10,293.7,294.19,288.17,288.31,569151
2026-03-09,301.94,301.94,289.04,293.7,742343
2026-03-06,296.99,302.86,294.1,301.94,520977
2026-03-05,301.0,305.05,299.19,299.53,843779
2026-03-04,302.07,303.85,298.64,303.49,540310
2026-03-03,297.57,304.06,296.79,302.07,530662
2026-03-02,304.09,306.23,301.55,303.12,785175
2026-02-27,306.99,309.0,301.51,304.16,1175878
2026-02-26,297.02,307.52,295.92,307.27,796681
2026-02-25,291.44,296.7,290.06,295.86,900352
2026-02-24,289.56,293.94,288.26,290.31,715742
2026-02-23,300.81,302.98,289.94,290.56,890940
2026-02-20,300.96,305.4,297.71,300.81,828132
2026-02-19,299.74,303.25,295.44,300.02,1044164
2026-02-18,294.97,301.4,294.97,300.92,1121179
2026-02-17,291.55,296.39,287.82,294.52,1174267
2026-02-13,282.07,290.85,280.51,286.79,1864428
2026-02-12,280.34,290.61,274.69,282.05,2777284
2026-02-11,286.58,289.33,276.62,279.17,2248205
2026-02-10,288.93,294.04,283.33,288.81,2089049
2026-02-09,326.53,329.58,282.66,289.13,2082162
2026-02-06,330.88,332.91,326.77,328.95,566437
2026-02-05,338.17,341.58,325.19,326.24,1017689
2026-02-04,336.63,343.85,334.15,338.62,1539742
2026-02-03,326.15,336.52,322.93,333.99,1694489
2026-02-02,319.99,321.02,313.76,315.56,840701
2026-01-30,314.38,316.71,312.99,316.42,670197
2026-01-29,315.57,320.17,313.5,315.21,875865
2026-01-28,311.69,315.0,311.04,313.29,343650
2026-01-27,319.16,320.0,310.81,313.28,753863
2026-01-26,322.95,325.92,320.02,320.94,326629
2026-01-23,320.01,321.99,319.35,321.75,348029
2026-01-22,317.36,321.44,316.41,321.41,368826
2026-01-21,321.61,327.75,316.1,317.97,621468
2026-01-20,326.35,328.9,320.48,320.73,385570
2026-01-16,327.1,329.13,324.45,328.32,505122
2026-01-15,327.97,328.58,325.41,327.41,487877
2026-01-14,327.12,329.92,325.33,327.11,498469
2026-01-13,328.75,328.75,321.96,326.34,535122
