Date,Open,Last,High,Low,Volume
2024-01-29,54.683,54.811,55.234,54.471,4798769
2024-01-30,54.674,54.903,55.289,54.279,3782944
2024-01-31,55.317,55.004,55.739,54.517,13842809
2024-02-01,54.811,56.171,56.18,54.315,5303174
2024-02-02,55.739,54.958,55.749,54.444,3901771
2024-02-05,54.26,53.764,54.471,53.709,3177022
2024-02-06,53.645,53.691,54.012,53.452,2918511
2024-02-07,53.948,53.626,53.957,53.415,2621191
2024-02-08,53.498,53.286,53.498,52.744,2570853
2024-02-09,53.194,53.443,53.47,52.983,2732759
2024-02-12,53.47,54.177,54.297,53.305,2691147
2024-02-13,54.187,53.544,54.389,52.579,3253433
2024-02-14,53.544,53.911,53.985,53.121,3965918
2024-02-15,54.095,54.214,54.821,53.975,3571439
2024-02-16,54.205,54.269,54.453,53.81,2476070
2024-02-20,54.306,54.38,54.986,54.159,2895128
2024-02-21,54.876,54.949,55.28,54.554,3579235
2024-02-22,54.38,54.508,54.674,53.792,3251218
2024-02-23,54.481,54.508,55.151,54.288,2415408
2024-02-26,54.453,53.332,54.453,53.305,2418853
2024-02-27,53.415,53.544,53.828,53.296,5752645
2024-02-28,53.461,52.983,53.516,52.827,6761904
2024-02-29,52.689,48.408,52.726,47.866,22782205
2024-03-01,47.462,45.541,47.462,44.999,18786257
2024-03-04,45.055,46.91,47.048,44.577,10184436
2024-03-05,46.984,44.696,47.434,44.384,12549192
2024-03-06,45.275,44.503,45.955,42.987,14401880
2024-03-07,44.99,45.973,46.662,44.733,17186854
2024-03-08,46.01,46.874,47.223,45.835,8848743
2024-03-11,48.481,48.61,48.968,47.893,9838055
2024-03-12,48.353,47.682,48.693,47.443,8809681
2024-03-13,47.829,47.315,48.187,47.241,5420040
2024-03-14,47.153,48.174,48.193,47.134,11859997
2024-03-15,48.063,48.277,48.509,47.887,11161025
2024-03-18,47.961,48.323,48.676,47.701,7217688
2024-03-19,48.239,48.685,49.205,48.239,5656951
2024-03-20,48.416,48.824,48.964,48.314,4547253
2024-03-21,48.954,48.564,49.335,48.546,3854120
2024-03-22,48.75,48.537,48.945,48.323,3312618
2024-03-25,48.852,48.732,48.964,48.518,3022666
2024-03-26,48.741,48.1,48.889,47.896,3498397
2024-03-27,48.481,49.567,49.586,48.453,3691769
2024-03-28,49.642,49.911,50.041,49.577,3556393
2024-04-01,49.855,49.474,49.902,49.224,4266575
2024-04-02,49.474,50.217,50.301,49.344,4561558
2024-04-03,50.013,50.227,50.254,49.474,4122634
2024-04-04,50.867,49.929,51.034,49.632,7021959
2024-04-05,49.707,49.707,49.929,49.177,4483985
2024-04-08,49.809,50.217,50.292,49.744,4473442
2024-04-09,50.561,50.487,50.682,50.18,2331382
2024-04-10,49.577,49.911,50.041,49.094,3263922
2024-04-11,50.227,49.669,50.329,49.372,2630991
2024-04-12,49.892,49.372,50.05,49.066,3010402
2024-04-15,49.521,49.372,49.883,49.057,3826484
2024-04-16,49.252,48.778,49.298,48.444,3849838
2024-04-17,49.224,49.391,49.549,48.694,3926393
2024-04-18,49.827,49.92,50.115,49.307,3086997
2024-04-19,50.022,50.812,51.072,49.994,4477921
2024-04-22,50.923,51.034,51.267,50.579,3996079
2024-04-23,50.774,51.322,51.527,50.774,4432126
2024-04-24,50.431,51.378,51.666,50.282,4614423
2024-04-25,51.545,51.081,51.712,50.468,6717657
2024-04-26,50.682,50.106,50.774,49.874,6451721
2024-04-29,50.394,50.589,50.923,50.319,3884610
2024-04-30,50.097,49.892,50.366,49.744,6805638
2024-05-01,49.419,49.939,50.329,49.075,4589568
2024-05-02,49.994,49.948,50.459,49.577,3910474
2024-05-03,50.004,50.375,50.403,49.725,3285090
2024-05-06,50.533,50.477,50.542,49.558,4816676
2024-05-07,50.737,51.09,51.155,50.18,4676302
2024-05-08,51.174,51.007,51.369,50.672,3123283
2024-05-09,51.007,51.294,51.508,50.737,4374912
2024-05-10,51.536,51.499,51.787,51.192,2432982
2024-05-13,51.814,51.842,52.418,51.629,4508281
2024-05-14,52.102,51.592,52.353,51.387,2693913
2024-05-15,52.297,51.805,52.316,51.749,2278367
2024-05-16,51.852,51.861,52.353,51.629,2483464
2024-05-17,51.675,51.554,51.852,51.378,4092822
2024-05-20,51.777,52.065,52.093,51.406,3694233
2024-05-21,52.26,52.687,52.734,52.074,2974446
2024-05-22,52.409,51.554,52.529,51.378,4231139
2024-05-23,51.155,50.189,51.155,50.162,3074881
2024-05-24,50.199,49.883,50.319,49.818,2016201
2024-05-28,50.078,49.902,50.765,49.753,2561453
2024-05-29,49.4,49.493,49.725,49.242,3238116
2024-05-30,49.642,50.44,50.552,49.447,3206507
2024-05-31,50.57,51.489,51.554,50.384,11067874
2024-06-03,51.369,51.332,51.657,50.932,3195100
2024-06-04,51.053,52.028,52.502,51.053,3460030
2024-06-05,51.879,51.22,52.037,51.174,2474913
2024-06-06,51.072,50.904,51.647,50.765,2395085
2024-06-07,50.338,50.83,51.007,50.013,3824525
2024-06-10,50.867,51.294,51.554,50.598,4067987
2024-06-11,50.719,51.109,51.35,50.459,3273623
2024-06-12,51.462,50.858,51.489,50.552,3006344
2024-06-13,50.7,50.459,51.072,49.985,3339755
2024-06-14,50.317,50.439,50.617,50.092,2400617
2024-06-17,50.035,49.942,50.401,49.81,2255935
2024-06-18,49.754,49.829,50.064,49.416,4269039
2024-06-20,49.717,50.214,50.279,49.595,3028147
2024-06-21,50.448,50.064,50.795,49.904,6889808
2024-06-24,50.289,50.636,50.964,50.017,2705293
2024-06-25,50.542,50.411,50.608,50.054,2312056
2024-06-26,50.242,50.458,50.533,49.829,2662913
2024-06-27,50.505,50.514,50.795,50.148,2471025
2024-06-28,50.533,50.101,50.589,49.754,3726729
2024-07-01,50.223,49.182,50.458,49.06,2158409
2024-07-02,49.407,49.904,49.979,49.229,2660989
2024-07-03,49.782,49.482,50.082,49.445,1178345
2024-07-05,49.491,49.426,49.763,49.097,1653017
2024-07-08,49.238,48.882,49.435,48.807,2244958
2024-07-09,48.938,49.219,49.369,48.75,2240529
2024-07-10,49.294,49.332,49.463,48.863,2129136
2024-07-11,49.529,50.73,51.189,49.379,3535710
2024-07-12,50.898,50.917,51.386,50.429,2353946
2024-07-15,50.345,49.932,50.401,49.688,2219567
2024-07-16,50.251,50.589,50.617,50.064,2377728
2024-07-17,50.945,51.893,52.362,50.898,3242316
2024-07-18,51.593,52.324,52.634,51.564,3023854
2024-07-19,52.343,52.474,52.615,51.621,3043940
2024-07-22,52.709,52.287,52.897,52.165,2545063
2024-07-23,52.165,51.724,52.268,51.611,2164876
2024-07-24,52.221,52.868,52.906,51.93,2907547
2024-07-25,53.581,53.347,54.81,52.925,4932466
2024-07-26,53.75,53.806,54.097,53.563,3434870
2024-07-29,54.022,54.116,54.379,53.675,1995659
2024-07-30,53.957,54.998,55.092,53.947,2497976
2024-07-31,54.848,54.669,55.035,54.294,6198289
2024-08-01,54.041,55.448,55.495,53.178,4540099
2024-08-02,57.427,56.048,57.756,55.279,3640956
