Date,Open,High,Low,Close,Volume
2026-06-03,252.0,252.26,245.65,249.3,1015404
2026-06-02,250.78,255.68,248.42,254.44,167409
2026-06-01,244.39,251.97,243.19,249.96,1138056
2026-05-29,245.74,248.48,241.31,243.63,4608892
2026-05-28,251.65,252.98,243.76,247.9,1099832
2026-05-27,252.74,258.0,248.66,252.51,977403
2026-05-26,253.95,258.0,249.57,252.44,1065040
2026-05-22,245.18,257.14,245.18,255.55,1383706
2026-05-21,240.94,245.04,234.0,242.26,1013357
2026-05-20,246.92,248.24,239.56,243.47,1102409
2026-05-19,259.64,259.85,246.69,247.15,1095988
2026-05-18,261.06,263.49,254.86,260.06,1067723
2026-05-15,255.01,260.49,253.0,259.35,1224635
2026-05-14,249.54,261.41,245.51,258.1,1264689
2026-05-13,248.68,250.99,237.03,246.76,1392683
2026-05-12,248.94,259.34,238.49,241.79,2879381
2026-05-11,226.05,228.98,216.41,216.96,971704
2026-05-08,229.44,229.44,222.58,226.03,778997
2026-05-07,230.56,233.98,227.58,228.62,771077
2026-05-06,232.0,232.0,225.74,229.76,589555
2026-05-05,224.73,229.08,221.68,228.39,711559
2026-05-04,226.32,228.43,219.53,223.73,624358
2026-05-01,228.85,229.5,223.95,227.08,655942
2026-04-30,216.05,227.83,213.67,226.26,1016051
2026-04-29,218.87,220.43,214.72,215.54,891488
2026-04-28,220.04,222.72,217.88,219.24,760575
2026-04-27,227.7,231.44,220.28,221.0,738670
2026-04-24,227.41,228.7,224.61,227.71,657206
2026-04-23,231.0,231.86,221.65,226.87,850734
2026-04-22,239.63,240.7,229.86,231.1,706748
2026-04-21,239.02,243.69,234.9,236.67,763957
2026-04-20,233.4,238.03,233.3,237.3,703072
2026-04-17,237.46,240.83,232.62,234.43,1070025
2026-04-16,230.36,233.75,228.62,233.04,982388
2026-04-15,226.76,231.48,225.7,229.64,805694
2026-04-14,228.97,231.21,226.05,226.7,894509
2026-04-13,219.13,226.36,216.47,226.09,803323
2026-04-10,224.44,225.37,220.83,222.13,552667
2026-04-09,218.93,223.99,218.93,223.07,608088
2026-04-08,223.61,226.69,220.32,221.14,788950
2026-04-07,209.57,214.59,209.02,212.51,753714
2026-04-06,201.57,211.84,201.57,211.12,861163
2026-04-02,202.5,210.95,199.77,202.84,508550
2026-04-01,208.91,210.19,204.72,207.28,708690
2026-03-31,200.89,212.12,200.89,209.08,597149
2026-03-30,203.35,205.27,199.05,199.3,718399
2026-03-27,202.5,204.85,200.89,202.64,594540
2026-03-26,205.27,211.64,203.71,204.42,414996
2026-03-25,210.84,212.2,201.46,208.45,456804
2026-03-24,202.71,208.9,201.45,207.49,425011
2026-03-23,210.32,212.24,205.49,205.87,602510
2026-03-20,203.91,206.0,200.44,203.62,1857735
2026-03-19,205.0,208.71,202.5,206.19,593406
2026-03-18,207.32,213.89,207.3,207.51,614847
2026-03-17,206.24,211.5,206.01,209.06,552776
2026-03-16,206.61,208.35,202.62,203.97,590488
2026-03-13,207.45,207.65,201.64,202.72,755490
2026-03-12,209.82,211.95,203.7,204.05,849282
2026-03-11,213.19,215.56,210.04,213.67,583658
2026-03-10,213.78,218.05,208.82,212.47,712810
2026-03-09,215.0,216.46,206.92,213.78,880977
2026-03-06,223.55,227.02,218.15,219.65,1000237
2026-03-05,228.29,236.5,227.95,229.67,841841
2026-03-04,229.43,233.56,227.86,231.42,861078
2026-03-03,215.98,229.79,214.87,225.38,805768
2026-03-02,216.2,224.95,215.33,223.92,926368
2026-02-27,231.2,232.69,222.61,223.96,968048
2026-02-26,239.98,239.98,232.63,235.03,806176
2026-02-25,238.39,240.09,232.4,239.01,768121
2026-02-24,234.99,241.2,234.0,235.83,998711
2026-02-23,252.32,253.2,230.0,231.32,1195593
2026-02-20,249.98,261.84,247.54,255.41,849850
2026-02-19,251.51,254.33,247.06,251.74,636876
2026-02-18,260.85,263.41,249.15,252.52,913872
2026-02-17,261.98,265.19,258.14,260.76,744838
2026-02-13,278.68,280.32,261.06,264.62,983005
2026-02-12,293.64,303.4,273.19,274.15,1985661
2026-02-11,259.82,264.36,250.31,252.5,1095670
2026-02-10,258.55,259.79,255.16,256.57,935766
2026-02-09,251.21,258.64,250.8,257.79,702016
2026-02-06,244.31,252.31,243.63,251.4,669889
2026-02-05,243.21,245.51,238.89,241.08,908966
2026-02-04,234.77,250.0,234.42,245.25,1228698
